YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.7870041	0.1919604	0.0005220	0.9545103	0.9192166	1.0000000	0.2657055	0.7468258	0.8667154	0.9617919
0.8017813	0.2657365	0.0003682	0.9879032	0.9618618	1.0000000	0.0705686	0.8219127	0.9097614	0.9618915
0.9999999	0.0000027	0.0005144	0.9544807	0.9192141	1.0000000	0.2685832	0.5761605	0.9137726	0.9617874
0.9999999	0.0000027	0.0005654	0.9896442	0.9579741	0.9013606	0.2862371	0.7034440	0.8721010	0.9994523
0.8040966	0.3088860	0.0900255	0.9898272	0.9537632	1.0000000	0.2142961	0.4755385	0.9018537	0.9618731
0.8821242	0.1110458	0.0004044	0.9544678	0.9183607	0.9889717	0.2662581	0.8412673	0.8667092	0.9617862
0.9822917	0.0028505	0.0900679	0.9774415	0.9016079	0.5775647	0.2413631	0.7585703	0.8720802	0.9993006
0.9999999	0.0000027	0.0007472	0.9553094	0.9537325	1.0000000	0.2086089	0.8831361	0.8858946	0.9990901
0.9630686	0.1042527	0.0002758	0.9553268	0.9544598	0.7877432	0.2998775	0.4358097	0.8782530	0.9618736
0.6072330	0.3898914	0.0431848	0.9865633	0.9486729	1.0000000	0.0686893	0.9244397	0.9073882	0.9618612
