YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1072574	0.4391746	0.4672682	0.9652261	0.5233415	0.9799177	0.9694946	0.3938137	0.1681367	1.0000000
0.2142482	0.2267981	0.4407819	0.9999999	0.0254782	0.0376233	0.0681608	0.0776611	0.1655480	1.0000000
0.2144788	0.6203632	0.2341755	0.9636416	0.5280638	0.9917783	0.9961696	0.6502806	0.1682436	1.0000000
0.2257739	0.3067881	0.8793536	0.4820732	0.5265893	0.9880821	0.9906789	0.5256471	0.2881338	1.0000000
0.2142534	0.4531340	0.4414536	0.9991739	0.2618431	0.9809192	0.9726541	0.4053328	0.1656136	1.0000000
0.2142543	0.4531131	0.4415543	0.9990041	0.2712331	0.4904770	0.9727771	0.4054776	0.1656220	1.0000000
0.2144373	0.4407928	0.4636172	0.9705624	0.5062948	0.9385724	0.4848126	0.3945343	0.1677759	1.0000000
0.2143878	0.4442300	0.4577277	0.9775105	0.4824395	0.8843080	0.6465709	0.1989596	0.1671805	1.0000000
0.2142482	0.4535965	0.4407818	0.9999999	0.0259777	0.0398044	0.0698988	0.0787173	0.0827740	1.0000000
0.2144823	0.4385055	0.4687484	0.9631145	0.5294799	0.9953042	0.9990219	0.9007524	0.4036495	0.5000041
