YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.5422783	1.0243747	1.0717821	0.0878338	0.0746284	0.7320148	0.4420520	0.5269739	0.3866514	0.6397838
0.7386694	0.5949426	0.5010293	0.8242016	0.3897979	0.7423385	0.9068621	0.1298763	0.1863447	0.7856078
0.4729928	0.9982586	0.9426515	0.1511020	0.0601155	0.5969043	0.2835843	0.3802494	0.2443603	0.9775767
0.6399217	0.8312991	0.4693636	0.8263126	0.5240790	0.7802879	0.9878402	0.0020754	0.2179974	1.0378215
0.3726973	0.8198865	0.6389785	0.8318723	0.3558782	0.8393427	0.9532341	0.1246662	0.1540679	1.0001866
0.5854720	0.9631678	0.5583256	0.8457440	0.5938906	0.3239187	1.1346835	0.0025441	0.1404357	1.0112663
0.8845633	0.6802943	0.4000876	0.7429300	0.5253455	0.8191221	0.8579843	0.0201829	0.1866086	1.0242666
0.3473566	0.8616479	0.6236225	0.6873883	0.3068752	0.5826943	0.4553621	0.2683298	0.1802735	1.0394316
0.4335976	0.9775828	0.8201530	0.4805115	0.2032963	0.6699438	0.6772879	0.1698086	0.1645388	0.9070615
0.6558343	0.9014438	0.6273739	0.7996270	0.4468334	0.8140051	0.7895297	0.1318766	0.1057412	1.0787667
