YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.7076122	0.1142297	0.3053843	0.1193481	0.6695849	0.6263308	0.3140342	0.4252978	0.1510060	0.4926887
0.5899721	0.0487560	0.1781706	0.1256150	0.6752774	0.5159495	0.0826815	0.4272415	0.0143410	0.7728267
0.4366582	0.0789965	0.2308612	0.3580331	0.4433524	0.2104860	0.0144842	0.5284086	0.0164237	0.5597193
0.7103450	0.1139554	0.5538458	0.1861927	0.7301995	0.7873259	0.2694398	0.3613726	0.0589480	0.7410433
0.7828695	0.0412266	0.3700413	0.1564906	0.7490152	0.6266232	0.0555944	0.3912610	0.0144258	0.7971791
0.4134362	0.1070291	0.5156742	0.1621999	0.6542305	0.6244285	0.1606619	0.5136351	0.0405134	0.7699072
0.6532771	0.1310548	0.4668423	0.1578521	0.6368570	0.7391889	0.2501804	0.4895402	0.0536465	0.7138727
0.6206828	0.0686496	0.3854645	0.2625164	0.7048556	0.5842490	0.1797602	0.3667103	0.0840111	0.6415465
0.3231547	0.0481934	0.2562812	0.1764677	0.6807562	0.6572664	0.4665211	0.4039344	0.0145475	0.7904780
0.8070112	0.0259280	0.5560390	0.2200333	0.7619003	0.5598958	0.0816378	0.4537211	0.0309409	0.6252115
