YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.9947504	0.3618378	0.5388587	0.9860713	0.0959355	0.5747600	0.7515554	0.1563979	0.9488129	0.2380172
0.9679364	0.1610198	0.4726466	0.9958546	0.0776789	0.7090046	0.8912597	0.4147604	0.8704437	0.3259202
0.9781554	0.3948398	0.4797009	0.8221694	0.1102077	0.6934084	0.9674192	0.6939868	0.9564249	0.2254866
0.9738604	0.4064786	0.4625735	0.8848311	0.0551607	0.7324130	0.9500450	0.6961163	0.8798059	0.0100774
0.9975945	0.3906927	0.4871817	0.5546306	0.1125544	0.6768914	0.9315648	0.4682606	0.8691120	0.2273150
0.9953911	0.3482087	0.3600138	0.9936204	0.0948863	0.8209969	0.8918359	0.4172934	0.8595099	0.0125631
0.9242560	0.3912639	0.4853652	0.9931088	0.0982737	0.6811296	0.9405701	0.8858527	0.9691737	0.2019699
0.8978254	0.1653789	0.4805371	0.7392407	0.1104708	0.6914128	0.9535356	0.5326439	0.6950499	0.2707623
0.9942330	0.3176059	0.3543106	0.5686905	0.1143664	0.6647976	0.8577482	0.2313243	0.9353112	0.2570301
0.8908152	0.1513983	0.4871407	0.9907992	0.1125380	0.6771282	0.9321226	0.7412487	0.5464477	0.3301403
