YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0570754	0.3337482	0.0035988	0.6728546	0.0413658	0.5726023	0.3555611	0.1705065	0.0093633	0.0133754
0.0175200	0.1878345	0.0864740	0.6665877	0.0537407	0.6421077	0.2776183	0.1203490	0.0561465	0.0469947
0.1139032	0.3178970	0.0113939	0.7219608	0.1083462	0.6806681	0.4541810	0.2897440	0.0128753	0.0425789
0.6754297	0.6200812	0.2879993	0.2967265	0.0580156	0.5688445	0.3649695	0.3271460	0.0569476	0.0323009
0.1590543	0.2736750	0.0571293	0.8970141	0.0344009	0.4824380	0.5821467	0.3247898	0.0283208	0.0466118
0.1668367	0.2725933	0.0277686	0.7276232	0.1141867	0.3155615	0.5214352	0.5557397	0.0206677	0.0558502
0.1627050	0.3309357	0.0718013	0.7196769	0.0300885	0.6997905	0.1602398	0.1926083	0.0295869	0.0475921
0.1739516	0.4185019	0.0479789	0.8723888	0.0182447	0.6537292	0.3576945	0.0518301	0.0166026	0.0234836
0.1179321	0.3744678	0.0734922	0.8137314	0.0421131	0.7630081	0.3190481	0.1304843	0.0252925	0.0222010
0.1384741	0.3445327	0.0370563	0.7487448	0.0815221	0.7060269	0.3583959	0.1290728	0.0175960	0.0292278
