"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.7103870	0.4026463	1.0000000	0.5254914	0.1187064	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.7103870	0.4026463	1.0000000	0.5252851	0.1186709	0.3227475	0.8131828	0.6572112	0.0159043	0.0815239
100	0.7103870	0.4026463	1.0000000	0.5252646	0.1185900	0.3227303	0.8133514	0.5528896	0.0159043	0.0815232
150	0.7103870	0.4026463	1.0000000	0.5253683	0.1185481	0.3226660	0.8136280	0.5211402	0.0159043	0.0815207
200	0.7103870	0.4026463	1.0000000	0.5254625	0.1185542	0.3225571	0.8138428	0.5114776	0.0159043	0.0815166
250	0.7103870	0.4026463	1.0000000	0.5254900	0.1185713	0.3224460	0.8139508	0.5085368	0.0159042	0.0815125
300	0.7103870	0.4026463	1.0000000	0.5254794	0.1185729	0.3223641	0.8139939	0.5076418	0.0159041	0.0815097
350	0.7103870	0.4026463	1.0000000	0.5254755	0.1185610	0.3223152	0.8140091	0.5073695	0.0159040	0.0815081
400	0.7103870	0.4026463	1.0000000	0.5254911	0.1185503	0.3222898	0.8140142	0.5072866	0.0159040	0.0815073
450	0.7103870	0.4026463	1.0000000	0.5255108	0.1185490	0.3222778	0.8140158	0.5072613	0.0159039	0.0815070
500	0.7103870	0.4026463	1.0000000	0.5255192	0.1185539	0.3222726	0.8140163	0.5072537	0.0159039	0.0815068
550	0.7103870	0.4026463	1.0000000	0.5255154	0.1185584	0.3222939	0.8135785	0.8500292	0.0159039	0.0815077
600	0.7103870	0.4026463	1.0000000	0.5255057	0.1185676	0.3224232	0.8132656	0.9543501	0.0159039	0.0815129
650	0.7103870	0.4026463	1.0000000	0.5254835	0.1185883	0.3225692	0.8131811	0.9860992	0.0159040	0.0815183
700	0.7103870	0.4026463	1.0000000	0.5254438	0.1186067	0.3226640	0.8131599	0.9957618	0.0159041	0.0815215
750	0.7103870	0.4026463	1.0000000	0.5254041	0.1186107	0.3227123	0.8131544	0.9987025	0.0159042	0.0815230
800	0.7103870	0.4026463	1.0000000	0.5253853	0.1186037	0.3227339	0.8131529	0.9995975	0.0159042	0.0815236
850	0.7103870	0.4026463	1.0000000	0.5253884	0.1185967	0.3227428	0.8131525	0.9998699	0.0159043	0.0815239
900	0.7103870	0.4026463	1.0000000	0.5253988	0.1185957	0.3227463	0.8131524	0.9999528	0.0159043	0.0815239
950	0.7103870	0.4026463	1.0000000	0.5254036	0.1185990	0.3227477	0.8131524	0.9999780	0.0159043	0.0815240
1000	0.7103870	0.4026463	1.0000000	0.5254008	0.1186018	0.3227481	0.8131523	0.9999857	0.0159043	0.0815240

0	0.7103870	0.4026463	1.0000000	0.5254914	0.1187064	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.2209562	0.4179439	0.7058052	0.5915700	0.4713662	0.3227409	0.8135584	0.9999891	0.0159043	0.0815237
100	0.0770715	0.4680073	0.5972597	0.4797567	0.5712602	0.3223831	0.8185583	0.9999891	0.0159043	0.0815090
150	0.0341476	0.5244905	0.5572111	0.4186266	0.5848275	0.3203659	0.8304115	0.9999891	0.0159039	0.0814290
200	0.0206758	0.5672261	0.5424348	0.3962176	0.5805026	0.3158871	0.8444650	0.9999891	0.0159025	0.0812583
250	0.0159650	0.5933171	0.5369830	0.3893746	0.5762169	0.3099017	0.8562155	0.9999891	0.0158994	0.0810400
300	0.0140502	0.6073019	0.5349715	0.3874356	0.5738795	0.3040026	0.8643414	0.9999891	0.0158951	0.0808344
350	0.0131581	0.6141895	0.5342293	0.3868942	0.5727682	0.2992100	0.8693700	0.9999891	0.0158904	0.0806743
400	0.0127072	0.6173901	0.5339555	0.3867391	0.5722497	0.2957872	0.8722653	0.9999891	0.0158862	0.0805642
450	0.0124726	0.6188165	0.5338545	0.3866917	0.5719992	0.2935546	0.8738469	0.9999891	0.0158829	0.0804947
500	0.0123509	0.6194326	0.5338172	0.3866759	0.5718716	0.2921933	0.8746758	0.9999891	0.0158806	0.0804537
550	0.3645565	0.5926887	0.8279983	0.1669284	0.1977713	0.2914117	0.8747340	0.9999891	0.0158791	0.0804308
600	0.4805229	0.5258459	0.9365387	0.2001315	0.0855151	0.2912400	0.8708314	0.9999891	0.0158781	0.0804283
650	0.5430171	0.4699819	0.9765855	0.3705400	0.0539845	0.2924635	0.8611906	0.9999891	0.0158778	0.0804759
700	0.5937380	0.4361844	0.9913610	0.5335345	0.0553310	0.2957323	0.8485735	0.9999891	0.0158785	0.0805957
750	0.6351896	0.4184059	0.9968126	0.5953894	0.0882342	0.3007001	0.8365627	0.9999891	0.0158805	0.0807739
800	0.6653561	0.4097547	0.9988240	0.5811004	0.1278375	0.3063066	0.8272620	0.9999891	0.0158838	0.0809717
850	0.6850191	0.4057547	0.9995661	0.5261471	0.1392815	0.3114757	0.8210493	0.9999891	0.0158880	0.0811513
900	0.6967813	0.4039727	0.9998399	0.4955850	0.1252210	0.3155735	0.8173243	0.9999891	0.0158922	0.0812911
950	0.7033731	0.4032012	0.9999409	0.5048118	0.1112091	0.3184634	0.8152606	0.9999891	0.0158960	0.0813878
1000	0.7068861	0.4028746	0.9999782	0.5276862	0.1089656	0.3203227	0.8141818	0.9999891	0.0158989	0.0814486

0	0.7103870	0.4026463	1.0000000	0.5254914	0.1187064	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.7103870	0.4026463	1.0000000	0.2495422	0.5385876	0.1766201	0.8131523	0.9999891	0.0159043	0.0815240
100	0.7103870	0.4026463	1.0000000	0.1562796	0.6502154	0.1279594	0.8131523	0.9999891	0.0159043	0.0815240
150	0.7103870	0.4026463	1.0000000	0.1363855	0.6813401	0.1117554	0.8131523	0.9999891	0.0159043	0.0815240
200	0.7103870	0.4026463	1.0000000	0.1322328	0.6901758	0.1063595	0.8131523	0.9999891	0.0159043	0.0815240
250	0.7103870	0.4026463	1.0000000	0.1313191	0.6926914	0.1045626	0.8131523	0.9999891	0.0159043	0.0815240
300	0.7103870	0.4026463	1.0000000	0.1310993	0.6934080	0.1039643	0.8131523	0.9999891	0.0159043	0.0815240
350	0.7103870	0.4026463	1.0000000	0.1310407	0.6936122	0.1037650	0.8131523	0.9999891	0.0159043	0.0815240
400	0.7103870	0.4026463	1.0000000	0.1310236	0.6936704	0.1036987	0.8131523	0.9999891	0.0159043	0.0815240
450	0.7103870	0.4026463	1.0000000	0.1310183	0.6936869	0.1036766	0.8131523	0.9999891	0.0159043	0.0815240
500	0.7103870	0.4026463	1.0000000	0.1310166	0.6936917	0.1036692	0.8131523	0.9999891	0.0159043	0.0815240
550	0.7103870	0.4026463	1.0000000	0.2601670	0.2264245	0.2497951	0.8131523	0.9999891	0.0159043	0.0815240
600	0.7103870	0.4026463	1.0000000	0.3048309	0.0943372	0.2984550	0.8131523	0.9999891	0.0159043	0.0815240
650	0.7103870	0.4026463	1.0000000	0.4196821	0.0602546	0.3146587	0.8131523	0.9999891	0.0159043	0.0815240
700	0.7103870	0.4026463	1.0000000	0.5613333	0.0672887	0.3200545	0.8131523	0.9999891	0.0159043	0.0815240
750	0.7103870	0.4026463	1.0000000	0.6058724	0.1082613	0.3218514	0.8131523	0.9999891	0.0159043	0.0815240
800	0.7103870	0.4026463	1.0000000	0.5650960	0.1442890	0.3224497	0.8131523	0.9999891	0.0159043	0.0815240
850	0.7103870	0.4026463	1.0000000	0.5049067	0.1418878	0.3226489	0.8131523	0.9999891	0.0159043	0.0815240
900	0.7103870	0.4026463	1.0000000	0.4884001	0.1207539	0.3227153	0.8131523	0.9999891	0.0159043	0.0815240
950	0.7103870	0.4026463	1.0000000	0.5096924	0.1080906	0.3227374	0.8131523	0.9999891	0.0159043	0.0815240
1000	0.7103870	0.4026463	1.0000000	0.5344106	0.1096385	0.3227447	0.8131523	0.9999891	0.0159043	0.0815240

0	0.7103870	0.4026463	1.0000000	0.5254914	0.1187064	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.3423195	0.4100642	0.8521216	0.5279421	0.1172691	0.3453862	0.6218239	0.9840707	0.2593281	0.0825106
100	0.2328940	0.4326166	0.7975607	0.4841787	0.1179318	0.4023121	0.5894031	0.9559891	0.3389374	0.0851295
150	0.1973615	0.4561394	0.7774301	0.4511616	0.1101795	0.4473758	0.5875886	0.9199206	0.3649937	0.0872623
200	0.1827977	0.4729654	0.7700027	0.4466745	0.1003432	0.4697419	0.5917311	0.8958034	0.3735378	0.0882652
250	0.1749620	0.4828811	0.7672624	0.4577461	0.0963859	0.4772047	0.5960794	0.8839437	0.3763463	0.0885299
300	0.1701394	0.4880815	0.7662513	0.4662659	0.0984516	0.4778584	0.5992961	0.8788327	0.3772706	0.0884872
350	0.1671449	0.4906080	0.7658782	0.4657242	0.1018512	0.4762975	0.6013526	0.8767057	0.3775738	0.0883674
