"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0234708	0.0945459	0.0506566	0.6611864	0.5876048	0.9986711	0.9785182	0.9961482	0.0651188	0.0998857
50	0.0688778	0.0688921	0.0617197	0.3396742	0.5282090	0.8113350	0.2272118	0.9847721	0.0710273	0.1455660
100	0.0808273	0.0655717	0.2203261	0.2197268	0.3505722	0.3179679	0.0884252	1.0261860	0.0660601	0.1176786
150	0.0875743	0.1131932	0.4918808	0.1880488	0.1622884	0.1129578	0.0639168	1.0192449	0.0593661	0.0728557
200	0.1075107	0.2416190	0.5928756	0.1739768	0.0560814	0.0707646	0.0685593	1.0342382	0.0432396	0.1036199
250	0.1445945	0.2855015	0.5885947	0.2544656	0.0325522	0.0389490	0.0578655	1.0439417	0.0491018	0.1248835
300	0.2115260	0.3131754	0.4182044	0.2869538	0.0228962	0.0427547	0.0653921	1.0356100	0.0411133	0.1112914
350	0.2204937	0.3404715	0.3522105	0.3518930	0.0266100	0.0556528	0.0702839	0.9624963	0.0527946	0.1342957
400	0.3096451	0.2980739	0.2746464	0.4417617	0.0360511	0.0630679	0.0621743	0.9630325	0.0652398	0.1252002
450	0.3508424	0.2007156	0.1661954	0.4555984	0.0417501	0.0645794	0.0592301	1.0234084	0.0490651	0.1011665
500	0.2865972	0.1864773	0.1720808	0.4770391	0.0397372	0.0343042	0.0914782	0.9921338	0.0455301	0.0747171
550	0.2197020	0.1704762	0.0954854	0.8496532	0.0244941	0.3092557	0.8887868	0.9619223	0.0565168	0.0868242
600	0.1742252	0.1424296	0.0642037	1.0539404	0.0195030	0.6827435	0.8781595	0.9948579	0.0622718	0.1028152
650	0.1084468	0.1067220	0.0493072	1.0208962	0.0817136	0.8818144	0.8864515	0.9808303	0.0701629	0.1198985
700	0.1155621	0.0841070	0.0217828	1.0170712	0.1744506	0.9707326	0.9083437	1.0351273	0.0192600	0.1169000
750	0.0904403	0.0723661	0.0315606	0.9176046	0.3385233	0.9542008	1.0313102	1.0238148	0.0389885	0.1058847
800	0.0430262	0.0946112	0.0218298	0.8045978	0.3744681	0.9284520	0.9918243	1.1167239	0.0484136	0.1196896
850	0.0422296	0.0757065	0.0282427	0.6737877	0.4014863	0.9403891	0.9860029	1.0707614	0.0721529	0.1346302
900	0.0363970	0.0781804	0.0412389	0.7235989	0.4302548	0.9791297	0.9843936	0.9681811	0.0862304	0.1130384
950	0.0462303	0.0678011	0.0389629	0.7134138	0.5256943	1.0059128	1.0316528	1.0362551	0.0937514	0.1038360
1000	0.0389506	0.0720447	0.0420897	0.6939793	0.4675250	0.8962433	1.0007377	1.0183064	0.0631181	0.0992417

0	0.0234708	0.0945459	0.0506566	0.6611864	0.5876048	0.9986711	0.9785182	0.9961482	0.0651188	0.0998857
50	0.0375702	0.0812605	0.0663219	0.2256708	0.5141146	0.9803615	1.0120182	0.4682638	0.0562083	0.1328010
100	0.0535202	0.0947748	0.2576704	0.0643065	0.6024230	1.0628947	0.9904608	0.3000227	0.0513900	0.1331700
150	0.0529750	0.1790054	0.7912948	0.0256699	0.7859238	0.9987742	0.9897741	0.2419343	0.0485467	0.1360343
200	0.0619302	0.2986466	0.9645025	0.0071432	0.6815459	1.0187293	0.9728304	0.2127842	0.0634029	0.2213766
250	0.1680767	0.4727300	0.9985954	0.0025688	0.5943835	0.9794128	0.8830379	0.1828097	0.1356649	0.2308915
300	0.3391894	0.4746305	0.9435517	0.0001124	0.5105713	0.9557129	1.0422271	0.1719145	0.1864724	0.2334638
350	0.4977868	0.5442765	1.0516484	0.0001472	0.6155749	0.8928797	1.0112186	0.1793792	0.2082917	0.3060873
400	0.5505473	0.5425310	1.0175698	0.0020299	0.5328285	0.9183180	0.9406687	0.2036373	0.3709462	0.2483477
450	0.5377211	0.5696256	0.9411784	0.0006659	0.5768959	0.9504440	1.0261192	0.1833600	0.4244799	0.2676708
500	0.5491049	0.5010997	0.9673254	0.0005431	0.5099007	0.8678217	1.0147509	0.1376420	0.3180129	0.2459902
550	0.5188658	0.5406390	1.0058026	0.0706275	0.4874868	0.9066551	0.9338234	0.6875637	0.3188209	0.2170716
600	0.5133187	0.5320294	0.9377455	0.0797713	0.4776242	0.9466095	0.9944174	0.9058310	0.2187401	0.1840145
650	0.5476742	0.4964087	0.9789765	0.0991983	0.5157598	0.8864459	0.9767171	0.9091743	0.1080170	0.1585753
700	0.5875691	0.5172794	0.9911825	0.0921379	0.4345408	1.0598549	1.0535476	0.9743514	0.0739980	0.1294893
750	0.5760954	0.4943484	0.8825366	0.0641401	0.6250906	0.9228980	0.9309799	0.9738968	0.0695573	0.1388440
800	0.5080459	0.5458877	0.9632227	0.0905179	0.4155866	0.9655017	1.0530749	1.0282256	0.0640430	0.1414718
850	0.5515977	0.5260392	0.9042795	0.0771244	0.4429094	0.9931455	1.0343100	0.9940500	0.0516434	0.1226211
900	0.5671989	0.5971341	0.9687501	0.0760376	0.5307768	0.9034482	1.0612092	0.9461222	0.0520070	0.1082989
