YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.9679786	0.3882881	0.0932879	1.0067635	0.6851432	0.5543631	0.5488352	0.6069914	0.0812938
0.0346935	0.0000000	0.4215104	0.0667289	1.0238385	0.9304423	0.6008477	0.6683241	0.5785133	0.0628556
0.9537330	0.9970800	0.0000000	0.0874544	1.0280795	1.0396749	0.3736825	0.4522606	0.9979389	0.0472778
0.8984690	0.9769033	0.0323711	0.0000000	1.0477447	1.0881461	0.4002191	0.3743233	0.9822128	0.0581420
0.0279202	0.0243074	0.9963332	0.9986844	0.0000000	0.5029371	0.6719034	0.7943046	0.4245217	1.0307562
0.0378048	0.0235777	0.9743788	0.2696725	0.0572989	0.0000000	0.6645589	0.7143842	0.4665846	0.9374182
0.9474520	0.9833737	0.2784794	0.0536468	1.0298175	0.9677166	0.0000000	0.6133112	0.6104281	0.0985020
0.8560109	0.9058341	0.2457019	0.0630492	1.0368332	1.0820460	0.4477537	0.0000000	0.6264313	0.0680067
0.8822298	0.9808118	0.3747065	0.0560250	0.8972064	0.4902814	0.8210130	1.0085543	0.0000000	0.0740927
0.9115790	1.0636327	0.4872845	0.0639930	1.0623187	0.7506977	0.5965069	0.5979280	0.5836080	0.0000000
