YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.2100639	0.9695597	0.4597245	0.7807338	0.9882210	0.3056231	0.2926798	0.9023722	0.9015759	1.1689187
0.2604302	0.9866057	0.0866165	0.2324516	0.2036184	0.0397611	0.5608693	0.6721629	0.9762199	1.0164918
0.1013496	1.0583134	0.1049731	0.3171362	0.9970504	0.2265003	0.5450413	0.7095623	0.9852379	1.0477282
0.5398289	1.0641128	0.1769505	0.4130014	0.7585731	0.1741631	0.3822175	0.7322031	0.5536275	0.7761908
0.4017011	1.1232907	0.2333871	0.5604736	0.9256493	0.2633735	0.3712118	0.7962127	0.7877833	0.7870141
0.3379722	0.9855156	0.1227810	0.2798383	0.9081326	0.2340616	0.4371097	0.7861296	0.5725475	1.0415606
0.3552320	1.0009682	0.6730337	0.7921537	0.7486481	0.1620128	0.1932286	0.6875520	0.7131995	0.6705729
0.1422196	1.0344318	0.1096230	0.4770700	0.8351632	0.2901465	0.5392781	0.6564299	0.9654085	1.0787290
0.2454787	1.0237399	0.1661878	0.1223806	1.0420011	0.3222838	0.5197126	0.8128376	0.8756596	1.0264038
0.2651667	0.9186433	0.0899144	0.2147690	0.7643072	0.1157908	0.5732069	0.7463434	0.9019331	0.8675257
