YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000000	0.0740427	0.1668397	0.2238114	0.1948031	0.4250745	0.0547803	0.0134266	0.7607934	0.6727293
0.1392683	0.0000000	0.0951418	0.1586235	0.1358938	0.4612840	0.0460564	0.0096092	0.6114501	0.8223691
0.1389870	0.0735839	0.0000000	0.1327498	0.2567692	0.3912159	0.0342106	0.0086642	0.6921158	0.8601635
0.0249088	0.0598641	0.0146331	0.0000000	0.1919971	0.4952685	0.0515634	0.0019682	0.6104214	0.7360342
0.4067521	0.4389092	0.6801227	0.6607324	0.0000000	0.6227484	0.3302765	0.4598625	0.2049613	0.6445277
0.4940007	0.5690459	0.6711182	0.6263577	0.0051105	0.0000000	0.3736430	0.5822397	0.1952602	0.8016295
0.2737661	0.1680866	0.6175489	0.3940881	0.0099414	0.0424555	0.0000000	0.0433382	0.5403120	0.9765277
0.0840067	0.0665951	0.2280606	0.1411869	0.2185973	0.3802065	0.0813940	0.0000000	0.7161395	0.7197362
0.1053517	0.0405913	0.0419795	0.1234259	0.1722864	0.4775947	0.0656698	0.3602156	0.0000000	0.7529269
0.1522887	0.0567779	0.0863976	0.2002778	0.1464891	0.4579234	0.0602174	0.0070095	0.7230221	0.0000000
