YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.6084090	0.7079069	0.4369406	0.9888190	0.1882311	0.6498932	0.9622573	0.7447679	0.5318799	1.0000000
0.3265973	0.5740104	0.4779266	0.5110220	0.2400746	0.3610950	0.7660731	0.7338208	0.4477620	0.7755319
0.3122367	0.5886999	0.4350223	0.9930565	0.1602220	0.4977984	0.9840161	0.7460986	0.4650003	0.8170582
0.5372324	0.6630344	0.5694700	0.7355317	0.6021131	0.8071585	0.9649673	0.7384012	0.5545386	1.0000000
0.6495676	0.7986792	0.4170311	0.7838576	0.5505576	0.4894437	0.9693754	0.8100572	0.6927277	0.9344883
0.5617978	0.8984145	0.3598426	0.9922240	0.1664255	0.5860948	0.9672383	0.7647335	0.5318798	1.0000000
0.3655290	0.6475898	0.4390047	0.9841388	0.2120247	0.4216544	0.8575330	0.7771207	0.3867237	0.6425903
0.6220956	0.8848378	0.3807036	0.6625436	0.2153694	0.4398351	0.8863294	0.5221580	0.5318797	1.0000000
0.4030647	0.5440429	0.6862460	0.5586105	0.1910814	0.4439650	0.8644511	0.6141128	0.5318797	1.0000000
0.3593623	0.6402287	0.6565356	0.6010325	0.4388792	0.4938923	0.9773170	0.7210274	0.5177070	0.8803414
