YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.6921293	0.2374598	0.0034952	0.9020637	0.9116521	1.0460761	0.2809796	0.7803860	0.8362334	1.0085004
0.8658232	0.3239094	0.0037289	0.9998334	0.9504096	1.0291579	0.0622782	0.8827243	1.0196666	1.0652040
0.9123466	0.0012143	0.0013657	0.9669467	1.0929580	1.0274120	0.2553701	0.6289781	0.8312365	0.9087637
1.0562949	0.0015306	0.0014631	1.0361223	1.0334849	0.8955980	0.3446428	0.6314197	0.8932141	0.9801142
0.7477282	0.3326282	0.1070015	0.9780276	1.0165081	0.9032586	0.1626017	0.5909953	0.8477980	1.0048505
0.8978454	0.1153129	0.0060910	1.0001697	0.9594225	0.9781495	0.2470742	0.9189934	0.8247505	1.0862393
1.0662927	0.0055204	0.0831459	1.0444686	0.9258912	0.5755757	0.2341652	0.8672449	0.9535791	0.9697271
1.0429691	0.0019436	0.0035089	0.8974244	0.8777972	1.0025707	0.2152850	0.9126936	0.9455966	1.0174947
0.8828834	0.1057346	0.0033184	0.8733483	0.9610055	0.7269937	0.3394227	0.4602456	0.9190613	1.0427243
0.6117153	0.3316412	0.0349457	0.9607901	0.9539893	1.0912998	0.0662046	0.9751881	0.9919017	1.0615531
