YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000000	0.7359378	0.0124671	0.0802630	0.1422206	0.8444231	0.0349957	0.0620536	0.7184286	0.8414327
0.6339763	0.0005640	0.0299857	0.0095116	0.4132098	0.7829476	0.0314620	0.0489297	0.6447539	0.7968919
0.0898872	0.7908323	0.0000000	0.2324693	0.1468454	0.6659923	0.0414823	0.0235183	0.4772966	0.7781820
0.1440430	0.8314008	0.0141298	0.0000000	0.2088756	0.6777131	0.0424046	0.0903464	0.8281043	0.7487683
0.0050191	0.7160131	0.0012519	0.0214941	0.0000000	0.5615242	0.0279887	0.0266279	0.5846145	0.9475871
0.7543444	0.5172654	0.1771545	0.3920627	0.4388249	0.0000000	0.2485185	0.2430959	0.6338500	0.7614167
0.0171645	0.5740617	0.0148840	0.0456954	0.1828960	0.8876542	0.0000000	0.0514501	0.7084007	0.8991167
0.0516701	0.7485870	0.0224526	0.0511216	0.1735606	0.7757459	0.0210378	0.0000000	0.6183538	0.7137100
0.0737516	0.8160195	0.0148426	0.0869077	0.2039840	0.7282152	0.0495359	0.0279339	0.0000000	0.6658572
0.1199792	0.8489670	0.0262873	0.0824418	0.2741544	0.8596603	0.0293082	0.0246189	0.0160438	0.0000000
