YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0889521	0.0822405	0.1173074	0.7842426	0.0549293	0.0016602	0.1827878	0.6350142	0.2639041	0.8898434
0.5647058	0.0004287	0.2727249	0.5102495	0.1000402	0.0003693	0.2231461	0.1951002	0.1633030	0.7955844
0.1405618	0.1206271	0.0212899	0.9382562	0.0217587	0.0183059	0.1684801	0.5614629	0.2439221	0.9790273
0.0028904	0.0034744	0.3427071	0.0478331	0.5406954	0.0787793	0.2327777	0.3910854	0.1872207	0.9354252
0.2991147	0.2432973	0.3384547	0.0570312	0.4797540	0.0653900	0.0771697	0.4950511	0.0629926	0.6651177
0.2393664	0.1450034	0.2128788	0.6309051	0.0720018	0.0593495	0.2023003	0.3247311	0.2373332	1.0394908
0.1131795	0.0006389	0.2961549	0.5153250	0.1247451	0.0666155	0.4126227	0.1980740	0.0862874	0.8602135
0.1043741	0.1573088	0.0345494	0.7804601	0.0601119	0.0838534	0.1185955	0.6122065	0.2140235	1.0203229
0.0001490	0.0003713	0.0003801	0.7810758	0.0000838	0.0661061	0.1646730	0.5779958	0.2750946	0.9906560
0.1728872	0.0004294	0.3214485	0.9944453	0.0015773	0.0561606	0.1876595	0.6683281	0.2506019	1.0306484
