YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	1.0934770	0.5155785	0.6424726	0.7058289	1.1453233	0.5257550	0.3381454	0.6771600	0.9839828
1.0955955	0.0000000	0.5420632	0.9830246	0.1674351	0.3952597	0.6744255	0.3271216	0.6099954	1.0378571
0.4691645	1.1046379	0.0000000	0.7565809	0.2770014	0.5280037	0.6438056	0.3423799	0.6840976	1.0239798
0.5718650	0.9410899	0.6169393	0.0000000	0.2907776	0.4635315	0.6000015	0.2873564	0.6774409	0.9553579
0.5417309	1.0428815	0.3050184	1.0341349	0.0000000	0.3995627	0.8690748	0.3431442	0.5790450	1.0368942
0.5401113	1.1068201	0.2531748	0.9281232	0.0278615	0.0000000	0.7882577	0.4500240	0.4814459	1.0857913
0.4524865	1.0044941	0.5052476	0.6975175	0.3238903	0.5337809	0.0000000	0.3356579	0.5930609	0.9796879
0.5186795	0.9876490	0.4587268	0.9022321	0.1937693	0.4984997	0.8114535	0.0000000	0.6307066	1.0680518
0.4513775	1.0639526	0.5186094	0.6522932	0.3794440	0.6394892	0.2867983	1.1059739	0.0000000	0.9684090
0.4601236	1.0186846	0.4746856	0.7728168	0.3429330	0.5800416	0.4859353	0.5003659	0.2584773	0.0000000
