YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.2072492	0.4893831	0.7847379	1.0763163	0.0965621	0.2064018	1.0045948	0.3376692	0.2435206	1.0833514
0.6330221	0.2337628	0.6407558	1.0041636	0.0843842	0.2254266	0.9287954	0.1060846	0.2747213	0.9550628
0.3182926	0.6620936	0.3626659	0.9319762	0.1259056	0.3135484	1.0166512	0.2762682	0.3419625	1.0714033
0.3184782	0.4632543	0.7664752	0.4651552	0.0946882	0.2355292	0.9897012	0.2354427	0.2346714	1.0779787
0.4100183	0.4658780	0.6488719	0.9820850	0.0277515	0.2388405	1.0534454	0.1694936	0.2040051	1.0074948
0.4078416	0.4873219	0.6651916	1.0039519	0.0177901	0.1320939	0.9893331	0.2269754	0.1364145	0.9605462
0.3849175	0.4783697	0.6718790	1.0182355	0.1217675	0.3104918	0.4800683	0.2423976	0.4411462	0.9436809
0.3677850	0.4873483	0.7301682	1.0323554	0.0525709	0.2120924	1.0781367	0.1147383	0.3010037	1.0883065
0.4461389	0.4191663	0.7376302	1.0330940	0.0472236	0.1699416	0.9822845	0.2024318	0.0975250	0.9999146
0.4119835	0.4872158	0.7034010	0.9804880	0.0806071	0.2652233	0.9734306	0.2189036	0.3636694	0.5112359
