"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.3747754	0.2454046	0.3531242	0.5163989	0.6672712	0.2032556	0.7074598	0.3382325	0.5308192	0.6763747
50	0.5640111	0.1915144	0.4555424	0.4914775	0.5974646	0.0688989	0.6910598	0.4703903	0.7188671	0.8434816
100	0.5392137	0.2059397	0.6056227	0.4098594	0.7423488	0.0409945	0.7439730	0.3891045	0.6621913	0.9340423
150	0.4929338	0.2045840	0.8341326	0.4579826	0.6435986	0.0208638	0.7485965	0.3555279	0.6381067	0.9097756
200	0.4771532	0.1935789	0.6665219	0.4104079	0.7022521	0.0010176	0.6636763	0.3641432	0.4012878	0.6715827
250	0.4238211	0.1895544	0.8493119	0.3332851	0.7062579	0.0081358	0.7871131	0.3268962	0.6158312	0.8218916
300	0.2902756	0.1458731	0.7601847	0.3652428	0.7028389	0.0044227	0.8480788	0.3333047	0.6385114	0.9136514
350	0.2384202	0.1026976	0.6859293	0.2789008	0.7094714	0.0049733	0.7275031	0.3403965	0.5866942	0.8983084
400	0.3396496	0.0645323	0.7735434	0.3813316	0.7265456	0.0045105	0.7132858	0.3448731	0.6720968	0.7459606
450	0.4400889	0.1028249	0.7868946	0.3629661	0.9786848	0.0038449	0.7318452	0.3458804	0.5325052	0.7694222
500	0.3254928	0.0813603	0.6007016	0.3996707	0.7973687	0.0106408	0.6780767	0.3180738	0.6741249	0.7284077
550	0.2942631	0.0938320	0.5640294	0.3259011	0.6687082	0.0762994	0.5648579	0.4090952	0.4893280	0.6320365
600	0.3730129	0.1588069	0.4655687	0.3020404	0.7607598	0.1529456	0.6970558	0.3740223	0.5879778	0.7200545
650	0.3961573	0.1529747	0.3773754	0.4478823	0.6791752	0.1356820	0.6954857	0.3749845	0.5750639	0.7943920
700	0.2997337	0.1638141	0.3191209	0.3272510	0.6638521	0.1686879	0.8617743	0.3035142	0.4780513	0.8234322
750	0.2909027	0.1138179	0.3134754	0.5742851	0.6928668	0.1534998	0.7409626	0.4073671	0.6090582	0.7764862
800	0.3866816	0.1450077	0.3011685	0.3532289	0.8955426	0.1686723	0.9173417	0.2902908	0.6334478	0.7347009
850	0.3888406	0.1511844	0.3915033	0.4085242	0.5579304	0.1147899	0.6429632	0.3422656	0.7068216	0.8395531
900	0.4439259	0.1863419	0.2867256	0.3837209	0.5804487	0.1247993	0.8646703	0.4327375	0.6941450	0.8041681
950	0.4620328	0.1730375	0.2935615	0.4123837	0.5818339	0.1118869	0.6267805	0.5260154	0.6419297	0.7230592
1000	0.4486794	0.2181320	0.3473220	0.4937999	0.7280784	0.1387534	0.6388945	0.3959196	0.8070841	0.7984132

0	0.4614912	0.2154578	0.3197736	0.4540610	0.5205929	0.1923468	0.7642705	0.2714314	0.6839145	0.7071133
50	0.4382795	0.2157251	0.3255366	0.4650968	0.5216366	0.1155992	0.6495820	0.3437477	0.7162079	0.8882783
100	0.5056789	0.2055989	0.3146953	0.4654349	0.7818885	0.1678214	0.8098129	0.4556352	0.6955249	0.7870779
150	0.4602664	0.1659283	0.2594550	0.3123568	0.6922439	0.1182461	0.6589071	0.4881884	0.8135381	0.8601008
200	0.4120165	0.1552592	0.1892357	0.3876569	0.5696524	0.1382570	0.5880122	0.4219227	0.5182620	0.7413781
250	0.4870503	0.1562931	0.2175250	0.3112892	0.6391236	0.1591314	0.7963875	0.4033057	0.7420446	0.7689547
300	0.4157995	0.1728756	0.3135575	0.3294006	0.6572537	0.1238991	0.6527593	0.5063362	0.7149062	0.8195499
350	0.4621750	0.2064611	0.2965981	0.4838970	0.5530114	0.2143540	0.7160031	0.5040668	0.6215957	0.7437298
400	0.6245308	0.1621180	0.2134027	0.4923854	0.4680629	0.2531336	0.7590110	0.3565290	0.6255992	0.7732546
450	0.4834700	0.2543791	0.3018530	0.4436321	0.5985991	0.1663757	0.6444905	0.4311321	0.7830645	0.7077173
500	0.4959744	0.3695697	0.2546367	0.4069633	0.4446359	0.1579535	0.6792715	0.5145761	0.5759600	0.7841384
550	0.5476862	0.3191941	0.1915678	0.4617457	0.4827142	0.1551408	0.6613837	0.4442787	0.6844163	0.7049001
600	0.5159821	0.2767983	0.3246294	0.5754820	0.5769255	0.1737130	0.6234849	0.3685535	0.6119903	0.9789119
650	0.5134766	0.3019858	0.2943430	0.5532756	0.6332321	0.1100119	0.6331343	0.4062279	0.5634721	0.9426678
700	0.6269215	0.3087248	0.2933826	0.5730054	0.5549820	0.1274903	0.6462032	0.3933408	0.6377354	0.9286154
750	0.5420468	0.2448376	0.3727270	0.6874712	0.7092044	0.1216227	0.6053665	0.4055925	0.6329670	0.8027841
800	0.4347215	0.2301017	0.3197331	0.4790602	0.6428637	0.1893373	0.7263046	0.4570601	0.6965995	0.8583730
850	0.3660572	0.2310750	0.3899401	0.4977897	0.7066372	0.1782132	0.7143775	0.4010673	0.7013825	0.7695178
900	0.3513926	0.1311737	0.3189969	0.6497951	0.6146336	0.2213294	0.7439829	0.3552119	0.6406407	0.7973419
950	0.4462874	0.1346324	0.4590433	0.5467682	0.6323488	0.2158640	0.6827778	0.3423587	0.6192290	0.8221288
1000	0.4319736	0.1931046	0.2902104	0.5914658	0.4408741	0.1654683	0.5811975	0.4627148	0.5287419	0.7020410

0	0.4860596	0.1349492	0.2733880	0.4793135	0.5396722	0.2462900	0.6505000	0.3411634	0.6913088	0.7579659
