YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000000	0.0005882	0.6015639	0.3179695	0.5525287	0.7923862	0.0848254	0.2949193	0.5431135	0.3616506
0.0737572	0.0000000	0.6105792	0.3250372	0.5256090	0.8083411	0.0566300	0.3319003	0.5355053	0.3977784
0.7298101	0.6395591	0.0000000	0.1453296	0.7210728	0.6450448	0.1088842	0.2100483	0.5831392	0.8113751
0.0966715	0.0037726	0.6906785	0.0000000	0.5128516	0.7333687	0.0298538	0.2969098	0.4203931	0.2984177
0.7940933	0.7817958	0.0439305	0.8887582	0.0000000	0.6463320	0.0711390	0.1613425	0.5928479	0.6527085
0.1369640	0.0022960	0.5096229	0.4238464	0.4466138	0.0000000	0.0833543	0.3435010	0.4770098	0.2604802
0.0873469	0.0048970	0.5676086	0.3807826	0.5464710	0.7015882	0.0000000	0.1982240	0.4996288	0.3843259
0.0660328	0.0064549	0.6729079	0.2209636	0.6172804	0.0181449	0.7845358	0.0000000	0.4448679	0.2165413
0.1669673	0.0104054	0.3696844	0.6242179	0.4285642	0.6989201	0.1006192	0.9053870	0.0000000	0.5953705
0.7686761	0.1528622	0.2184608	0.4501383	0.4885609	0.7819242	0.0871428	0.5850976	0.0219684	0.0000000
