"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
800	0.5290019	0.0492884	0.2310989	0.3895716	0.9851116	0.3276876	0.9223925	0.9641835	0.9970613	0.0436181
850	0.5292242	0.0441619	0.2304049	0.3909006	0.9820749	0.3316063	0.9291679	0.9652274	0.9988159	0.0436545
900	0.5295022	0.0415947	0.2300279	0.3918921	0.9802210	0.3338836	0.9317102	0.9656550	0.9995229	0.0436676
950	0.5297209	0.0403092	0.2297970	0.3925440	0.9791167	0.3352292	0.9326693	0.9658308	0.9998078	0.0436727
1000	0.5298620	0.0396655	0.2296502	0.3929476	0.9784609	0.3360215	0.9330341	0.9659030	0.9999225	0.0436748

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5300404	0.0390246	0.2361984	0.2497138	0.8286372	0.3560319	0.9332637	0.9659528	1.0000000	0.0141587
100	0.5301251	0.0390407	0.2578295	0.2381141	0.7743482	0.4022043	0.9332637	0.9659528	1.0000000	0.0046126
150	0.5303232	0.0391037	0.2739514	0.2456440	0.7460037	0.4414730	0.9332637	0.9659528	1.0000000	0.0015295
200	0.5305261	0.0392085	0.2785126	0.2529596	0.7240273	0.4684530	0.9332637	0.9659528	1.0000000	0.0005364
250	0.5306527	0.0393115	0.2773306	0.2588692	0.7051528	0.4882360	0.9332637	0.9659528	1.0000000	0.0002191
300	0.5307021	0.0393781	0.2744627	0.2638805	0.6888962	0.5042804	0.9332637	0.9659528	1.0000000	0.0001202
350	0.5307024	0.0394041	0.2714478	0.2682624	0.6746505	0.5180253	0.9332637	0.9659528	1.0000000	0.0000919
400	0.5306791	0.0394014	0.2687233	0.2721770	0.6618404	0.5301683	0.9332637	0.9659528	1.0000000	0.0000863
450	0.5306474	0.0393831	0.2663515	0.2757523	0.6500561	0.5411659	0.9332637	0.9659528	1.0000000	0.0000879
500	0.5306149	0.0393586	0.2642852	0.2790869	0.6390082	0.5513459	0.9332637	0.9659528	1.0000000	0.0000919
550	0.5305700	0.0393265	0.2492691	0.4656438	0.7573306	0.5354031	0.9332637	0.9659528	1.0000000	0.0298640
600	0.5304360	0.0392555	0.2328212	0.4726570	0.8130996	0.4883079	0.9332637	0.9659528	1.0000000	0.0393767
650	0.5302506	0.0391682	0.2256820	0.4547345	0.8609130	0.4462818	0.9332637	0.9659528	1.0000000	0.0423917
700	0.5300985	0.0390976	0.2237097	0.4366169	0.9002193	0.4128384	0.9332637	0.9659528	1.0000000	0.0433276
750	0.5300087	0.0390512	0.2239791	0.4221127	0.9285976	0.3873829	0.9332637	0.9659528	1.0000000	0.0436044
800	0.5299708	0.0390247	0.2250373	0.4117034	0.9474746	0.3692468	0.9332637	0.9659528	1.0000000	0.0436777
850	0.5299646	0.0390117	0.2262081	0.4047533	0.9594082	0.3570802	0.9332637	0.9659528	1.0000000	0.0436915
900	0.5299736	0.0390069	0.2272106	0.4003310	0.9667189	0.3492795	0.9332637	0.9659528	1.0000000	0.0436901
950	0.5299875	0.0390066	0.2279667	0.3976042	0.9711160	0.3444338	0.9332637	0.9659528	1.0000000	0.0436861
1000	0.5300009	0.0390083	0.2284938	0.3959559	0.9737340	0.3414867	0.9332637	0.9659528	1.0000000	0.0436828

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5300490	0.0390261	0.2495119	0.1101634	0.9775221	0.3371790	0.9529887	0.9659528	1.0000000	0.0141666
100	0.5303968	0.0391483	0.4205805	0.0563558	0.9775043	0.3373034	0.9591184	0.9659528	1.0000000	0.0046146
150	0.5314010	0.0431683	0.6801718	0.0461391	0.9774759	0.3374100	0.9610233	0.9659528	1.0000000	0.0015227
200	0.5321437	0.0930559	0.8311298	0.0442000	0.9774460	0.3374796	0.9616152	0.9659528	1.0000000	0.0005219
250	0.5324663	0.2418864	0.8970275	0.0438326	0.9774217	0.3375214	0.9617992	0.9659528	1.0000000	0.0001980
300	0.5325906	0.4159572	0.9233074	0.0437635	0.9774047	0.3375461	0.9618563	0.9659528	1.0000000	0.0000932
350	0.5326380	0.5499059	0.9333696	0.0437509	0.9773937	0.3375607	0.9618741	0.9659528	1.0000000	0.0000592
400	0.5326565	0.6367416	0.9371402	0.0437488	0.9773868	0.3375692	0.9618796	0.9659528	1.0000000	0.0000482
450	0.5326639	0.6885849	0.9385363	0.0437487	0.9773826	0.3375743	0.9618813	0.9659528	1.0000000	0.0000447
500	0.5326670	0.7180920	0.9390496	0.0437487	0.9773801	0.3375773	0.9618819	0.9659528	1.0000000	0.0000435
