"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
400	0.0901373	0.4338924	0.4411303	0.7346623	0.5051899	0.7567341	0.0237118	0.0525262	0.0455802	0.7276624
450	0.1187493	0.4182967	0.4275141	0.7453776	0.4922173	0.5739908	0.0399092	0.0899785	0.0463276	0.7334303
500	0.1227175	0.4493988	0.5581541	0.7615695	0.6104892	0.7603243	0.0469601	0.1070469	0.0273637	0.7921222
550	0.1179889	0.3667588	0.5133676	0.6631974	0.5053337	0.8566173	0.0455848	0.0766349	0.0320195	0.7691328
600	0.2624490	0.2965484	0.5365748	0.8262284	0.5896657	0.8082062	0.0321870	0.0451555	0.0312033	0.8399231
650	0.1665199	0.3670557	0.5322237	0.7057835	0.5076060	0.8044818	0.0460759	0.0813067	0.0274074	0.9231474
700	0.2308934	0.3351315	0.3812776	0.7296381	0.5082609	0.6812194	0.0305009	0.1184126	0.0269423	0.6766357
750	0.2167696	0.3014776	0.5351852	0.6738195	0.4371128	0.7702106	0.0474895	0.1070720	0.0711476	0.7623366
800	0.1926076	0.3236349	0.4009642	0.6383605	0.5101861	0.8722464	0.0304989	0.0913123	0.0401036	0.7038844
850	0.1138260	0.3920211	0.4883363	0.5700631	0.6077174	0.6146797	0.0472786	0.0581196	0.0535017	0.8178257
900	0.1231047	0.3226483	0.4587425	0.7502394	0.5401316	0.7398056	0.0389136	0.0639988	0.0359094	0.6962127
950	0.1448525	0.3286693	0.4807224	0.7467602	0.6439145	0.6978279	0.0379758	0.0511054	0.0329431	0.6420310
1000	0.1026782	0.4080768	0.4162379	0.7281441	0.4302250	0.7553611	0.0446057	0.0570208	0.0202941	0.7854889

0	0.1780132	0.4398996	0.4951796	0.6398628	0.3991995	0.5940987	0.0533846	0.0879531	0.0325336	0.9131945
50	0.2425950	0.3402808	0.6074744	0.6450349	0.4646884	0.6501271	0.1302446	0.2844899	0.0549631	0.7170185
100	0.2501978	0.2878832	0.5018215	0.8431612	0.3990763	0.6220703	0.2283488	0.4581261	0.0239054	0.7136143
150	0.1806678	0.2978563	0.4558894	0.6745778	0.3590318	0.3466690	0.3287216	0.4902903	0.0222746	0.6626411
200	0.1907998	0.2954090	0.4999654	0.6811149	0.2214197	0.1444865	0.3562316	0.4417957	0.0419972	0.6536623
250	0.1467856	0.4419594	0.3984945	0.6194121	0.1613639	0.1055012	0.3868709	0.5082813	0.0310744	0.6366980
300	0.0781548	0.4722241	0.4250847	0.6988382	0.0640498	0.0444391	0.4010479	0.4842126	0.0304204	0.5889441
350	0.0751148	0.2487376	0.5494828	0.7912274	0.0365520	0.0422967	0.4388924	0.4971262	0.0309090	0.6708068
400	0.0958548	0.3377367	0.6630109	0.7555214	0.0331621	0.0326162	0.4227639	0.3990411	0.0127764	0.4988999
450	0.1976074	0.3848810	0.5091159	0.8340730	0.0120330	0.0268147	0.3423886	0.4242949	0.0302657	0.5935095
500	0.1418166	0.3060608	0.5091263	0.7021283	0.0217726	0.0362305	0.4174410	0.4721536	0.0505798	0.6797419
550	0.1612338	0.4073021	0.4883977	0.7941362	0.0165777	0.0316142	0.3821019	0.2244244	0.0521333	0.6918877
600	0.1666695	0.4042955	0.4304397	0.6732176	0.0324203	0.0295580	0.1829470	0.1352383	0.0592151	0.7030676
650	0.0905662	0.3430325	0.4186439	0.8441394	0.0205811	0.1039409	0.0559718	0.1210246	0.0277950	0.6853021
700	0.1770832	0.3095387	0.5370484	0.7026294	0.0413670	0.3165157	0.0909883	0.0724634	0.0220812	0.7482100
750	0.1664212	0.3402719	0.6129372	0.7795021	0.1973303	0.5595811	0.0857484	0.0848776	0.0370415	0.7772264
800	0.0816602	0.3594257	0.5573027	0.9037023	0.3050793	0.5927871	0.0813706	0.0665406	0.0325649	0.7053095
850	0.0826068	0.3556866	0.5294189	0.8326561	0.4444086	0.6193845	0.0276722	0.0776653	0.0372243	0.7536122
900	0.1338902	0.2668389	0.5614395	0.6262938	0.4562955	0.7806934	0.0286452	0.0437764	0.0251036	0.8152193
950	0.2009569	0.4254878	0.5561257	0.8250257	0.4404998	0.7358072	0.0226631	0.0840377	0.0332017	0.7392624
1000	0.1871580	0.3932071	0.4610581	0.7952080	0.5064800	0.8358429	0.0709194	0.0575458	0.0334532	0.6917053

0	0.2172436	0.3157761	0.5515185	0.7965773	0.3988085	0.6673285	0.0616030	0.1026983	0.0517118	0.7738805
50	0.2011757	0.2834676	0.4612714	0.6755369	0.4845492	0.7333003	0.1850569	0.0832620	0.0146498	0.6654977
100	0.2200561	0.3600291	0.4967003	0.7709276	0.5265046	0.5091643	0.2480684	0.0899604	0.0213352	0.7171062
150	0.1936668	0.3890027	0.4188498	0.6016696	0.5473086	0.2823271	0.2851297	0.0934793	0.0352633	0.7066982
200	0.2144083	0.4200958	0.5118751	0.7973886	0.4538754	0.2231832	0.2456619	0.1047897	0.0273063	0.8795427
250	0.1415135	0.3435509	0.5167326	0.6780526	0.3488818	0.1925391	0.1455023	0.0515476	0.0259471	0.8203471
