YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.4722985	0.9482161	0.0313942	0.9149175	0.8965307	0.9464464	0.6742648	0.9699840	0.0094138	0.8805937
0.3456607	0.8910019	0.0006936	0.8827966	0.8798864	0.9341964	0.5338765	1.0642142	0.0410832	0.9678411
1.0772731	0.0063595	0.0487786	0.9128961	0.9703958	0.9289301	0.0033782	0.7824497	0.0265932	0.5971944
0.9652474	0.0628008	0.0422833	0.9614713	0.9127276	0.9570383	0.0150804	1.0534589	0.0363585	0.8379486
0.9202372	0.0220105	0.0544309	1.0152859	1.0574835	0.8775299	0.0044886	1.0552299	0.0238151	0.7698633
0.8936868	0.1101581	0.0824349	0.9324938	0.9331538	1.0028575	0.1576949	0.7338309	0.0451951	0.9834090
0.2136772	0.9677136	0.0154661	0.8366338	1.0014566	1.0059215	0.5798923	0.9761641	0.0596205	0.7414639
0.2038953	1.0476900	0.0131435	0.8373983	0.8541073	0.7488617	0.7539689	0.9329780	0.0514789	0.9238077
0.3811166	0.9077616	0.0027572	0.8592505	0.7909912	0.8553605	0.5958673	0.9962678	0.0698525	0.9311400
0.0935391	1.0290903	0.0093379	0.8526448	0.9748655	0.8686992	0.4889823	0.6506225	0.0124574	0.8556563
