"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.1797331	0.0955087	0.2408991	0.4971876	0.8620076	0.8737807	0.6111869	0.6985756	0.8311915	1.0000000
50	0.1796470	0.0955040	0.2408640	0.4963282	0.8864157	0.8738221	0.6111942	0.6980908	0.8129942	0.8496454
100	0.1796050	0.0954636	0.2401421	0.4914769	0.9137862	0.8738457	0.6114126	0.6825297	0.6718599	0.6622725
150	0.1795248	0.0951610	0.2376092	0.4844651	0.9290151	0.8739340	0.6160982	0.6008125	0.4429243	0.5446675
200	0.1791817	0.0943029	0.2335015	0.4783873	0.9360374	0.8746925	0.6380673	0.4364417	0.2662491	0.4833367
250	0.1782771	0.0928975	0.2290489	0.4743057	0.9390366	0.8776003	0.6864350	0.2691850	0.1695460	0.4540228
300	0.1766971	0.0912561	0.2252595	0.4719519	0.9403677	0.8837759	0.7504094	0.1570431	0.1244222	0.4406990
350	0.1746263	0.0897253	0.2225096	0.4707177	0.9411430	0.8924519	0.8093761	0.0970455	0.1049352	0.4348361
400	0.1724196	0.0885062	0.2207215	0.4700917	0.9417994	0.9016201	0.8515760	0.0686803	0.0968286	0.4323133
450	0.1704049	0.0876404	0.2196389	0.4697498	0.9424373	0.9095876	0.8770077	0.0561993	0.0935119	0.4312450
500	0.1687713	0.0870740	0.2190021	0.4695241	0.9430277	0.9156256	0.8906890	0.0509428	0.0921631	0.4307982
550	0.1675625	0.0867221	0.2186456	0.4700907	0.9204416	0.9197703	0.8975287	0.0488171	0.0979068	0.5809676
600	0.1667301	0.0865365	0.2190237	0.4742847	0.8950480	0.9224126	0.9007960	0.0495867	0.1777212	0.7682643
650	0.1662301	0.0866434	0.2211049	0.4806164	0.8810925	0.9239988	0.9009467	0.0712081	0.3689104	0.8858381
700	0.1661510	0.0872652	0.2247152	0.4862362	0.8748017	0.9247836	0.8878600	0.1636884	0.5619471	0.9471561
750	0.1666823	0.0884138	0.2287468	0.4900573	0.8722260	0.9243984	0.8451142	0.3161273	0.6918048	0.9764649
800	0.1679005	0.0898421	0.2322384	0.4922702	0.8711578	0.9218434	0.7814871	0.4613445	0.7638217	0.9897866
850	0.1696435	0.0912371	0.2347992	0.4934312	0.8705104	0.9165165	0.7208815	0.5650324	0.7999637	0.9956486
900	0.1715907	0.0923885	0.2364760	0.4940319	0.8697798	0.9089890	0.6760334	0.6281805	0.8171073	0.9981711
950	0.1734268	0.0932292	0.2375029	0.4944002	0.8688013	0.9006672	0.6473642	0.6631408	0.8249615	0.9992392
1000	0.1749531	0.0937933	0.2381318	0.4947175	0.8676209	0.8929473	0.6306108	0.6813341	0.8284763	0.9996860

0	0.1797331	0.0955087	0.2408991	0.4971876	0.8620076	0.8737807	0.6111869	0.6985756	0.8311915	1.0000000
50	0.1796523	0.0956511	0.2466368	0.5659380	0.8682538	0.8696823	0.4241070	0.7761279	0.8534290	1.0000000
100	0.1800687	0.0988463	0.2778644	0.6385831	0.8745919	0.8371806	0.2710054	0.8624311	0.8746608	1.0000000
150	0.1837593	0.1099352	0.3209078	0.6760361	0.8750860	0.7693940	0.2059009	0.9104602	0.8846318	1.0000000
200	0.1947382	0.1277333	0.3566930	0.6920385	0.8687901	0.6892549	0.1799481	0.9327441	0.8885541	1.0000000
250	0.2133633	0.1465639	0.3800944	0.6987599	0.8567498	0.6193726	0.1685874	0.9422422	0.8899828	1.0000000
300	0.2356273	0.1619681	0.3936539	0.7023009	0.8414923	0.5679119	0.1627893	0.9460959	0.8904828	1.0000000
350	0.2566869	0.1726693	0.4012628	0.7050725	0.8259117	0.5333741	0.1594798	0.9476097	0.8906538	1.0000000
400	0.2736414	0.1794485	0.4058127	0.7077476	0.8121597	0.5113173	0.1575146	0.9481908	0.8907114	1.0000000
450	0.2858759	0.1836485	0.4089367	0.7103198	0.8012346	0.4976021	0.1563468	0.9484099	0.8907307	1.0000000
500	0.2941416	0.1863787	0.4113815	0.7126173	0.7932013	0.4892035	0.1556514	0.9484914	0.8907372	1.0000000
550	0.2995921	0.1881266	0.4082443	0.6487005	0.7764920	0.5040826	0.3176977	0.8798560	0.8685017	1.0000000
600	0.3027787	0.1854524	0.3815011	0.5827570	0.7674229	0.5852549	0.4546044	0.7987156	0.8472707	1.0000000
650	0.3015654	0.1733335	0.3434219	0.5504964	0.7783032	0.6803433	0.5193777	0.7484315	0.8372999	1.0000000
700	0.2926257	0.1552267	0.3114460	0.5353624	0.7992816	0.7539900	0.5517508	0.7218894	0.8333777	1.0000000
750	0.2761954	0.1378636	0.2896344	0.5256800	0.8197567	0.8021915	0.5710438	0.7089839	0.8319490	1.0000000
800	0.2562476	0.1245995	0.2752982	0.5178113	0.8353464	0.8313898	0.5839854	0.7030533	0.8314491	1.0000000
850	0.2371306	0.1154567	0.2653731	0.5113752	0.8458064	0.8485294	0.5928685	0.7004441	0.8312781	1.0000000
900	0.2212920	0.1092862	0.2581111	0.5064965	0.8523471	0.8585338	0.5988562	0.6993357	0.8312204	1.0000000
950	0.2092320	0.1050352	0.2527190	0.5030731	0.8562814	0.8644205	0.6028391	0.6988783	0.8312011	1.0000000
1000	0.2004235	0.1020360	0.2487936	0.5008122	0.8586042	0.8679360	0.6055044	0.6986940	0.8311947	1.0000000

0	0.1797331	0.0955087	0.2408991	0.4971876	0.8620076	0.8737807	0.6111869	0.6985756	0.8311915	1.0000000
50	0.1796470	0.0955044	0.2408926	0.4970985	0.8642581	0.8680319	0.3674951	0.6982076	0.8175726	0.8826279
100	0.1796081	0.0954984	0.2408175	0.4966040	0.8656717	0.8161634	0.1753383	0.6870809	0.7149228	0.7363581
150	0.1795845	0.0954664	0.2405596	0.4959480	0.8605487	0.6946887	0.1014427	0.6300408	0.5330689	0.6445516
200	0.1795427	0.0953803	0.2402067	0.4959944	0.8429484	0.5469433	0.0790257	0.5037635	0.3685020	0.5966747
250	0.1794522	0.0952695	0.2401847	0.4979076	0.8094141	0.4252181	0.0765107	0.3489011	0.2626403	0.5737912
300	0.1793340	0.0952712	0.2411897	0.5027488	0.7631232	0.3486105	0.0818763	0.2231923	0.2054345	0.5633902
350	0.1793177	0.0956275	0.2439904	0.5111619	0.7145670	0.3123741	0.0893057	0.1439761	0.1772656	0.5588134
