YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.4601027	0.7993767	0.3198239	0.0003451	0.0347165	0.1858124	0.6847219	0.5229081	0.1611620	0.3298431
0.5298104	0.6937512	0.0241527	0.5296640	0.5119762	0.1103661	0.9245964	0.8204957	0.0959272	0.6546167
0.4573148	0.6299285	0.7593970	0.0001974	0.0390078	0.0642064	0.6677500	0.6948448	0.0307699	0.6679214
0.4656529	0.5958349	0.1309926	0.3553970	0.1004175	0.1999221	0.7359550	0.5434081	0.0879697	0.6650066
0.3388742	0.3672647	0.4204143	0.2160304	0.1141040	0.1508498	0.7562339	0.6107095	0.0899321	0.6086594
0.5166139	0.8947691	0.0861757	0.3978678	0.6128160	0.0953840	0.6235650	0.9156888	0.1050936	0.7571814
0.4233094	0.5579868	0.4818139	0.0607847	0.0525740	0.4918603	0.5273465	0.6450549	0.1885743	0.4833995
0.4025072	0.8396298	0.2095139	0.2930099	0.0880350	0.1051367	0.5937659	0.7221602	0.1274894	0.6683734
0.7071198	0.8145453	0.6232129	0.0160027	0.1701410	0.1732238	0.7309260	0.6759115	0.0283283	0.6776537
0.4422566	0.7193441	0.6382877	0.0007396	0.0273431	0.1567748	0.7513854	0.7366815	0.0626924	0.6452776
