YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.4994554	0.7242366	0.3665009	0.0062411	0.0077821	0.1583964	0.6230919	0.5126560	0.1448131	0.3728218
0.5239576	0.7474221	0.0177833	0.4955111	0.3366132	0.1031110	0.7078423	0.6994968	0.0552282	0.5275480
0.4565500	0.5949402	0.7909464	0.0008616	0.0733033	0.0807017	0.6750806	0.7317664	0.0433838	0.7261574
0.4447495	0.6027064	0.1548830	0.3419611	0.0808987	0.1636125	0.8453370	0.4548270	0.0486934	0.7394379
0.2519344	0.5224888	0.3558834	0.1809272	0.1390299	0.1636269	0.6118535	0.6948244	0.0620844	0.6957428
0.6076366	0.6728708	0.1198226	0.3307059	0.6321262	0.0999515	0.7952228	0.8037670	0.0966633	0.6551733
0.4202474	0.5654609	0.4211387	0.0812385	0.0443749	0.4215470	0.6048814	0.7695916	0.1353444	0.3446181
0.5819890	0.8164672	0.1995227	0.3352722	0.0567033	0.1213903	0.6304585	0.7177101	0.0906745	0.5825028
0.4508778	0.7374289	0.7955803	0.0161212	0.2696298	0.2107767	0.7546848	0.6441624	0.0873152	0.5932301
0.6149956	0.7376386	0.6916846	0.0001087	0.0072104	0.1622834	0.8476786	0.7920776	0.1041199	0.8045604
