"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.1945069	0.3954910	0.5108860	0.7059128	0.0330091	0.0153018	0.0273231	0.5785024	0.9172170	0.6429177
50	0.1991929	0.4284674	0.4478311	0.6468449	0.0956925	0.0233012	0.0313259	0.8151497	0.2897080	0.6652155
100	0.1581329	0.4226771	0.3378342	0.6682793	0.0279484	0.0132116	0.0277279	0.7487985	0.1706113	0.7566030
150	0.1441124	0.5755634	0.2408459	0.5918965	0.0345691	0.0156285	0.0256935	0.7227278	0.1652333	0.5736779
200	0.2297277	0.4885779	0.3661014	0.4866305	0.0406072	0.0090608	0.0146346	0.7622464	0.2390096	0.8256275
250	0.2458058	0.6283515	0.3367967	0.5875273	0.0304944	0.0124304	0.0267871	0.7219296	0.2335757	0.7014356
300	0.3310286	0.5462676	0.2718099	0.4938114	0.0093397	0.0160948	0.0578646	0.7260097	0.2539612	0.7068531
350	0.2775847	0.4848840	0.2517950	0.4747152	0.0471819	0.0071153	0.0607779	0.7068601	0.1640590	0.8425421
400	0.2819975	0.5378175	0.1858137	0.4560714	0.0493786	0.0067096	0.0358487	0.6210900	0.2736225	0.8302423
450	0.3305774	0.7180838	0.1922639	0.4891781	0.0313892	0.0094999	0.0653000	0.5953309	0.1361223	0.8060273
500	0.2958065	0.7305928	0.2184121	0.5067846	0.0338565	0.0095755	0.0767642	0.8777503	0.1650425	0.7272818
550	0.3104404	0.6407432	0.1904412	0.6093290	0.0169307	0.0108019	0.0506202	0.6505273	0.5282868	0.6649944
600	0.3415649	0.6590404	0.3038225	0.7637970	0.0522884	0.0095720	0.0827649	0.6880315	0.7752137	0.7230962
650	0.3965910	0.5202261	0.3389364	0.5764093	0.0385850	0.0061262	0.0148017	0.8058328	0.7848795	0.7282557
700	0.3995644	0.5737628	0.3558892	0.6681259	0.0283580	0.0095940	0.0463039	0.7188700	0.7897251	0.8091476
750	0.3039832	0.4977359	0.3409315	0.6040589	0.0216892	0.0086164	0.0269596	0.7295701	0.7186680	0.6230255
800	0.2281859	0.4445971	0.4368169	0.7858181	0.0340870	0.0140230	0.0267407	0.8719970	0.6680921	0.6465219
850	0.2120907	0.4836114	0.3709508	0.6766372	0.0489064	0.0237436	0.0417894	0.7846675	0.8108636	0.6915389
900	0.1958954	0.3957290	0.3542058	0.5166897	0.0394106	0.0020254	0.0342268	0.7305443	0.8107648	0.6446225
950	0.3174949	0.5280495	0.3704959	0.9316964	0.0269946	0.0242268	0.0277087	0.6252523	0.7457290	0.7152606
1000	0.2163609	0.4941102	0.5434919	0.8056844	0.0201828	0.0236875	0.0556598	0.6503111	0.7139077	0.7528041

0	0.1374982	0.4496360	0.5313429	0.8454530	0.0276835	0.0125442	0.0229383	0.6878722	0.7567190	0.5873068
50	0.1935867	0.3247712	0.7167567	0.7378495	0.0442201	0.4657606	0.0087375	0.8807598	0.6902311	0.6089079
100	0.1260739	0.2323256	0.7665678	0.6494940	0.1165954	0.5259335	0.0312205	0.7198215	0.6509869	0.6700381
150	0.1153650	0.2855557	0.8263440	0.7636273	0.2045373	0.5646237	0.0212254	0.6514371	0.8384666	0.7641626
200	0.0901446	0.3116106	0.8247898	0.4856454	0.2301939	0.6031340	0.0209866	0.6313805	0.7862109	0.5640629
250	0.1081308	0.2397139	0.8559678	0.5625479	0.2650203	0.5491568	0.0172786	0.7229546	0.6273685	0.6990597
300	0.0548810	0.2107358	0.7377622	0.4431401	0.3116203	0.5583728	0.0130549	0.7750740	0.8062471	0.7701640
350	0.0869362	0.2026806	0.7984893	0.4554148	0.2494148	0.5097124	0.0075766	0.7772580	0.7186145	0.7467966
400	0.1014690	0.2577127	0.6717522	0.5508170	0.3433737	0.6383036	0.0049914	0.7579371	0.7696569	0.6802398
450	0.0709210	0.2465591	0.6430313	0.4651411	0.3376717	0.7296595	0.0127641	0.7660199	0.7099553	0.7153919
500	0.0936202	0.2506094	0.7449941	0.5002284	0.3468896	0.5415593	0.0160391	0.7174527	0.8212114	0.7211560
550	0.0630266	0.2168163	0.5350940	0.4371501	0.2642471	0.3787468	0.0361630	0.6646237	0.8651314	0.8049382
600	0.0444549	0.2940369	0.4374879	0.4674840	0.2329062	0.3443163	0.0161264	0.5629998	0.7866735	0.7572841
650	0.0496272	0.3846606	0.5150104	0.4610723	0.2900496	0.3044030	0.0491134	0.6833298	0.7427238	0.6105674
700	0.0902412	0.3933222	0.4062874	0.4960934	0.2346465	0.4125773	0.0160304	0.7469614	0.7299302	0.7101934
750	0.1571712	0.3898917	0.3370844	0.5942803	0.1797299	0.1777061	0.0341380	0.7345354	0.7773625	0.7205263
800	0.1161412	0.3753187	0.3834648	0.5580951	0.0911311	0.0969110	0.0294050	0.8059057	0.7692789	0.6133767
850	0.1274639	0.2785683	0.4072499	0.6513720	0.0497783	0.0327348	0.0264828	0.6985950	0.8188870	0.6352047
900	0.1253568	0.4422083	0.5037964	0.6595687	0.0406007	0.0267333	0.0186879	0.7138912	0.7130695	0.7078475
