"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.9993643	0.0131604	0.0533206	0.8563351	0.9229055	1.0000000	0.0373565	0.9985366	0.0458552	1.0000000
50	0.9993622	0.0131615	0.0533214	0.8548205	0.9210351	0.8755551	0.1315257	0.9987695	0.0313034	0.4812169
100	0.9993611	0.0131598	0.0533325	0.8497975	0.9158592	0.8303273	0.1732584	0.9988857	0.0778883	0.2896491
150	0.9993608	0.0131463	0.0533635	0.8440076	0.9110205	0.8138518	0.2095931	0.9929776	0.2424261	0.2189100
200	0.9993613	0.0131105	0.0534089	0.8395116	0.9079254	0.8076972	0.3117821	0.9391370	0.4610767	0.1927886
250	0.9993631	0.0130524	0.0534558	0.8366452	0.9062700	0.8039280	0.4648472	0.8012361	0.6166735	0.1831429
300	0.9993665	0.0129829	0.0534950	0.8347998	0.9052948	0.7928195	0.5899757	0.6497568	0.6993098	0.1795811
350	0.9993713	0.0129148	0.0535253	0.8326259	0.9039235	0.7610771	0.6692550	0.5396981	0.7379866	0.1782658
400	0.9993767	0.0128550	0.0535541	0.8281278	0.9008906	0.7105387	0.7142860	0.4735359	0.7549901	0.1777801
450	0.9993823	0.0127990	0.0535968	0.8196970	0.8956677	0.6580310	0.7384247	0.4375093	0.7621928	0.1776008
500	0.9993877	0.0127315	0.0536707	0.8072825	0.8889395	0.6160866	0.7508905	0.4190496	0.7651673	0.1775346
550	0.9993935	0.0126309	0.0537822	0.7990061	0.8852917	0.6971454	0.6607352	0.4132490	0.6033731	0.6962932
600	0.9994009	0.0124903	0.0538772	0.8050954	0.8894823	0.7715554	0.5709815	0.5169645	0.2757215	0.8878520
650	0.9994104	0.0123530	0.0538861	0.8175917	0.8973007	0.8554237	0.4115307	0.7223442	0.1306806	0.9585878
700	0.9994208	0.0122855	0.0538112	0.8306528	0.9059145	0.9312488	0.2486849	0.8712942	0.0766184	0.9847080
750	0.9994290	0.0123183	0.0536948	0.8410847	0.9131947	0.9730122	0.1438222	0.9443544	0.0570178	0.9943532
800	0.9994322	0.0124342	0.0535783	0.8479609	0.9179875	0.9900359	0.0884666	0.9760685	0.0499263	0.9979148
850	0.9994294	0.0125913	0.0534844	0.8519860	0.9206197	0.9963677	0.0613420	0.9893169	0.0473484	0.9992300
900	0.9994215	0.0127496	0.0534184	0.8541727	0.9219051	0.9986790	0.0484670	0.9947734	0.0464055	0.9997157
950	0.9994106	0.0128838	0.0533760	0.8552984	0.9224862	0.9995198	0.0424580	0.9970059	0.0460588	0.9998950
1000	0.9993989	0.0129850	0.0533507	0.8558534	0.9227352	0.9998254	0.0396836	0.9979156	0.0459307	0.9999612

0	0.9993643	0.0131604	0.0533206	0.8563351	0.9229055	1.0000000	0.0373565	0.9985366	0.0458552	1.0000000
50	0.9993622	0.0131613	0.0533253	0.8459641	0.8976606	0.4560671	0.0359871	0.9367390	0.0175829	1.0000000
100	0.9993612	0.0131455	0.0534378	0.7633836	0.8518046	0.2584222	0.0332059	0.9126430	0.0084811	1.0000000
150	0.9993621	0.0129619	0.0541924	0.5676175	0.7821043	0.1866054	0.0313207	0.9031826	0.0055509	1.0000000
200	0.9993735	0.0120108	0.0572426	0.3883943	0.7094751	0.1605099	0.0303441	0.8994472	0.0046075	1.0000000
250	0.9994242	0.0092685	0.0666999	0.2814005	0.6550888	0.1510277	0.0298773	0.8979692	0.0043039	1.0000000
300	0.9995485	0.0052120	0.0900436	0.2231978	0.6230523	0.1475823	0.0296607	0.8973840	0.0042061	1.0000000
350	0.9997152	0.0023413	0.1332943	0.1918710	0.6069105	0.1463303	0.0295616	0.8971523	0.0041746	1.0000000
400	0.9998501	0.0011055	0.1915713	0.1752732	0.5995424	0.1458754	0.0295166	0.8970605	0.0041645	1.0000000
