YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.3484647	0.8435075	0.7405659	0.9142392	0.1321093	0.9681852	0.9348413	1.0072233	0.0819012
0.7380402	0.0000000	0.7707580	0.6460680	1.0890759	0.1448505	0.9758490	0.9473640	0.9973522	0.1095984
0.2156649	1.0761798	0.0000000	0.6867871	1.1068040	0.1018043	1.0708490	0.9328545	0.9076713	0.1046425
0.3068056	1.0087312	0.0100482	0.0000000	1.0573672	0.1514714	1.0587732	1.0709343	1.0072016	0.1129418
0.2922234	1.0397445	0.0164910	0.0005432	0.0041486	0.6885559	1.0369426	1.0112426	0.9201906	1.0173872
0.5085009	0.3724778	0.8790520	0.8049809	1.1191944	0.0002973	0.9867152	1.0386599	0.9553120	0.0783703
0.2777970	0.3990555	0.8870324	0.6002796	0.9232948	0.4731370	0.0000000	1.0157105	0.8768297	0.1341473
0.2947862	0.3972867	0.7936519	0.7744670	1.0153496	0.4635102	0.0491103	0.0000000	1.0420900	0.1327739
0.2272713	0.4175514	0.8477897	0.6455094	0.9589076	0.4422959	0.0611282	0.0366304	0.0000000	0.0940287
0.4548224	0.3900385	0.7405411	0.7276794	1.0377420	0.1354373	1.0251961	1.0209152	0.9229543	0.0000000
