YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.5022726	0.7707999	0.9818357	0.6975950	1.1986543	0.0674970	0.1416755	0.0464215	0.9403864
1.0202514	0.0000000	0.5673236	0.8456949	0.0272250	0.0421352	0.6177329	0.7327163	0.9976296	1.0202429
0.0983348	1.0265849	0.0000000	1.0538834	0.5670937	0.9106013	0.0687359	0.0859825	0.0325291	0.9004418
0.0664931	1.0667313	0.0269278	0.0000000	0.6606522	1.0009560	0.0298333	0.0794663	0.0320167	1.0116131
0.1840447	0.4778255	0.7211170	1.0461513	0.0000000	0.9491778	0.0945893	0.1651516	0.0525528	0.9665034
0.2246303	0.4635197	0.7688114	0.9992518	0.0377223	0.0000000	0.0426907	0.1055430	0.0563483	0.9925966
0.2072756	0.4732495	0.6706526	1.0929380	0.6875014	0.9643846	0.0011275	0.0799285	0.0471461	1.0090642
0.2746057	0.4100726	0.7656220	1.0035014	0.5946965	1.0456297	0.0134474	0.0000000	0.0691386	0.9542280
0.2145730	0.5309983	0.7917427	1.0587491	0.5823285	0.9004547	0.0457687	0.0922189	0.0000000	1.0446232
0.1765464	0.5476913	0.6973292	1.0983262	0.0331787	0.0440178	0.6250757	0.6377178	0.8953519	0.0000000
