"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0681852	0.3064846	0.9613787	0.2909870	0.5115147	0.6456383	0.9995348	0.0186909	0.1791191	0.5505765
50	0.0681757	0.3064829	0.9664484	0.2455745	0.2155516	0.8966797	0.9995335	0.0186921	0.1791195	0.5505752
100	0.0681721	0.3064825	0.9673005	0.3607560	0.1227048	0.9163337	0.9995329	0.0186925	0.1791192	0.5505744
150	0.0681708	0.3064820	0.9370798	0.5143967	0.0930383	0.9178723	0.9995327	0.0186926	0.1791189	0.5505739
200	0.0681703	0.3064810	0.8712411	0.6161384	0.0835051	0.9179927	0.9995326	0.0186927	0.1791186	0.5505737
250	0.0681699	0.3064799	0.8012364	0.6660328	0.0804270	0.9180021	0.9995325	0.0186927	0.1791185	0.5505736
300	0.0681695	0.3064791	0.7518220	0.6875069	0.0794283	0.9180028	0.9995325	0.0186927	0.1791184	0.5505735
350	0.0681692	0.3064786	0.7239966	0.6961866	0.0791028	0.9180029	0.9995325	0.0186927	0.1791183	0.5505735
400	0.0681690	0.3064783	0.7102230	0.6995692	0.0789962	0.9180029	0.9995325	0.0186927	0.1791183	0.5505735
450	0.0681689	0.3064782	0.7039320	0.7008546	0.0789611	0.9180029	0.9995325	0.0186927	0.1791183	0.5505735
500	0.0681688	0.3064781	0.7012125	0.7013337	0.0789495	0.9180029	0.9995325	0.0186927	0.1791183	0.5505735
550	0.0681688	0.3064777	0.6768804	0.7929245	0.3301348	0.6669570	0.9995325	0.0186927	0.1791183	0.5505735
600	0.0681687	0.3064775	0.6696182	0.6152703	0.4338058	0.6473023	0.9995325	0.0186927	0.1791183	0.5505735
650	0.0681687	0.3064786	0.7402398	0.4554211	0.4796436	0.6457635	0.9995325	0.0186927	0.1791183	0.5505735
700	0.0681689	0.3064801	0.8329597	0.3671403	0.4989922	0.6456430	0.9995325	0.0186927	0.1791183	0.5505735
750	0.0681692	0.3064812	0.8979280	0.3247649	0.5067524	0.6456336	0.9995325	0.0186927	0.1791183	0.5505735
800	0.0681696	0.3064819	0.9322911	0.3055582	0.5097476	0.6456329	0.9995325	0.0186927	0.1791183	0.5505735
850	0.0681699	0.3064823	0.9484222	0.2971370	0.5108724	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
900	0.0681700	0.3064825	0.9556612	0.2935390	0.5112865	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
950	0.0681701	0.3064826	0.9588519	0.2920369	0.5114366	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
1000	0.0681702	0.3064827	0.9602412	0.2914230	0.5114905	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735

0	0.0681852	0.3064846	0.9613787	0.2909870	0.5115147	0.6456383	0.9995348	0.0186909	0.1791191	0.5505765
50	0.0851491	0.3088700	0.9613117	0.2909594	0.5137298	0.5626828	0.4958280	0.3069695	0.1716000	0.4807915
100	0.0902204	0.3184862	0.9613659	0.2885894	0.5420251	0.3335436	0.2113386	0.4073327	0.1531879	0.3889576
150	0.0937674	0.3359969	0.9623737	0.2749612	0.6204194	0.1705511	0.0843306	0.4420842	0.1364690	0.2731261
200	0.0989070	0.3586813	0.9662330	0.2460732	0.7223880	0.1225823	0.0360506	0.4540713	0.1286840	0.1685494
250	0.1060960	0.3797967	0.9731077	0.2133412	0.8022977	0.1139617	0.0182036	0.4582099	0.1268414	0.0971891
300	0.1140600	0.3944147	0.9803828	0.1880360	0.8479618	0.1127405	0.0116394	0.4596443	0.1265925	0.0571488
350	0.1210042	0.4024751	0.9858893	0.1722639	0.8697254	0.1125835	0.0092231	0.4601433	0.1265697	0.0373713
400	0.1259437	0.4062852	0.9893120	0.1635772	0.8790671	0.1125631	0.0083317	0.4603173	0.1265679	0.0283457
450	0.1289405	0.4079288	0.9912201	0.1591576	0.8828297	0.1125600	0.0080022	0.4603780	0.1265678	0.0244140
500	0.1305558	0.4086072	0.9922205	0.1570356	0.8842842	0.1125594	0.0078803	0.4603992	0.1265678	0.0227455
550	0.1151847	0.4086032	0.9927243	0.1560629	0.8848298	0.1125920	0.0988549	0.1714892	0.1265678	0.0775753
600	0.1112793	0.4073949	0.9929697	0.1556348	0.8849594	0.1136127	0.2562706	0.0706694	0.1265684	0.1211926
650	0.1098683	0.4042718	0.9930853	0.1554762	0.8833578	0.1338491	0.5990431	0.0354868	0.1265781	0.2030575
700	0.1083056	0.3960836	0.9931322	0.1558318	0.8635468	0.2548553	0.8425769	0.0232097	0.1267557	0.3249022
750	0.1049768	0.3796518	0.9930840	0.1589813	0.7938678	0.4310576	0.9432776	0.0189308	0.1284906	0.4267133
800	0.0989812	0.3585145	0.9927088	0.1691843	0.6978067	0.5465723	0.9798606	0.0174725	0.1350909	0.4888491
850	0.0912773	0.3392721	0.9915457	0.1881927	0.6188255	0.6026209	0.9927546	0.0170765	0.1467247	0.5215622
900	0.0838119	0.3253094	0.9890938	0.2129489	0.5683829	0.6274399	0.9972589	0.0171603	0.1588330	0.5374792
950	0.0779007	0.3165699	0.9851298	0.2377292	0.5400575	0.6380937	0.9988211	0.0174795	0.1678725	0.5448484
1000	0.0738315	0.3116170	0.9800288	0.2579479	0.5252868	0.6425807	0.9993513	0.0178587	0.1733864	0.5481398

0	0.0681852	0.3064846	0.9613787	0.2909870	0.5115147	0.6456383	0.9995348	0.0186909	0.1791191	0.5505765
50	0.0681757	0.3064831	0.9643866	0.1066661	0.5115161	0.6456357	0.9995335	0.0186921	0.1791195	0.5505752
100	0.0681722	0.3064832	0.9798066	0.0548160	0.5115175	0.6456343	0.9995329	0.0186925	0.1791192	0.5505744
150	0.0681710	0.3064836	0.9862108	0.0402304	0.5115186	0.6456335	0.9995327	0.0186926	0.1791189	0.5505739
200	0.0681707	0.3064839	0.9880234	0.0361274	0.5115192	0.6456331	0.9995326	0.0186927	0.1791186	0.5505737
250	0.0681707	0.3064841	0.9884895	0.0349731	0.5115196	0.6456330	0.9995325	0.0186927	0.1791185	0.5505736
300	0.0681707	0.3064841	0.9886093	0.0346484	0.5115198	0.6456329	0.9995325	0.0186927	0.1791184	0.5505735
350	0.0681707	0.3064842	0.9886411	0.0345570	0.5115199	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
400	0.0681707	0.3064842	0.9886500	0.0345313	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
450	0.0681708	0.3064842	0.9886526	0.0345240	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
500	0.0681708	0.3064842	0.9886533	0.0345220	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
550	0.0681708	0.3064841	0.9964375	0.2188659	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
600	0.0681707	0.3064837	0.9894099	0.2707225	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
650	0.0681706	0.3064832	0.9772570	0.2853100	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
700	0.0681705	0.3064829	0.9685705	0.2894135	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
750	0.0681704	0.3064828	0.9641916	0.2905678	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
800	0.0681703	0.3064827	0.9623460	0.2908925	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
850	0.0681703	0.3064827	0.9616443	0.2909839	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
900	0.0681703	0.3064827	0.9613941	0.2910096	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
950	0.0681703	0.3064827	0.9613087	0.2910168	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
1000	0.0681703	0.3064827	0.9612804	0.2910188	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735

0	0.0681852	0.3064846	0.9613787	0.2909870	0.5115147	0.6456383	0.9995348	0.0186909	0.1791191	0.5505765
50	0.5964292	0.7002062	0.9600678	0.3348337	0.2240303	0.6456357	0.9995331	0.0188609	0.1980166	0.6703342
100	0.7579701	0.8028141	0.9407170	0.4971122	0.1396618	0.6456329	0.9995132	0.0208165	0.2374315	0.7032846
150	0.8169244	0.8253094	0.8722370	0.6807747	0.1149023	0.6456145	0.9993793	0.0258020	0.2624406	0.7123475
200	0.8388609	0.8285455	0.7664399	0.7996413	0.1076374	0.6455264	0.9989388	0.0316807	0.2738195	0.7148254
250	0.8465951	0.8281336	0.6753092	0.8581924	0.1055109	0.6452715	0.9980294	0.0361962	0.2787793	0.7154605
300	0.8491058	0.8274896	0.6190313	0.8834981	0.1049016	0.6447717	0.9967456	0.0389775	0.2809054	0.7155423
350	0.8498334	0.8271157	0.5897835	0.8936672	0.1047508	0.6440575	0.9954067	0.0404851	0.2817510	0.7154311
400	0.8500091	0.8269554	0.5759868	0.8975415	0.1047471	0.6432642	0.9942953	0.0412244	0.2820177	0.7152515
