YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0038369	0.8704243	0.5747892	0.8153187	0.5623435	0.7307978	0.9370979	0.0649335	0.1869752	0.9867543
1.0651807	0.0000000	0.5393852	0.7475399	0.5491355	0.9109915	0.9172906	0.0705149	0.1914551	1.0246156
1.0322981	0.0562205	0.0000000	0.8067781	0.6085403	1.0181724	0.9526435	0.0585625	0.1905088	1.0048737
0.6183230	1.0172194	1.0025648	0.0000000	0.4581829	0.8228399	1.0157223	0.0622151	0.1426973	0.9720433
0.5195380	1.0346045	0.9528710	0.0005168	0.0000000	0.7513592	1.0687845	0.0669831	0.2192193	0.9703535
0.6094301	0.9126113	0.5968244	0.7942011	0.5074768	0.0000000	0.9094986	0.0426613	0.1604047	1.0011118
0.5127990	1.0003712	0.9305097	0.0077962	0.0240665	0.2487316	0.0000000	0.0476324	0.2136470	1.0018173
0.6478148	0.8883636	0.5674650	0.8747421	0.5772667	0.7859019	1.1105970	0.0000000	0.1843233	0.9666386
0.6478039	0.8872663	0.5569889	0.8509866	0.5201291	0.8543921	0.9363711	0.0610436	0.0000000	1.0905083
0.6581221	0.8874027	1.0940995	0.0091787	0.0183045	0.5772493	0.2264564	0.6327064	1.0328174	0.0000000
