"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.5093667	0.6861326	0.5522967	0.8764047	0.3839202	1.0314741	0.1851269	0.9504470	0.1275351	1.0635599
100	0.5644768	0.6250875	0.6352113	0.8691094	0.3336354	0.9329412	0.2045230	0.8667127	0.1273297	1.0407637
150	0.5847505	0.5389026	0.6378551	0.8652284	0.3438039	0.8986987	0.2524660	0.9284403	0.1365738	1.1844940
200	0.5262018	0.5862629	0.5537924	0.7357758	0.3882281	1.0037049	0.2658768	0.9451648	0.1233855	1.1207258
250	0.4987323	0.6899558	0.5435838	0.8583452	0.3727869	1.0048410	0.2891349	0.9171633	0.1079903	1.0836783
300	0.5402432	0.7238018	0.5827336	0.8297302	0.3921822	0.9993335	0.2607295	0.8620729	0.1116919	1.0851363
350	0.5553368	0.6707345	0.6406558	0.8261485	0.4299430	0.9819380	0.2437146	0.8905430	0.0949067	1.1026914
400	0.4927971	0.5941485	0.6161703	0.8372485	0.4207892	0.8236890	0.3004316	0.8089778	0.0859236	1.0599226
450	0.4807749	0.5249978	0.5658311	0.8815128	0.3724292	0.9347321	0.2975944	0.8439799	0.1124074	1.0578069
500	0.4781899	0.4830404	0.6145858	0.8927298	0.4148289	0.9655177	0.3349256	0.8354155	0.1028817	1.0380569
550	0.4588168	0.5208679	0.6067703	0.9213924	0.4653054	0.9550086	0.3049183	0.8617923	0.1056535	0.9077267
600	0.5014672	0.5592977	0.6003177	0.9570324	0.3854169	0.8768428	0.2877349	0.9603610	0.1116472	0.9849369
650	0.4396380	0.5980219	0.5926070	0.9153927	0.3872176	1.0669112	0.2287512	0.9538158	0.1172937	0.9706347
700	0.4871298	0.6421619	0.6306748	0.9063313	0.3879744	1.0675971	0.2205748	1.0151456	0.0969587	1.0757609
750	0.4849319	0.6424525	0.7291053	0.9060422	0.3910376	0.9839004	0.2050758	0.9897868	0.0825173	1.0032979
800	0.5640941	0.4439864	0.7758458	0.8761648	0.3796836	0.9883097	0.2234539	0.9855321	0.0913368	0.9419810
850	0.4634653	0.3314020	0.7323645	0.8263753	0.3867434	0.8893720	0.2067554	1.0336562	0.1012923	0.9253084
900	0.3095762	0.4057651	0.7183809	0.8108437	0.4073268	0.8387176	0.2312820	1.0342582	0.1110573	0.9748636
950	0.2963831	0.3980564	0.6394011	0.8567518	0.4027159	0.9541679	0.2701797	1.0279249	0.1264053	0.9173030
1000	0.3656105	0.4259097	0.5875101	0.9067809	0.3686428	0.9956812	0.2422351	0.9744114	0.1143394	1.0183687

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.6520814	0.6829806	0.5545490	0.8405862	0.3723978	1.0908119	0.2593473	0.9925290	0.1099742	0.8617160
100	0.7668144	0.7606627	0.5628474	0.8781466	0.3561382	0.9650795	0.2343725	0.9809541	0.0961116	0.5210130
150	0.8677561	0.7469968	0.5348706	0.8753850	0.4411616	0.9667244	0.2240649	0.9978803	0.1083348	0.4187282
200	0.8706387	0.7899727	0.5066861	0.8990123	0.4121559	1.0231861	0.1985980	0.9750946	0.0743335	0.4031932
250	0.8085672	0.7641929	0.5317970	0.8651167	0.3852823	0.9263318	0.1945840	0.9648747	0.0905716	0.3377431
300	0.7949413	0.7701491	0.4345368	0.8631289	0.4417535	0.9495554	0.2357241	0.9636009	0.1188855	0.3050869
350	0.7817125	0.8240597	0.4590419	1.0096869	0.4197046	0.9815396	0.2585373	0.9011139	0.1742024	0.3502635
400	0.7948032	0.8108331	0.5288262	0.8973185	0.4539759	0.8585905	0.2683492	0.9786763	0.1161800	0.3295404
450	0.8368477	0.8291057	0.5372272	0.9443636	0.4161148	0.9630102	0.2357500	0.9199551	0.0878647	0.2884769
500	0.8866162	0.7244336	0.4969660	0.9041889	0.3898926	0.9667680	0.2496188	0.9084697	0.0855050	0.3083737
550	0.7136919	0.7280557	0.5587623	0.9403252	0.3839630	1.0798961	0.2327786	0.9233851	0.0919529	0.5062006
600	0.5768831	0.7515951	0.5084004	0.9299889	0.3388056	1.0504727	0.2530205	0.9206311	0.1085155	0.7501543
650	0.5495364	0.8016657	0.6145089	0.8085444	0.3220692	0.9966815	0.2893157	0.8411682	0.0918237	0.8967346
700	0.5855921	0.7205426	0.6232099	0.7741945	0.3633829	1.1321938	0.3274300	0.9227192	0.1066410	0.9263439
750	0.6584685	0.6203340	0.6029781	0.6855182	0.3947136	1.1038793	0.2585820	0.9822066	0.1262022	0.9464757
800	0.5422862	0.6058300	0.5768151	0.7976973	0.3853073	0.9743921	0.2562033	0.9478655	0.0898549	1.0009309
850	0.4231548	0.6075913	0.6036426	0.8218287	0.2997831	0.9659783	0.2006580	0.9803622	0.1300696	0.9800776
900	0.4596457	0.5986117	0.6748288	0.8185681	0.2706723	1.0129659	0.2783334	0.9524838	0.1283721	1.0098837
950	0.5477012	0.6048088	0.5829413	0.7759883	0.4010862	0.9948160	0.2168404	1.0236793	0.1068598	1.0389392
1000	0.5200897	0.6570436	0.5724450	0.7870820	0.4083810	0.9906947	0.2304761	0.9498194	0.1015756	0.9933623

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.4998707	0.7437442	0.4291748	0.7974339	0.3135008	0.9297343	0.1714553	0.9055514	0.1130857	1.0563893
100	0.4456484	0.8129662	0.3362250	0.7754291	0.3769716	0.8743872	0.1996302	0.9434812	0.0912325	1.0523853
150	0.3912062	0.9596836	0.2823271	0.7765531	0.4132023	0.9803135	0.2379058	0.8463799	0.1185629	0.9783691
200	0.3289242	0.9200759	0.2644682	0.7690925	0.3826750	0.9528901	0.2642694	0.8701948	0.1185987	0.9870936
250	0.2822373	0.9668499	0.2970840	0.7961833	0.3579055	1.0559547	0.2855150	0.8993077	0.0951732	0.9648054
300	0.2264620	0.9653012	0.2863197	0.7954305	0.3929032	0.9821503	0.2505836	0.9772215	0.0972967	0.9812869
350	0.2935746	0.8513786	0.3047488	0.7612492	0.3715947	0.8787268	0.2414768	0.9303092	0.1400629	0.9275201
400	0.2911229	1.0022031	0.2815073	0.8456809	0.3444907	1.0084446	0.3107781	0.8308782	0.1433205	0.9635893
450	0.3320858	0.9201886	0.3025843	0.7540628	0.3458060	1.0492889	0.2823201	0.8026311	0.0825936	1.0045615
500	0.2756248	0.9233907	0.2530234	0.6871231	0.3668187	1.0416878	0.3036512	0.8743037	0.0836278	1.0586983
550	0.2611781	0.9598353	0.3727983	0.7262950	0.3962594	0.9828886	0.3282671	0.8940654	0.1157859	0.9530351
600	0.3468350	1.0751816	0.4798222	0.8469007	0.4225498	0.8734859	0.2512679	0.9036793	0.1307233	0.9755784
650	0.4512915	0.9699054	0.5514522	0.7725203	0.4115893	0.9030478	0.2874154	0.9199227	0.1159628	0.9414823
700	0.5412837	0.9035261	0.5218419	0.8006682	0.3890148	0.9869661	0.2730250	0.9185429	0.1234281	0.9750551
750	0.5592970	0.8095283	0.5840216	0.8169860	0.3939740	1.0115847	0.2613570	0.9093855	0.1357509	1.0595137
800	0.6084558	0.7411758	0.5327105	0.8209550	0.3488921	0.9787993	0.2316424	0.9146005	0.1286366	1.0574165
850	0.5810140	0.6594594	0.5593746	0.8169885	0.4081896	0.9603009	0.2547950	0.8124904	0.0885852	1.0731874
900	0.5325945	0.7529509	0.5707152	0.8514133	0.3639233	1.0644922	0.3332278	0.8238314	0.0908961	1.0567272
950	0.5878423	0.6654758	0.5769242	0.8630215	0.3944217	1.0223695	0.3689045	0.9529118	0.1169113	0.9464667
1000	0.5990968	0.6148123	0.5777565	0.8449811	0.3356209	0.9746627	0.2776446	0.9928240	0.1241879	1.0324683

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.5068856	0.7013164	0.6013880	0.8290665	0.1812984	0.7624894	0.2279106	0.7266737	0.0775477	0.7887905
100	0.5417550	0.5519412	0.6441175	0.8093757	0.1151712	0.4839230	0.2957275	0.4851188	0.0319046	0.5984060
150	0.5835269	0.5652244	0.6724277	0.7507391	0.1399422	0.3869188	0.4666115	0.2557293	0.0163033	0.3918264
200	0.5510989	0.5314560	0.6507154	0.6768156	0.1252510	0.3763084	0.5803697	0.1617550	0.0069169	0.3048565
250	0.4466079	0.4538033	0.5954506	0.5982352	0.1277124	0.3595737	0.5445698	0.1401488	0.0001532	0.2771999
300	0.4236250	0.4995777	0.5331315	0.5466949	0.1061797	0.3390628	0.7346030	0.1293997	0.0000927	0.3440664
350	0.4398968	0.5338372	0.5621549	0.5174593	0.1130800	0.3250236	0.6779282	0.1470763	0.0003121	0.3117580
400	0.4140034	0.5467420	0.5183180	0.4616482	0.1286172	0.2904076	0.5806864	0.1113053	0.0010444	0.2921169
450	0.3914184	0.6720506	0.5455454	0.3996853	0.1391164	0.2743011	0.5821937	0.0929780	0.0025861	0.2849476
500	0.4721971	0.6698122	0.5356493	0.3151797	0.1314975	0.2944947	0.6228119	0.0641337	0.0046580	0.2695778
550	0.4017144	0.6788745	0.5204358	0.4237020	0.3425979	0.4169442	0.7752995	0.3360150	0.0361528	0.4456439
600	0.4760616	0.7367972	0.4620885	0.4651331	0.4898636	0.5866673	0.7845008	0.6075337	0.0843816	0.7695648
650	0.5032877	0.8376866	0.5459047	0.6171099	0.5192449	0.6480703	0.6958890	0.7750945	0.1097173	0.8932867
700	0.5504551	0.7993582	0.5918291	0.7381542	0.4668514	0.8079177	0.5547077	0.9001999	0.0762632	0.9883065
750	0.5832303	0.7219430	0.5909098	0.8134192	0.4423282	0.8298480	0.4188154	0.8791284	0.1081400	0.9727203
800	0.5640299	0.6554821	0.6197312	0.7841484	0.4457517	0.8917589	0.2903176	0.8836952	0.1128324	0.9759128
850	0.4855422	0.6477073	0.5755455	0.8412189	0.3928651	1.0043732	0.2400759	0.9170369	0.1193979	0.9824973
900	0.4974368	0.5845355	0.5067100	0.7885934	0.3772804	1.1171025	0.2699852	0.9863060	0.1206246	1.0198376
950	0.5247111	0.6759473	0.5520530	0.7392035	0.3325553	1.0458464	0.2204796	0.9104139	0.1063087	0.9733831
1000	0.5291584	0.6927882	0.6327303	0.7594561	0.3455670	1.0159059	0.2597121	0.9409614	0.0814256	1.0546217

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.4815492	0.5299370	0.5391561	0.8277516	0.3529502	0.9619324	0.1387195	0.8789434	0.0984602	1.1415932
100	0.4405642	0.6260295	0.6241799	0.7852927	0.3483897	0.6405126	0.1765201	0.9847490	0.1332412	1.1044546
150	0.4754312	0.6009564	0.6092081	0.8749551	0.4103333	0.6086361	0.1426222	0.9726232	0.1267065	0.9698391
200	0.4783626	0.5638432	0.6062594	0.8383532	0.4217587	0.6130499	0.1090382	0.8795815	0.0993285	1.0846309
250	0.4526558	0.4598273	0.6251872	0.8141854	0.4676855	0.5371400	0.1337909	0.9748910	0.1286435	1.0840321
300	0.4432262	0.4995966	0.6207634	0.8235554	0.4700972	0.5371103	0.1331480	0.9590653	0.0881725	1.0765726
350	0.4353028	0.5810332	0.6599276	0.8803733	0.4793663	0.5530810	0.1339980	1.0225007	0.0946193	0.9981733
400	0.4771226	0.5222807	0.5877705	0.9229629	0.4995224	0.4766973	0.1102827	1.0841560	0.0878798	1.0101475
450	0.4599914	0.5271724	0.6224095	0.9297148	0.4998173	0.5372098	0.0895591	1.0781699	0.1507817	1.0436300
500	0.4840564	0.6121104	0.5675136	0.8270773	0.3833387	0.4453018	0.1273552	1.0368509	0.1338623	1.1110502
550	0.4910374	0.6229135	0.6028127	0.7996310	0.5013992	0.6099290	0.1478815	1.0686598	0.1601378	1.1752906
600	0.4807812	0.5290103	0.5871028	0.8349039	0.5320946	0.7324573	0.1442226	0.9858641	0.1031662	1.1666407
650	0.4830981	0.5535550	0.6037315	0.9302804	0.4474256	0.8550230	0.1910571	1.0321365	0.1062778	1.1063176
700	0.4725157	0.5975026	0.6752482	0.8356929	0.3814895	0.9820509	0.1996489	1.0314523	0.0790597	0.9380453
750	0.4590459	0.5502465	0.7496426	0.8364345	0.3877673	1.1063313	0.1846535	0.9672004	0.1171482	1.0526316
800	0.4810713	0.4374425	0.6721950	0.8345431	0.3933027	0.9773260	0.1777746	0.9981845	0.0792221	1.0409765
850	0.4454937	0.4211823	0.5790493	0.8029298	0.3607481	0.8813495	0.2117772	0.9597992	0.1095002	1.0883512
900	0.4095797	0.5086935	0.6359964	0.7439734	0.3630204	0.9652068	0.2466158	1.0808435	0.0967171	1.0281370
950	0.5272777	0.4642857	0.6629809	0.7479823	0.3348677	0.9916799	0.1764835	1.0350978	0.1103159	1.0411468
1000	0.5077445	0.5741438	0.6271412	0.7415344	0.3423596	0.9744050	0.2319979	0.9039419	0.1172511	1.0888425

0	0.4350688	0.6376198	0.6343319	0.8023831	0.4011398	1.0510882	0.2774931	1.0364001	0.1091703	1.0287187
50	0.5772447	0.7633755	0.5093007	0.8299359	0.3640255	0.9565713	0.1941401	0.9811049	0.1305933	0.7928450
100	0.5589596	0.7145565	0.6205669	0.7425868	0.3594642	1.0491364	0.2032408	0.9268547	0.1350290	0.5544614
150	0.6119644	0.6723469	0.5562443	0.7113393	0.3596991	0.9674889	0.3007314	0.9419959	0.1298944	0.4049591
200	0.6077594	0.7039912	0.5237691	0.7967419	0.3509668	1.1070319	0.2760499	0.8970793	0.0969076	0.3819594
250	0.6673372	0.6878163	0.6291790	0.7643158	0.3615754	1.0124222	0.2924535	0.9729048	0.0881987	0.2735914
300	0.7370861	0.7084538	0.5727568	0.7494521	0.3741119	0.9725120	0.2205771	1.0213139	0.1062785	0.2533880
350	0.6380835	0.6757086	0.6221358	0.7400866	0.4131452	1.0154469	0.2201484	1.0083508	0.0759453	0.2907188
400	0.6456099	0.6119619	0.5987097	0.7805027	0.3823548	1.0448052	0.2037859	0.9465665	0.0870360	0.2923267
450	0.6151596	0.5680140	0.5967270	0.8204671	0.4013658	0.9757882	0.2052994	0.9822911	0.0709445	0.3316914
500	0.6560309	0.4640358	0.6444478	0.8660463	0.3931320	0.9822809	0.2055140	1.0737282	0.0999644	0.3435539
550	0.4917199	0.5428129	0.5938497	0.7713349	0.2847718	0.9672789	0.2281789	1.0202092	0.1144946	0.5754058
600	0.4501238	0.5926667	0.6593965	0.8447444	0.3616037	0.9441243	0.2063930	0.9289838	0.1228808	0.7641283
650	0.5137708	0.6063960	0.6832663	0.8464038	0.3953842	1.0795968	0.2355932	0.9597518	0.1087352	0.9112237
700	0.5512117	0.4976135	0.6660958	0.8186803	0.3818935	1.0227649	0.2882673	0.9034177	0.1056901	1.0727032
750	0.5332738	0.5208001	0.6766207	0.7264023	0.4066082	0.9837185	0.2435107	0.9510448	0.0893276	1.0013684
