YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.3781114	0.4865693	0.5571701	0.1070507	0.1687396	0.6625469	0.2024128	0.2725385	0.1025755	0.6867908
0.1887056	0.1718000	0.5458172	0.1084187	0.1557661	0.6602041	0.2339085	0.1919469	0.2017435	1.0000000
0.5342474	0.3096060	0.4283101	0.3065004	0.5268148	0.7549908	0.1155582	0.3183271	0.1470847	0.7850904
0.7104080	0.4826440	0.5984874	0.0570808	0.1981812	0.7169675	0.3368655	0.2418893	0.1327529	0.7373350
0.7067844	0.4459930	0.4789917	0.0935045	0.1360753	0.5883629	0.1658170	0.3397820	0.1775588	0.8092792
0.0979633	0.0316562	0.8503642	0.2044081	0.2794398	0.2690713	0.1272335	0.2117551	0.2056371	0.6289604
0.1086767	0.1347756	0.4153153	0.0915186	0.2586513	0.5163172	0.1270450	0.2359362	0.1645844	0.7107930
0.8322340	0.4288884	0.6037102	0.2188130	0.1333559	0.6508487	0.5762538	0.1902695	0.1626506	0.8580827
0.6912774	0.3762732	0.4542667	0.0593429	0.2487112	0.5826248	0.1542693	0.3126768	0.0492394	0.7197433
0.7411266	0.5446365	0.4745313	0.0727594	0.1992184	0.6330969	0.1759633	0.2787594	0.3392803	0.3984118
