YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.0378295	0.0085148	0.7447506	0.8169607	0.2409299	0.6973427	0.6728775	0.8366065	0.7665873
0.6941633	0.0000000	0.0109415	0.6186283	0.7553014	0.2848016	0.7507458	0.6124404	0.6861641	0.7355015
0.5876927	0.0785057	0.0000000	0.7375691	0.8048512	0.2121927	0.5534311	0.6210004	0.7371724	0.6077935
0.1726855	0.6067249	0.7642542	0.0000000	0.1262703	0.0521042	0.5299165	0.5034053	0.6868219	0.8784049
0.5741997	0.0513769	0.0034792	0.8085713	0.0000000	0.0248684	0.7101102	0.8397520	0.6376666	0.8009031
0.5962963	0.0505285	0.0010202	0.7928266	0.6222545	0.0000000	0.7100791	0.7424132	0.7291966	0.7003333
0.7133693	0.0594051	0.0005558	0.7345767	0.7934342	0.0108800	0.0000000	0.7515921	0.6044760	0.7153147
0.7017058	0.0654155	0.0004102	0.8594014	0.8231590	0.0111345	0.0400916	0.0000000	0.6283867	0.6533017
0.6863230	0.0595460	0.0094898	0.6324231	0.6936576	0.2237544	0.6776168	0.7791689	0.0000000	0.6255458
0.6022228	0.0554945	0.0001645	0.7030861	0.5915987	0.2679551	0.7399740	0.5584179	0.3849058	0.0000000
