YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0236216	0.3969233	0.2198140	0.8724139	0.7697038	0.6015309	0.3245432	0.6778126	0.5668921	0.8401002
0.7928554	0.0047069	0.3883434	0.7427762	0.4204855	0.5566322	0.1437396	1.0186961	0.3711601	0.9763285
0.0014726	0.8057454	0.2882848	0.9307202	0.7628329	0.8474985	0.2004547	0.8737114	0.1925823	0.9580323
0.7471429	0.0137425	0.2968151	0.8097022	0.5901094	0.7348841	0.1722841	0.5469053	0.4692456	0.8377205
0.5370830	0.0045835	0.2735439	0.7162381	0.5528443	0.1761425	0.1774258	0.6867582	0.2776017	0.8974113
1.0344081	0.0042463	0.2231018	0.9509045	0.8034515	0.2397868	0.2609454	0.6464788	0.3910251	1.0477414
0.9220373	0.0197498	0.4725133	0.4731545	0.4116018	0.9291042	0.1122008	0.9516582	0.2086643	0.9990733
0.0694795	0.2978527	0.2693176	1.1146848	1.0112282	0.1259033	0.9023270	0.1209591	0.3905710	0.9991533
0.7177684	0.0323057	0.3415477	0.8249206	0.6980823	0.4647501	0.2482703	0.4962020	0.5297375	0.8028135
0.1899550	0.1782249	0.2368615	0.9765925	0.8113561	0.4291656	0.2070409	0.9884795	0.2973281	1.0404132
