"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.9982006	0.9320718	0.8426188	0.9999988	0.0109184	0.2567240	1.0000000	0.1272391	0.9969403	0.7716232
50	0.9988785	0.9348050	0.8685286	0.9740584	0.0109153	0.2603967	0.9083286	0.1272179	0.9969411	0.7714926
100	0.9993729	0.9425384	0.8967085	0.9519485	0.0109503	0.2806848	0.8267255	0.1272274	0.9969387	0.7699922
150	0.9995464	0.9480095	0.9116286	0.9419235	0.0111319	0.3087346	0.7916920	0.1274392	0.9969251	0.7672894
200	0.9995994	0.9506079	0.9180872	0.9378132	0.0115738	0.3313398	0.7792432	0.1279085	0.9968989	0.7644279
250	0.9996153	0.9516752	0.9206070	0.9361682	0.0122587	0.3451308	0.7751899	0.1285218	0.9968663	0.7621195
300	0.9996203	0.9520809	0.9215186	0.9355139	0.0130248	0.3522492	0.7739341	0.1291236	0.9968351	0.7605670
350	0.9996219	0.9522255	0.9218241	0.9352540	0.0137005	0.3555409	0.7735570	0.1296109	0.9968101	0.7596712
400	0.9996224	0.9522734	0.9219162	0.9351507	0.0142029	0.3569500	0.7734462	0.1299511	0.9967929	0.7592333
450	0.9996226	0.9522875	0.9219386	0.9351096	0.0145329	0.3575200	0.7734141	0.1301593	0.9967824	0.7590668
500	0.9996226	0.9522908	0.9219410	0.9350932	0.0147307	0.3577408	0.7734049	0.1302704	0.9967769	0.7590370
550	0.9989899	0.9499847	0.8917542	0.9610273	0.0148274	0.3525573	0.8650738	0.1303234	0.9967746	0.7593123
600	0.9985172	0.9423538	0.8613759	0.9831347	0.0146105	0.3278456	0.9466761	0.1302985	0.9967781	0.7610449
650	0.9983284	0.9360922	0.8475397	0.9931588	0.0138747	0.2988386	0.9817093	0.1300398	0.9967948	0.7640310
700	0.9982514	0.9330850	0.8429204	0.9972689	0.0129457	0.2781638	0.9941581	0.1295063	0.9968249	0.7670898
750	0.9982186	0.9320674	0.8418785	0.9989139	0.0121613	0.2665747	0.9982114	0.1288376	0.9968606	0.7694490
800	0.9982055	0.9318564	0.8419143	0.9995683	0.0116225	0.2609306	0.9994672	0.1282081	0.9968929	0.7709369
850	0.9982010	0.9318855	0.8421525	0.9998281	0.0112941	0.2584249	0.9998443	0.1277224	0.9969173	0.7717136
900	0.9981999	0.9319535	0.8423528	0.9999313	0.0111088	0.2573834	0.9999551	0.1274035	0.9969329	0.7720272
950	0.9982000	0.9320070	0.8424812	0.9999723	0.0110098	0.2569712	0.9999872	0.1272244	0.9969416	0.7720907
1000	0.9982002	0.9320406	0.8425544	0.9999885	0.0109590	0.2568142	0.9999964	0.1271414	0.9969455	0.7720472

0	0.9982006	0.9320718	0.8426188	0.9999988	0.0109184	0.2567240	1.0000000	0.1272391	0.9969403	0.7716232
50	0.9987007	0.9320760	0.8426265	0.9999991	0.0108862	0.2184449	0.7110531	0.1272221	0.9969413	0.7717252
100	0.9990624	0.9320779	0.8426301	0.9999992	0.0107820	0.2178701	0.4538415	0.1271986	0.9969425	0.7717862
150	0.9991846	0.9320788	0.8426317	0.9999992	0.0107275	0.2697747	0.3434167	0.1271792	0.9969434	0.7718170
200	0.9992186	0.9320792	0.8426325	0.9999993	0.0109632	0.3269205	0.3041782	0.1271664	0.9969441	0.7718294
250	0.9992272	0.9320794	0.8426328	0.9999992	0.0118883	0.3660038	0.2914022	0.1271592	0.9969444	0.7718321
300	0.9992293	0.9320795	0.8426330	0.9999990	0.0136078	0.3872854	0.2874439	0.1271558	0.9969446	0.7718309
350	0.9992297	0.9320795	0.8426330	0.9999986	0.0156787	0.3974156	0.2862554	0.1271547	0.9969446	0.7718286
400	0.9992298	0.9320795	0.8426329	0.9999978	0.0175519	0.4018287	0.2859061	0.1271546	0.9969446	0.7718265
450	0.9992299	0.9320795	0.8426327	0.9999968	0.0189497	0.4036342	0.2858050	0.1271549	0.9969446	0.7718251
500	0.9992299	0.9320794	0.8426324	0.9999957	0.0198629	0.4043391	0.2857761	0.1271552	0.9969446	0.7718243
