"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9383202	0.0718134	0.7041165	0.7429406	0.7508019	0.4983541	0.4326578	0.7662498	1.0627869	0.0289077
50	0.8931256	0.0562667	0.7704341	0.7627697	0.6991845	0.5381653	0.4085844	0.7864324	0.6086933	0.0353607
100	0.9214615	0.0579428	0.6833937	0.6527913	0.7178311	0.5885824	0.4008553	0.7932788	0.3949223	0.0147555
150	0.8277767	0.0831438	0.6782706	0.6153225	0.7344999	0.5413537	0.4107041	0.7836547	0.2827965	0.0024807
200	0.8244664	0.0745822	0.7002781	0.6009034	0.7386210	0.5512006	0.3771368	0.7158626	0.1981992	0.0045437
250	0.8911566	0.0540287	0.6255136	0.6223869	0.6751556	0.5590884	0.4954651	0.6181598	0.1679299	0.0043857
300	0.8988445	0.0569719	0.6292959	0.6619645	0.6767358	0.5663274	0.5231372	0.6654809	0.1787226	0.0025911
350	0.9495060	0.0548263	0.6811643	0.6467947	0.6752980	0.5373121	0.4556153	0.5730204	0.1799094	0.0028880
400	0.8473987	0.0640567	0.6707856	0.6206172	0.6777166	0.5495944	0.4244431	0.5453457	0.1615081	0.0006499
450	0.8053318	0.0678690	0.6119235	0.6172790	0.5943460	0.5080452	0.5622602	0.5214157	0.1688985	0.0009102
500	0.8140791	0.0499784	0.6953096	0.5523189	0.6691592	0.5216046	0.4662089	0.5763563	0.2282197	0.0000000
550	0.9830312	0.0735315	0.7714390	0.6879249	0.7600522	0.4794203	0.5228023	0.4891580	0.5442201	0.0019641
600	0.9818073	0.0815508	0.6699635	0.6314052	0.6999151	0.5815061	0.6476049	0.4825793	0.7896235	0.0205551
650	0.9416336	0.0734608	0.7191348	0.6293388	0.7225027	0.6540945	0.6954300	0.4991748	0.9799066	0.0367673
700	0.9702452	0.1006505	0.7269159	0.5724476	0.6044472	0.7322599	0.7098508	0.6507603	1.0273996	0.0387388
750	1.0065706	0.0895987	0.6959130	0.6116830	0.5877044	0.6296682	0.6116775	0.6782841	0.9521258	0.0310161
800	0.9266416	0.1064347	0.7465880	0.6197917	0.5432644	0.5542618	0.4598070	0.7948777	1.0821483	0.0280925
850	0.8640442	0.0999652	0.6251446	0.6523904	0.7145276	0.5248813	0.3960222	0.7964465	0.9577293	0.0372026
900	0.8672356	0.0916390	0.6232106	0.5509350	0.7604784	0.5712904	0.4719597	0.7749031	0.9330709	0.0415418
950	0.9521430	0.0574368	0.6837813	0.6654011	0.7882825	0.5353225	0.4645109	0.7727049	0.9509516	0.0402143
1000	1.0143690	0.0712840	0.7928051	0.6412841	0.7415610	0.4571994	0.4271177	0.7997403	0.8729948	0.0495311

0	0.9383202	0.0718134	0.7041165	0.7429406	0.7508019	0.4983541	0.4326578	0.7662498	1.0627869	0.0289077
50	0.9908340	0.0722837	0.7351721	0.7529505	0.7727848	0.6156675	0.3248081	0.7684488	0.9452263	0.0149678
100	0.8927559	0.0889758	0.5945197	0.8617363	0.6711691	0.7504407	0.1628309	0.8005213	1.0347821	0.0158166
150	0.9742497	0.0993347	0.6635194	0.9459253	0.6023864	0.8252876	0.1971961	0.7661362	0.9607066	0.0196822
200	0.9626486	0.0801956	0.6532141	1.0220933	0.4963580	0.8634238	0.2054998	0.7992852	0.9484042	0.0147438
250	0.8973254	0.0712970	0.6177502	0.9669323	0.4623830	0.8211332	0.1945107	0.7952789	1.0651523	0.0160779
300	1.0015636	0.0795876	0.5989271	0.9318156	0.3635709	0.8261954	0.2085819	0.7361179	0.9745169	0.0074915
350	0.8857292	0.0803605	0.6285699	0.8319422	0.4303728	0.8109893	0.1946579	0.7043820	1.0283781	0.0105832
400	0.9145666	0.0616726	0.5939593	0.9155873	0.5468971	0.8012319	0.1882087	0.7695408	0.9890918	0.0081817
450	0.8703809	0.0779877	0.6076313	0.9307158	0.4920229	0.7836473	0.1629580	0.8059929	0.9725671	0.0107421
500	0.9399171	0.1196725	0.6848198	0.9452745	0.5471275	0.7182868	0.1735273	0.7492445	1.0584699	0.0074753
550	0.9331977	0.0928153	0.6271426	0.8377360	0.5563647	0.6009100	0.3582245	0.7459781	1.0587127	0.0304469
600	0.9418234	0.0634189	0.6142609	0.6493603	0.6296969	0.5207974	0.4742447	0.8407145	1.0583200	0.0272015
650	1.0062068	0.0641281	0.6488558	0.6745476	0.7715602	0.5102321	0.4097026	0.8121031	1.0257552	0.0307079
700	0.9123195	0.0652842	0.6668208	0.8875604	0.8048213	0.4569774	0.4540924	0.7851025	0.9041364	0.0324539
750	0.9959557	0.0805100	0.6480658	0.7094545	0.8317815	0.4861279	0.5150079	0.7790787	0.9385112	0.0278488
800	0.9065799	0.0834481	0.6136836	0.8291031	0.7971966	0.5798672	0.4692939	0.8518977	1.0341993	0.0312781
850	0.8737544	0.0754385	0.6826474	0.7422190	0.7021726	0.5909147	0.4126944	0.8002896	1.0325072	0.0401744
900	0.9767166	0.0649668	0.7710877	0.6284544	0.7515654	0.5307306	0.4287671	0.8015125	0.9930880	0.0314358
950	0.9346911	0.0764126	0.7391688	0.6416398	0.6197798	0.5503855	0.4790770	0.7721796	1.0184133	0.0287779
1000	0.7773000	0.0809405	0.7349900	0.5469267	0.7302796	0.5105154	0.5373297	0.7752486	0.9994156	0.0293327

0	0.9383202	0.0718134	0.7041165	0.7429406	0.7508019	0.4983541	0.4326578	0.7662498	1.0627869	0.0289077
50	0.6701109	0.0680205	0.7323804	0.9348883	0.6065483	0.5810162	0.4440695	0.8815505	1.0629371	0.0380931
100	0.2888156	0.0557722	0.7948731	0.9301075	0.6534353	0.5856373	0.4287662	0.8843347	1.0563679	0.0259653
150	0.1461718	0.0616144	0.8675291	0.8484193	0.7109330	0.6341246	0.3906884	0.8000205	0.9961263	0.0329929
200	0.1480365	0.0829804	0.8175247	1.0255731	0.6281873	0.6852109	0.3734884	0.8613489	1.0950399	0.0390029
250	0.1335890	0.0759054	0.8190325	0.9884747	0.6186312	0.5831500	0.4257869	0.8212252	1.0208218	0.0248819
300	0.1505496	0.0691617	0.8244926	0.8924143	0.6579309	0.5158072	0.3960790	0.8889900	1.0205958	0.0338759
350	0.2092156	0.0921187	0.8321495	0.9161097	0.6569981	0.5273110	0.3806630	0.9662681	1.0553533	0.0518535
400	0.1633447	0.0793952	0.8726034	1.0765751	0.7944811	0.5140887	0.3485352	0.9108540	1.0453099	0.0422603
450	0.1555385	0.0848519	0.7930274	0.9698896	0.7155135	0.4848406	0.4035677	0.8979148	1.0395887	0.0469842
500	0.1446500	0.0740453	0.8365322	0.9956564	0.8076372	0.4369964	0.4668624	0.8822122	0.9412673	0.0281089
550	0.5064393	0.0880132	0.8810361	0.8136751	0.7770437	0.4233039	0.3572020	0.8533855	0.9842125	0.0305337
600	0.6705950	0.1052634	0.8287061	0.8526141	0.9263379	0.4896825	0.4264265	0.8866113	0.9836490	0.0332487
650	0.8638425	0.1006829	0.7706265	0.6744099	0.8770631	0.4237497	0.4252525	0.8999616	1.0268291	0.0287126
700	0.8866245	0.1072155	0.7250167	0.7039423	0.8509244	0.4153628	0.4312668	0.8566712	1.0294756	0.0304749
750	0.8644276	0.1183596	0.6604585	0.7629047	0.8957026	0.4332725	0.4296600	0.7797765	1.1839474	0.0308210
800	0.8803159	0.0743274	0.6741755	0.7175393	0.8676493	0.4685431	0.4828881	0.8372406	1.0908087	0.0347230
850	0.8801776	0.0639453	0.6987211	0.6895235	0.8408214	0.5112456	0.4352652	0.8684032	1.0224874	0.0289382
900	0.9081095	0.1148332	0.7758625	0.6902395	0.8426327	0.5705484	0.4495377	0.8291274	0.9694572	0.0388914
950	0.9079332	0.0826695	0.6524406	0.7416914	0.7891526	0.6303220	0.4105197	0.8278338	1.0263620	0.0194047
1000	0.9288566	0.0982766	0.5628174	0.7492494	0.6877898	0.6162706	0.3665042	0.8235597	0.9746736	0.0359533

0	0.9383202	0.0718134	0.7041165	0.7429406	0.7508019	0.4983541	0.4326578	0.7662498	1.0627869	0.0289077
50	0.5245205	0.0888593	0.5979667	0.7592948	0.7953293	0.6503186	0.4398911	0.8629884	0.9275863	0.0628767
100	0.1984242	0.0682411	0.7014717	0.9038000	0.7397622	0.6443842	0.4189367	0.9665452	1.0300558	0.0453982
150	0.0884202	0.0885743	0.8055090	0.8475166	0.6796044	0.7521950	0.4407318	0.9233854	0.9881938	0.0176631
200	0.0528041	0.0644011	0.7047092	0.8201665	0.6112023	0.8711403	0.4451865	0.9773859	1.0106890	0.0147371
250	0.0489394	0.0835778	0.6872476	0.8575339	0.5156168	0.8560302	0.3881444	0.9146806	0.9362829	0.0221443
300	0.0250406	0.0902286	0.6904588	0.8324916	0.5450241	0.8025108	0.4236120	0.9248316	0.9997248	0.0233300
350	0.0316158	0.0818265	0.7362243	0.9567419	0.5027964	0.7840213	0.3609407	0.9416624	0.9708054	0.0442121
400	0.0405110	0.0840781	0.7407965	0.9208421	0.4821895	0.8227674	0.4168442	0.9239065	0.9534558	0.0367591
450	0.0259703	0.0883502	0.6956328	0.9005694	0.4701748	0.7058581	0.3634928	1.0309460	0.9750012	0.0414181
500	0.0275817	0.1037789	0.6299881	0.9197640	0.5414800	0.6426933	0.2999463	1.0486544	0.9510873	0.0261251
550	0.4852821	0.0958509	0.5273157	0.7109018	0.5485629	0.6805248	0.3178671	0.9710700	1.0416114	0.0456720
600	0.7316341	0.0824405	0.5707078	0.6684672	0.6945668	0.5198652	0.3457899	0.8182406	1.0216762	0.0343059
650	0.8786298	0.0601348	0.6445726	0.6247061	0.7725101	0.5139546	0.4016374	0.7560648	0.9308973	0.0420237
700	0.8903615	0.0482634	0.6871214	0.7669460	0.7843743	0.5170076	0.5051067	0.7882006	0.9372801	0.0349649
750	0.9886865	0.0384140	0.7712120	0.7772423	0.8413355	0.6062193	0.4206795	0.7806272	0.9095667	0.0297583
800	0.9306960	0.0631681	0.7276926	0.6579207	0.7666301	0.5288764	0.4640628	0.8176694	0.9476485	0.0181635
850	0.9730849	0.0989470	0.7197033	0.6299216	0.7586014	0.5619003	0.4850149	0.8446126	0.9131816	0.0171485
900	0.9769083	0.0896785	0.7006260	0.6667681	0.7633388	0.5628664	0.3600212	0.7667766	0.9839238	0.0110545
950	0.9292701	0.0940077	0.7058388	0.7535496	0.7556609	0.4928865	0.4630509	0.8006817	0.9059279	0.0321525
1000	0.8598087	0.0534306	0.6911297	0.7781821	0.7304965	0.4738144	0.4390834	0.7866400	1.0005578	0.0282073

