YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1397953	0.6090062	0.0276187	0.7051355	0.0892944	0.2605693	0.7185575	0.6600687	0.6815600	0.0857641
0.1286223	0.2753219	0.0327623	0.7176359	0.0638274	0.1969178	0.6384138	0.7799787	0.5931894	0.0722596
0.2984125	0.4635526	0.0286181	0.6970082	0.0541418	0.2965378	0.7886253	0.6836591	0.7070589	0.2188284
0.3039336	0.5373238	0.0337726	0.3112555	0.1652842	0.3030251	0.7471316	0.5419760	0.6469559	0.1342299
0.3732611	0.4958770	0.0605310	0.6748779	0.0259121	0.1908832	0.7438438	0.4532485	0.5222838	0.2145418
0.3224175	0.5721721	0.0199229	0.6448741	0.0667307	0.1176389	0.7783652	0.9056337	0.6568474	0.1642139
0.2401800	0.4939278	0.0800670	0.4506954	0.2922070	0.5303054	0.3167006	0.7831186	0.6144995	0.1358659
0.3136182	0.6036846	0.0382535	0.6358269	0.0689304	0.2773718	0.7304330	0.2900014	0.6296774	0.2074472
0.3283379	0.7510188	0.0370526	0.6569959	0.1349863	0.3494336	0.5506345	0.1254561	0.1772607	0.7147331
0.2707032	0.3957767	0.0456235	0.7686316	0.0478131	0.2044928	0.9375568	0.7821483	0.7371752	0.0473368
