YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.8168392	0.1507810	0.4715097	0.1255006	1.0036222	0.9357834	0.4077583	0.5719584	0.2021304	0.6518380
0.9018388	0.0430503	0.2881768	0.1950836	0.8547866	0.7710595	0.1125279	0.6036946	0.0416227	0.9957778
0.6398834	0.1114883	0.3270241	0.5160491	0.5619578	0.2671005	0.0253950	0.6744082	0.0227953	0.9050169
0.9674347	0.1401085	0.6553308	0.2958870	1.0059873	1.0202467	0.3264169	0.5222696	0.0946274	0.9826097
0.9255312	0.0403338	0.4955879	0.2231051	0.9633457	0.8399295	0.1055928	0.6125193	0.0238156	1.0691628
0.6216538	0.1274448	0.6766128	0.2317108	0.9353164	0.7423086	0.1982786	0.7893506	0.0901931	1.0186326
0.9117254	0.1338540	0.5245635	0.2274995	0.8619740	0.9843728	0.2936134	0.5331119	0.0713085	1.0563425
0.9167161	0.1183729	0.5398571	0.3519226	0.9275828	0.9745898	0.2709907	0.5534335	0.0909299	0.9439590
0.4101135	0.0507461	0.3723852	0.2450245	0.9918523	0.9123943	0.6713852	0.5249686	0.0246442	1.0317142
0.9670958	0.0266677	0.6978643	0.2660140	1.0006684	0.8229213	0.1011734	0.6682074	0.0651594	0.9608852
