"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.1530109	0.7258473	0.4047116	0.3451219	0.6294372	0.8193611	0.1851891	0.3389443	0.8214158	0.7088012
50	0.1571438	0.7152171	0.3759319	0.2420459	0.6813831	0.6640332	0.1598875	0.3687954	0.7110289	0.2539648
100	0.1317777	0.7125567	0.4259009	0.1872142	0.6612593	0.7513946	0.2873902	0.4123156	0.8181539	0.2722276
150	0.1257219	0.7246991	0.4038873	0.1888881	0.6371198	0.6711401	0.1548048	0.4581718	0.7166766	0.1049609
200	0.1386614	0.6539072	0.2919460	0.2053211	0.8243745	0.6797087	0.1569737	0.3605092	0.5479167	0.1448438
250	0.0685365	0.7715689	0.2698071	0.1574083	0.7961808	0.6528821	0.1585290	0.3576080	0.7368613	0.1812724
300	0.1063625	0.6439837	0.2253845	0.1228695	0.7067326	0.6830452	0.1641924	0.4935860	0.7549746	0.1007370
350	0.1251023	0.7140773	0.2200033	0.1501338	0.6944142	0.6856379	0.0921804	0.4105402	0.6611705	0.1446724
400	0.1343331	0.6199872	0.1352429	0.1428509	0.6411806	0.8143905	0.2267512	0.3787186	0.6401184	0.1043520
450	0.1352941	0.7424818	0.1584651	0.1694265	0.6796066	0.6730468	0.2076559	0.3784904	0.7387525	0.1428636
500	0.1540905	0.6664266	0.0684285	0.1686700	0.6968636	0.3817949	0.1498268	0.4202604	0.5205704	0.1180551
550	0.1483535	0.6580867	0.1594404	0.1735893	0.4049339	0.2972272	0.1734532	0.4296585	0.7925949	0.5363418
600	0.1386417	0.5846410	0.1521245	0.3645779	0.2514248	0.4009611	0.1465618	0.3839621	0.7759875	0.7092291
650	0.2632055	0.6697568	0.3296769	0.5807895	0.2003739	0.7635823	0.1869405	0.3506462	0.8560521	0.7310422
700	0.2355791	0.6778718	0.5804508	0.6118069	0.2617614	0.6925640	0.2326675	0.2567364	0.7384732	0.6987285
750	0.2082032	0.8111381	0.7288675	0.5291433	0.4872299	0.8107429	0.2726192	0.4293195	0.8227139	0.7773703
800	0.2017113	0.7387859	0.7796171	0.4466825	0.5234065	0.7017515	0.1753544	0.3287924	0.6317025	0.7042788
850	0.2017333	0.7362891	0.6649328	0.4204500	0.3914030	0.6129034	0.1607254	0.3309843	0.8622327	0.7995509
900	0.1563477	0.6730742	0.6583619	0.4748161	0.5105732	0.7605236	0.1465306	0.3035141	0.7470477	0.6821962
950	0.1398850	0.8228619	0.5128768	0.3173686	0.4709030	0.7728811	0.1211705	0.4001747	0.6149417	0.6301296
1000	0.1646113	0.7175187	0.5321891	0.3171204	0.5297987	0.8321857	0.1715544	0.4303222	0.8390304	0.8191409

0	0.1476719	0.7839622	0.3884409	0.3009960	0.7358432	0.6747073	0.2155256	0.3635009	0.7488598	0.7339768
50	0.1321772	0.6037728	0.5482966	0.3015993	0.5813422	0.8125319	0.1980077	0.2801324	0.7218545	0.6119359
100	0.2247553	0.7901986	0.5772592	0.3124499	0.4274989	0.8396782	0.2498214	0.3330834	0.7809649	0.7982317
150	0.1442205	0.7124573	0.7484946	0.2799961	0.4002168	0.7557341	0.2572031	0.3298662	0.8948041	0.7837994
200	0.1731574	0.5775098	0.5786730	0.2841200	0.4001121	0.9044745	0.1786571	0.3420722	0.7780142	0.7664910
250	0.1795514	0.7221985	0.7104363	0.3477224	0.3757332	0.7258517	0.1674513	0.3430948	0.8603280	0.6202849
300	0.1874153	0.7551729	0.6296573	0.3480295	0.5258898	0.7017710	0.0950776	0.3174071	0.6505121	0.7339838
350	0.2015800	0.6909344	0.5979234	0.3652231	0.5032960	0.6435062	0.1394349	0.3611711	0.7031711	0.6403874
400	0.1658663	0.7252744	0.6609364	0.3647416	0.6211113	0.8402415	0.1484370	0.3503551	0.6288307	0.6756663
450	0.1494422	0.6339829	0.4625544	0.2999605	0.6564620	0.8529618	0.2087544	0.3088581	0.5853965	0.6971575
500	0.2003474	0.7640608	0.4963635	0.2449054	0.4663429	0.6872060	0.1692199	0.3290783	0.6371556	0.7190990
550	0.1137057	0.8012119	0.5178094	0.2638341	0.5266617	0.6311552	0.2206825	0.2895294	0.7362968	0.6819057
600	0.1468916	0.5937932	0.3290523	0.2554685	0.4516452	0.7419390	0.2297397	0.3100769	0.6979609	0.7433879
650	0.1679294	0.6604833	0.4348732	0.2793094	0.4171557	0.6585185	0.1616380	0.3154138	0.7675697	0.8125810
700	0.1772173	0.5965870	0.4117345	0.1811742	0.5627443	0.8124402	0.1604780	0.3298248	0.6390025	0.5983778
750	0.1968468	0.6497842	0.3129167	0.3118300	0.6137987	0.7601083	0.1529105	0.3706270	0.6701656	0.8197417
800	0.1884275	0.8078353	0.3859724	0.2594171	0.4789586	0.7180346	0.2380878	0.3391635	0.7240303	0.6854399
850	0.2264811	0.7057622	0.2870224	0.2794208	0.5295271	0.7083098	0.1930351	0.4496117	0.7076053	0.7773344
900	0.0982556	0.6035384	0.4510795	0.2687246	0.5567932	0.7074015	0.1384841	0.4180572	0.7734465	0.6691060
950	0.2226841	0.6599140	0.4798597	0.2893574	0.5207575	1.0000000	0.1835117	0.3898787	0.6490985	0.7335662
1000	0.2276502	0.6155797	0.4402306	0.2864123	0.4754082	0.8197729	0.1848631	0.4201778	0.8639463	0.7643270

0	0.1564192	0.6420974	0.4840405	0.3165429	0.5719556	0.8611136	0.1412226	0.2714724	0.7292854	0.6871624
50	0.2623490	0.7036328	0.4740063	0.2475688	0.4250878	0.6215556	0.0261754	0.3661690	0.7612248	0.8447892
100	0.1189276	0.6366351	0.3907342	0.2999711	0.4115928	0.4729023	0.0064893	0.3742125	0.7194935	0.6007953
150	0.1749975	0.7552687	0.3422336	0.3319360	0.3348014	0.5652567	0.0004170	0.3727768	0.7088114	0.6877224
200	0.1675646	0.7051576	0.4959363	0.4009499	0.2875962	0.5480695	0.0012494	0.3240944	0.8118364	0.7549732
