YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.9952769	0.1265774	0.7284101	0.5287571	0.2449578	0.0653903	0.5169318	0.2992432	0.8944111	1.0000000
0.4810425	0.9917616	0.1181308	0.1457809	0.1842588	0.3748962	0.3101491	0.6340173	0.7322668	0.6451025
0.3208503	0.9915052	0.1145372	0.1068491	0.0358128	0.1502400	0.3662948	0.5100235	0.9191866	0.9806175
0.6016532	0.8139032	0.2147258	0.0581301	0.0000000	0.0033369	0.3448801	0.5530229	0.9038968	0.8205440
0.5699041	0.8597059	0.0329684	0.0000258	0.0109426	0.1739861	0.3234464	0.5658599	0.9135773	1.0000000
0.9449995	0.0615310	0.7392656	0.6542303	0.4690893	0.1705821	0.4360950	0.3959758	0.8346380	1.0000000
0.9933227	0.3716267	0.4760014	0.2367568	0.2381699	0.2007849	0.4484408	0.3792555	0.8043505	0.8602402
0.5962266	0.9070977	0.2222789	0.0537416	0.1387361	0.3445620	0.3318042	0.5808804	0.7547186	0.6374254
0.8596760	0.2273539	0.5822061	0.1217136	0.0864039	0.2506557	0.6816345	0.1655061	0.8590601	0.9603454
0.9163894	0.5745954	0.2792868	0.1015201	0.1165287	0.3273346	0.4285003	0.4064634	0.7957454	0.7034652
