YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.9789133	0.8813762	0.8332758	1.0000000	0.0004422	0.2567239	1.0000000	0.0005330	0.9848846	0.5080094
0.9982931	0.9354902	0.8332759	1.0000000	0.0040581	0.3527492	0.7826793	0.0002244	0.9932313	0.7370817
0.9974398	0.8191110	0.7041457	0.7045922	0.0004422	0.2567239	1.0000000	0.0458987	0.9791423	0.4499338
0.9778214	0.7776069	0.6516615	0.6749717	0.0005666	0.2659957	0.9743492	0.1076907	0.9946073	0.8578675
0.9985283	0.9439288	0.8777243	0.9602312	0.0000606	0.1928183	1.0000000	0.1189433	0.9980188	0.8041011
0.9987465	0.9469016	0.8332759	1.0000000	0.0004833	0.2600252	0.8631762	0.0767919	0.9954888	0.6796449
0.9988570	0.9624134	0.8731944	0.9582792	0.2824286	0.1688287	1.0000000	0.1418338	0.9872927	0.5463083
0.9793820	0.9497519	0.8655054	0.9987018	0.0997422	0.2843913	0.9270321	0.1050613	0.9980457	0.8658323
0.9983151	0.9170251	0.8739871	1.0000000	0.0002827	0.2407698	0.9847188	0.0957964	0.9983038	0.9130591
0.9787232	0.8589092	0.6740591	0.7491481	0.0268102	0.2567239	1.0000000	0.1393489	0.9930955	0.7295854
