"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.6408288	0.7231984	0.8068742	0.6927199	0.0372643	0.0698140	0.6471652	0.2568112	0.6613467	0.9056226
50	0.6215201	0.8664212	0.8556005	0.5917510	0.0389079	0.0543313	0.7136559	0.0636069	0.8082499	0.7878097
100	0.5785334	0.6551415	0.5816251	0.6290405	0.0226938	0.0254830	0.7479109	0.0478040	0.9172772	0.6821134
150	0.6171357	0.5842234	0.7911653	0.8086546	0.0043410	0.0285141	0.6421449	0.0795070	0.7225640	0.6973651
200	0.5829963	0.7120288	0.7023023	0.8469113	0.0080445	0.0199721	0.7789878	0.0431093	0.8696815	0.9169040
250	0.4814281	0.8108755	0.6842496	0.8565171	0.0011952	0.0071285	0.7230165	0.0308621	0.8606772	0.6951590
300	0.6623239	0.7217942	0.7477738	0.8910681	0.0076615	0.0056430	0.6704013	0.0139334	0.7837735	0.7927381
350	0.5892013	0.6815170	0.6755301	0.7745050	0.0104558	0.0227589	0.8290912	0.0259945	0.6754713	0.7747355
400	0.5828701	0.8202482	0.7908886	0.8271554	0.0185790	0.0189905	0.7483016	0.0461323	0.6975250	0.7586805
450	0.7565318	0.8509544	0.6010317	0.8432268	0.0100413	0.0387249	0.6489431	0.0361371	0.7058953	0.8216959
500	0.6114302	0.8860147	0.6665325	0.7138413	0.0030387	0.0095414	0.8555403	0.0332189	0.7279616	0.7389575
550	0.5917677	0.6755177	0.7825287	0.7726038	0.0096577	0.0741661	0.6871882	0.1118416	0.8115183	0.6837860
600	0.5942183	0.7328552	0.6766756	0.7728622	0.0247585	0.1271964	0.7319442	0.2365349	0.8395125	0.7430270
650	0.7724208	0.6821179	0.5811983	0.6364298	0.0459965	0.0836902	0.7029778	0.2064834	0.6793348	0.6954316
700	0.7146430	0.7801049	0.8984787	0.7188895	0.0126604	0.1210054	0.5257927	0.2079080	0.7174684	0.8566331
750	0.5853380	0.7452104	0.7308542	0.7664450	0.0451899	0.0794768	0.6850483	0.2428711	0.6886475	0.7717854
800	0.6105661	0.7306910	0.6131552	0.8365200	0.0715973	0.0865152	0.7897274	0.2921889	0.7223154	0.6885858
850	0.7631445	0.7330571	0.6924522	0.7592391	0.0220054	0.1061583	0.7670236	0.2528420	0.7326784	0.6416680
900	0.5647256	0.7582824	0.7251998	0.7907969	0.0429538	0.0977107	0.5975785	0.2782986	0.6217922	0.8186142
950	0.8574696	0.7730829	0.5800980	0.5903538	0.0326850	0.1700471	0.5439154	0.1944854	0.6231365	0.6988047
1000	0.5410124	0.7114264	0.7163791	0.8349173	0.0362992	0.0913119	0.5528162	0.3090643	0.6646504	0.6130073

0	0.5770764	0.6327849	0.6294768	0.7375763	0.0607957	0.1455135	0.6521109	0.2405844	0.7388289	0.9012155
50	0.5277199	0.8681117	0.6732455	0.6131427	0.3718557	0.1248617	0.7171673	0.0686453	0.8209086	0.6528372
100	0.3513032	0.6762638	0.5862452	0.5430721	0.3348843	0.0854823	0.6270938	0.0162105	0.7362617	0.7685224
150	0.3738220	0.6715479	0.6141110	0.6426748	0.3379126	0.1132777	0.6480286	0.0027318	0.8140551	0.8091263
200	0.3604346	0.6917111	0.6501505	0.6121146	0.2850637	0.0955824	0.7650479	0.0060413	0.8357114	0.6930622
250	0.3818974	0.6155911	0.6486120	0.5200856	0.3005646	0.1154476	0.7190961	0.0028062	0.8258617	0.8046556
300	0.3854944	0.6300924	0.6153912	0.5571410	0.2312089	0.1155865	0.8365800	0.0007320	0.7048681	0.6471007
350	0.3734310	0.8588096	0.7626571	0.5886006	0.3553859	0.1070243	0.7668919	0.0010561	0.6735616	0.7802784
400	0.3419545	0.8204136	0.7319888	0.5568210	0.3702178	0.1291387	0.7401620	0.0063987	0.7076950	0.6034324
450	0.3373445	0.8417688	0.6431459	0.6697571	0.3286774	0.0632720	0.7607017	0.0088019	0.7350042	0.6768309
500	0.2825252	0.8038852	0.6701466	0.5004100	0.2807921	0.1001577	0.7331215	0.0019291	0.7892000	0.7207128
550	0.6399209	0.5786502	0.7478915	0.6969266	0.0925672	0.0636261	0.7036972	0.2131847	0.6780841	0.7915774
600	0.7517529	0.7164067	0.6712663	0.7437998	0.0363646	0.1137917	0.6750570	0.3589997	0.7806537	0.6437564
650	0.7323297	0.7235345	0.7720985	0.6189269	0.0344011	0.0916832	0.6600854	0.2265544	0.7192818	0.6838091
700	0.7792527	0.7393452	0.6745311	0.7165987	0.0659996	0.1644674	0.6637939	0.2319136	0.8047651	0.7948678
750	0.6118060	0.7380069	0.5951368	1.0000000	0.0610855	0.1442318	0.6248501	0.2742036	0.6590498	0.6844026
800	0.7628897	0.7152456	0.6463000	0.7613614	0.0710999	0.1191042	0.5881153	0.2231805	0.6042416	0.6924882
850	0.6271013	0.7373391	0.7420592	0.7881957	0.0626897	0.1008350	0.6108422	0.2730884	0.6658358	0.8496200
900	0.6546864	0.7883963	0.6732394	0.6981553	0.0254793	0.1396799	0.6341186	0.2801525	0.8663915	0.6736185
950	0.6508995	0.7505868	0.6803670	0.7968869	0.0240698	0.1184289	0.5134380	0.2788297	0.8265390	0.7645901
1000	0.6407744	0.6368913	0.6547256	0.7064644	0.0301806	0.0954263	0.7498727	0.2645353	0.7716731	0.5744174

0	0.7456342	0.7792232	0.5900995	0.7459005	0.0393150	0.0939612	0.5665449	0.3196272	0.7182525	0.8172461
50	0.5668665	0.7093510	0.9412226	0.6834717	0.0347989	0.1383788	0.8179949	0.0805033	0.4082470	0.5727163
