YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.1564696	0.4742155	0.3380283	0.0952363	0.1697811	0.2346530	1.0132568	0.2002007	0.2005804	0.5205241
0.8079223	0.2159981	0.4925530	0.1023856	0.1331939	0.3812817	0.7286368	0.2635505	0.7511581	0.2311732
0.1855402	0.7465007	0.0802814	0.2917252	0.2125477	0.3781241	0.7292923	0.1075264	0.3647871	0.4385829
0.6053106	0.2175336	0.6626831	0.0861708	0.1559824	0.3895152	0.7497998	0.2267727	0.7667834	0.2277145
0.7503680	0.3087174	0.7448378	0.0394527	0.1130157	0.3566214	0.6146259	0.5143096	0.6946767	0.1854116
0.5494732	0.2828810	0.7893562	0.0148859	0.1282499	0.2620696	0.4626592	0.3995495	0.6106652	0.1850521
0.1824992	0.8307525	0.0285874	0.4717355	0.3536371	0.5046687	0.4236026	0.0754780	0.7937191	0.2757488
0.3076061	0.4508397	0.3573747	0.1503658	0.2022900	0.3691571	0.7981408	0.0575147	0.6827540	0.2711409
0.5064959	0.3256731	0.3508119	0.1563356	0.1851064	0.3594221	0.8524003	0.1364749	0.3113691	0.3377902
0.3088716	0.4617958	0.3164019	0.0952415	0.1819126	0.4040073	0.6557194	0.1952005	0.8264804	0.1952323
