YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.3687652	0.0306424	0.9008603	0.1073806	0.4430273	0.4888274	0.0798075	0.0117090	0.0717223
0.0262301	0.0000000	0.0282219	0.7592756	0.0512800	0.4887366	0.3603178	0.1317422	0.0330295	0.0260103
0.0841186	0.3278527	0.0000000	0.8487571	0.0895121	0.5358674	0.3971526	0.2306706	0.0107919	0.0183327
0.6773408	0.7520435	0.7656723	0.0000000	0.0571160	0.4863345	0.5004141	0.4309236	0.0500014	0.0719059
0.1192987	0.3034397	0.0359577	0.7936082	0.0000000	0.5356832	0.3752688	0.1483074	0.0256262	0.0446251
0.1397232	0.3288770	0.0811621	0.7598798	0.6057219	0.0000000	0.2328812	0.1029980	0.0198668	0.0283046
0.1283580	0.3565030	0.0997591	0.7097916	0.0008106	0.8081289	0.0005083	0.2212392	0.0172685	0.0244080
0.1023656	0.2753083	0.0743752	0.7558128	0.0051052	0.7786535	0.0474415	0.0007399	0.0291896	0.0187913
0.2109415	0.3330730	0.0245236	0.6897743	0.0490821	0.8960207	0.2857181	0.0272666	0.0000000	0.0682372
0.1276846	0.3296889	0.0186380	0.7195963	0.1076731	0.5356730	0.4020728	0.0722243	0.0403416	0.0000000
