"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.6685299	0.9262071	0.4960790	0.9554079	0.3817778	0.4450183	0.1363277	0.1590663	0.9437820	0.9557843
50	0.6177800	0.9277571	0.5082612	1.0136524	0.4298762	0.4946461	0.3704729	0.1660976	1.0542929	0.9920308
100	0.6038829	0.8667575	0.5283206	1.0079688	0.4649277	0.5034562	0.6257864	0.1933237	0.8417290	0.9103917
150	0.5484084	0.8662389	0.5394628	1.0617516	0.4662261	0.3795582	0.8284161	0.1745272	0.6688150	0.7828371
200	0.5318842	0.8975199	0.5890133	0.9432044	0.4371295	0.3608602	0.7903248	0.1838305	0.5398208	0.8121684
250	0.4178150	0.8410562	0.5873183	1.0514392	0.3647461	0.3873691	0.7596066	0.2187131	0.5111064	0.8611421
300	0.5020682	0.9118112	0.5345378	1.0514367	0.4191596	0.3946795	0.7673960	0.2609568	0.4432061	0.8377679
350	0.5528635	0.9382079	0.5603263	1.0053446	0.4757084	0.4163276	0.7815403	0.3367751	0.4084946	0.8215062
400	0.5494407	0.9147526	0.5993876	1.0216330	0.4999506	0.3152603	0.9318593	0.3713834	0.3951782	0.7993682
450	0.4861121	0.9746176	0.4760854	0.9863746	0.4713021	0.2868770	0.8299921	0.3695088	0.4612144	0.7097200
500	0.5324715	1.0152378	0.5245595	0.9113583	0.4325605	0.2944181	0.9623796	0.3671221	0.4534312	0.7813719
550	0.5207225	1.0026858	0.5352153	1.0167615	0.3850366	0.3311159	0.8095842	0.4506546	0.4127207	0.8442512
600	0.5487447	0.9150547	0.4908574	1.0174907	0.4597992	0.4331717	0.7162633	0.3946048	0.5203741	0.8129853
650	0.5164491	0.9239902	0.5692740	0.9719107	0.4414183	0.4013050	0.4534436	0.3618114	0.4776795	0.8950177
700	0.5470840	0.9190650	0.5288857	0.9742821	0.4274845	0.3864036	0.4361365	0.2903389	0.6344617	1.0071944
750	0.4870190	0.9213922	0.4861644	0.9672059	0.4444872	0.3854348	0.4230302	0.2726412	0.7722666	1.0117494
