"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	0.9976459	0.1551851	0.4720182	0.2670089	0.8980027	0.8669586	0.1270776	0.5996066	0.0937712	0.9983831
50	0.8078780	0.1335107	0.8127404	0.2707795	1.0446639	0.9496772	0.5327300	0.6209454	0.0471144	0.4822390
100	0.5847233	0.1436722	0.8278867	0.2171359	0.9557205	0.9061380	0.6177789	0.5876415	0.1003638	0.3882991
150	0.6243441	0.1424933	0.8765493	0.1912673	1.0259224	0.9210717	0.6171129	0.5138369	0.2136926	0.3049922
200	0.5137354	0.1074811	0.8522392	0.2217167	0.9726487	0.9939247	0.6583679	0.3629743	0.2278411	0.2809918
250	0.4883742	0.1061136	0.8772161	0.2595411	0.9000033	0.8626747	0.6028405	0.2930657	0.3466772	0.2882916
300	0.4020075	0.1290752	0.8786694	0.2508117	0.9711617	1.0158024	0.6670336	0.2083976	0.3192924	0.2981755
350	0.4855124	0.1098414	1.0045782	0.2707734	0.9802614	1.0444933	0.6335943	0.1724535	0.3218808	0.2976567
400	0.4778507	0.1010875	0.9098650	0.1830370	0.9992135	1.0715907	0.5207856	0.1892210	0.2721917	0.3535128
450	0.5119277	0.1139095	0.9039122	0.1878190	1.1438369	1.0422410	0.6153094	0.2256663	0.2528907	0.3139863
500	0.4693499	0.1171826	0.8056364	0.1969077	1.0395836	0.9975214	0.5738429	0.2353181	0.2630591	0.2852888
550	0.7241713	0.1235052	0.6541881	0.2164052	1.0494720	0.9036298	0.2162960	0.2331100	0.5430437	0.7843860
600	0.8806456	0.1222095	0.5941236	0.1961970	1.0522517	0.9258944	0.2809304	0.1403687	0.2383528	1.0209848
650	0.9326001	0.1484703	0.5492962	0.1938876	0.9575647	0.9046352	0.3499947	0.2472288	0.1184865	0.9733758
700	0.8986651	0.1582854	0.5928099	0.2276028	0.9841818	0.9453872	0.4284329	0.2857695	0.1027009	1.0150260
750	0.9281058	0.1390725	0.5607230	0.2391787	1.0028811	0.9298219	0.3796190	0.4307319	0.0799640	1.1090455
800	0.8990644	0.1287219	0.5359942	0.2302988	0.9439079	1.0321864	0.3100406	0.5193853	0.0705126	1.0736082
850	0.9239703	0.1193416	0.5571157	0.2388667	0.9152218	0.9554526	0.2464672	0.5061784	0.0913332	0.9680578
900	0.9037465	0.1221439	0.6443973	0.2175917	0.9851802	0.8466685	0.1980300	0.5414159	0.0771617	0.9838755
950	0.9562670	0.1144608	0.6001813	0.2082368	0.9064613	0.9317168	0.1328914	0.5861001	0.0719402	0.9732033
1000	0.8995816	0.1053042	0.5552399	0.2477184	0.9884972	0.8670019	0.1311104	0.5774799	0.0846382	1.0845524

0	0.9976459	0.1551851	0.4720182	0.2670089	0.8980027	0.8669586	0.1270776	0.5996066	0.0937712	0.9983831
50	0.9857516	0.1047905	0.7077148	0.1494012	0.9576152	0.8594309	0.1830941	0.5166974	0.0387764	0.7910699
100	1.0013730	0.0998443	0.6983895	0.1006719	0.9316620	0.8757051	0.2305427	0.5443126	0.0418692	0.6956267
150	0.9556099	0.1123365	0.6987371	0.0810417	0.9675836	0.9285661	0.2157970	0.5747071	0.0713263	0.6494044
200	0.9693780	0.0932123	0.6917399	0.0781122	0.9726826	0.9646661	0.1666232	0.5947497	0.0564812	0.6241385
250	0.9937729	0.1137893	0.6379825	0.1109714	0.9386359	0.8886050	0.1630086	0.5145367	0.0801290	0.5868302
