YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000000	0.2235928	0.7464534	0.1488576	0.3015726	0.6949069	0.6825448	0.0222905	0.2071572	0.4542014
0.0129423	0.0000000	0.8134801	0.1661213	0.4474207	0.5921130	0.8220870	0.0276641	0.1498302	0.4597444
0.0439230	0.2539572	0.0000000	0.2555161	0.4103853	0.5288269	0.7537330	0.0161583	0.1178765	0.4319874
0.0293329	0.1433440	0.7904512	0.0000000	0.4193790	0.6359600	0.7480593	0.0362265	0.1662190	0.4975567
0.0338481	0.1772905	0.4624369	0.7831032	0.0000000	0.3743584	0.7837336	0.0219771	0.1526030	0.4891007
0.0266936	0.2826492	0.7105641	0.1206122	0.7591486	0.0000000	0.8363842	0.0117566	0.1405834	0.4382951
0.0905340	0.3760059	0.6798369	0.1670091	0.7620758	0.0684868	0.0000000	0.0158628	0.0624841	0.1169154
0.1219705	0.2344845	0.7486859	0.2402831	0.4357162	0.4779977	0.7365101	0.0000000	0.1718752	0.4802888
0.0397537	0.2601654	0.7193453	0.1866975	0.3644006	0.4689705	0.6017877	0.0437375	0.0000000	0.4320758
0.0971891	0.3612800	0.6281414	0.2573366	0.3582012	0.4707445	0.8475059	0.0040164	0.0682537	0.0000000
