YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.2850412	0.8259169	0.4554671	0.9476707	0.3210828	0.5415805	0.9869208	0.7531984	0.5595041	1.0000000
0.2139580	0.4128689	0.4557190	0.9471101	0.3222568	0.5449719	0.9929565	0.7531659	0.5595041	1.0000000
0.6631642	0.9687338	0.2275358	0.9488104	0.3183396	0.5334324	0.9726189	0.8445237	0.5595041	1.0000000
0.3423124	0.5579953	0.7473170	0.4740681	0.3198121	0.5376724	0.9800083	0.7321571	0.5595041	1.0000000
0.5819598	0.8428367	0.4349470	0.9932632	0.1585476	0.5293256	0.9651916	0.7565835	0.5595041	1.0000000
0.5811227	0.8418092	0.4361244	0.9906425	0.1771735	0.2646660	0.9652020	0.7563593	0.5595041	1.0000000
0.5699346	0.8267947	0.4535687	0.9527916	0.3088795	0.2067139	0.4826600	0.7533540	0.5595041	1.0000000
0.5731693	0.8311957	0.4483652	0.9641764	0.2801208	0.4137791	0.7811843	0.3770931	0.5595041	1.0000000
0.5705291	0.8269165	0.4538492	0.9519804	0.3105863	0.5098345	0.9318523	0.5984383	0.2797521	1.0000000
0.5701303	0.8260969	0.4551351	0.9486187	0.3187982	0.5347368	0.9748119	0.8374859	0.3380869	0.5000011
