YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0070261	0.7286107	0.1378929	0.1628608	0.4559093	0.2856979	0.8220658	0.1138887	0.3647678	0.6651963
0.1119696	0.4108694	0.3170712	0.3471957	0.5093854	0.3012988	0.9021973	0.1783589	0.2860805	0.7426787
0.0161981	0.7653317	0.0997706	0.4683976	0.4755528	0.2805118	0.8617757	0.2437889	0.3959968	0.7658064
0.0143401	0.8870068	0.1387623	0.2301931	0.5664995	0.3174077	0.8755304	0.2596251	0.4362719	0.6081155
0.0046994	0.7505924	0.2333354	0.3897247	0.3006573	0.3082765	0.7876390	0.1943034	0.4096540	0.8380264
0.0247133	0.6955272	0.3213619	0.3504156	0.3091822	0.1469317	0.8657002	0.2886860	0.4185916	0.7021159
0.0190160	0.7329703	0.2028562	0.3973953	0.6960903	0.5702948	0.4543725	0.2847974	0.3203692	0.7043630
0.0342637	0.6525126	0.2618744	0.3892117	0.6570811	0.2358405	0.7476910	0.0981082	0.2727672	0.7067972
0.0279250	0.6729839	0.2654756	0.2623981	0.5066507	0.3194950	0.7551562	0.1773474	0.1738743	0.7762140
0.0330865	0.7422133	0.2220681	0.3005543	0.4822485	0.2672243	0.5964433	0.2385476	0.4286895	0.3237343
