YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.5396228	0.1277928	0.7439266	0.4380779	0.8132567	0.8461548	0.0069873	0.6747188	0.1728957	0.0000000
0.6776174	0.0787620	0.7577753	0.3368087	0.5586192	0.8403125	0.0209502	0.5131261	0.1752737	0.0001479
0.4404408	0.1571097	0.7472462	0.1843511	0.4268283	0.6795383	0.0831541	0.7740474	0.1452150	0.0650806
0.6169058	0.0712804	0.7387972	0.1888647	0.3409745	0.7889047	0.0775883	0.7468812	0.7010500	0.6125875
0.4951033	0.1469558	0.7415340	0.4449378	0.5663566	0.8174875	0.0025922	0.4442512	0.0673433	0.1363859
0.4408750	0.3160343	0.4794517	0.1454892	0.3535061	0.5727867	0.0009022	0.6075216	0.2066059	0.0822675
0.6813677	0.0405456	0.7410911	0.2654932	0.4829456	0.7275531	0.1032212	0.5726135	0.1570878	0.0552296
0.5996682	0.1276264	0.8838305	0.3000742	0.7728217	0.6656655	0.1124186	0.3665570	0.0331578	0.0286561
0.3206429	0.2587465	0.7363941	0.1379907	0.3807617	0.8953625	0.0061914	0.4139635	0.0619555	0.0061567
0.4710515	0.1419695	0.5621596	0.2380884	0.5226610	0.7645510	0.0018266	0.8298371	0.2626185	0.1023661
