YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.5774581	0.2428430	0.2996270	0.3860514	0.4082093	0.0207175	0.7982289	0.4778780	0.1156351	0.7505433
0.5939328	0.6688393	0.1265941	0.4527993	0.1177567	0.2225260	0.6241989	0.7526843	0.0169080	1.0000000
0.6591969	0.4134893	0.2278242	0.2291799	0.3093813	0.1425674	0.7632286	0.6941004	0.2811986	0.8076245
0.6188392	0.4647921	0.1879153	0.1899449	0.2368833	0.0546582	0.8452640	0.4384931	0.1648356	0.7642877
0.7935175	0.7537045	0.0896030	0.3649470	0.0065766	0.0940696	0.7710941	0.5885436	0.1930781	0.8502480
0.8111363	0.5236344	0.1596694	0.2143695	0.0376786	0.1418534	0.7502092	0.5566293	0.0095813	0.7059956
0.6284994	0.5715461	0.1042260	0.0314135	0.1295108	0.0551197	0.7233422	0.5386854	0.1755313	0.7673757
0.4440838	0.1161364	0.3256376	0.2819053	0.1068155	0.2140508	0.7257379	0.5402675	0.0312758	0.7259689
0.6859111	0.4489898	0.2418254	0.2249587	0.1561404	0.2274593	0.8499167	0.7901770	0.0220866	0.7947867
0.6927538	0.3759875	0.2462289	0.1328944	0.2797569	0.2066173	0.8987543	0.6256939	0.2033764	0.7630604
