"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0350788	0.0788550	0.0459863	0.6850984	0.5154163	0.9545412	1.0000000	0.9999999	0.0506649	0.0976294
50	0.0571482	0.0792009	0.0672666	0.3110155	0.5049819	0.8333762	0.1949909	0.9999999	0.0506684	0.0976937
100	0.0667204	0.0861753	0.1922104	0.2004073	0.3155500	0.3233936	0.0869857	0.9999996	0.0507042	0.0988355
150	0.0726834	0.1230850	0.4227309	0.1774922	0.1307729	0.1126871	0.0724951	0.9999901	0.0509937	0.1031623
200	0.0850125	0.2024396	0.5766608	0.2103249	0.0632163	0.0598730	0.0705509	0.9998736	0.0519455	0.1094621
250	0.1184470	0.2806370	0.5588785	0.2634666	0.0396583	0.0471449	0.0702901	0.9995048	0.0536167	0.1141768
300	0.1746661	0.3153431	0.4581351	0.3015388	0.0314463	0.0440977	0.0702551	0.9991796	0.0554612	0.1160896
350	0.2301061	0.3065139	0.3568895	0.3513591	0.0285838	0.0433702	0.0702504	0.9992024	0.0568067	0.1157876
400	0.2614286	0.2720630	0.2653259	0.4036408	0.0275859	0.0431969	0.0702498	0.9994485	0.0573386	0.1140950
450	0.2619460	0.2276877	0.1969570	0.4386668	0.0272381	0.0431557	0.0702497	0.9996983	0.0571131	0.1115797
500	0.2381329	0.1860399	0.1566305	0.4553305	0.0271168	0.0431460	0.0702497	0.9998570	0.0563623	0.1088187
550	0.1831127	0.1530181	0.0961796	0.8357623	0.0270746	0.2844260	0.8752588	0.9999372	0.0553699	0.1062413
600	0.1378865	0.1226166	0.0460248	0.9498582	0.0278991	0.7460476	0.9832639	0.9999753	0.0543281	0.1033207
650	0.1017975	0.0985622	0.0282657	0.9833136	0.0768123	0.8981921	0.9977546	0.9999911	0.0532668	0.1004557
700	0.0750101	0.0842886	0.0227777	0.9664756	0.2308494	0.9398768	0.9996987	0.9999969	0.0522766	0.0983961
750	0.0570359	0.0772336	0.0224545	0.8475812	0.3709547	0.9508116	0.9999596	0.9999989	0.0514859	0.0972063
800	0.0459874	0.0742753	0.0265489	0.7528868	0.4509839	0.9536089	0.9999946	0.9999996	0.0509416	0.0966536
850	0.0396453	0.0736027	0.0329434	0.7113760	0.4887585	0.9543112	0.9999993	0.9999999	0.0506168	0.0965353
900	0.0362521	0.0742195	0.0386553	0.6952696	0.5049089	0.9544851	0.9999999	0.9999999	0.0504596	0.0966827
950	0.0346329	0.0753939	0.0423616	0.6891127	0.5114105	0.9545276	1.0000000	1.0000000	0.0504173	0.0969373
1000	0.0340389	0.0765812	0.0443357	0.6867188	0.5139252	0.9545379	1.0000000	1.0000000	0.0504418	0.0971829

0	0.0350788	0.0788550	0.0459863	0.6850984	0.5154163	0.9545412	1.0000000	0.9999999	0.0506649	0.0976294
50	0.0351015	0.0793292	0.0773860	0.2074780	0.5154169	0.9545412	1.0000000	0.4708231	0.0506769	0.0982219
100	0.0354044	0.0922362	0.3369201	0.0650382	0.5154171	0.9545412	1.0000000	0.2897299	0.0509064	0.1050057
