YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1962392	0.3035673	0.0121888	0.0419343	0.5819801	0.3697545	0.5666009	0.3409622	0.6524504	0.7045822
0.5741520	0.2416666	0.1378584	0.0583601	0.5850984	0.1871205	0.1940388	0.3308163	0.7971036	0.7666603
0.0727521	0.3922751	0.0035916	0.0079668	0.5620871	0.2720223	0.1754251	0.3898375	0.5916022	0.5181916
0.0185810	0.1949401	0.0219212	0.0044771	0.6005142	0.5441515	0.6092132	0.5581069	0.7752651	0.7637333
0.0371193	0.2152629	0.0434830	0.0002310	0.7556526	0.3955053	0.4963403	0.4098328	0.6815774	0.6416530
0.1575567	0.3200134	0.2329804	0.0580986	0.5581931	0.2511698	0.1804409	0.3243942	0.6026661	0.7156590
0.0760449	0.0019487	0.0247511	0.0566419	0.6824142	0.5700197	0.6236243	0.4303095	0.6445686	0.6290047
0.0714818	0.3269542	0.0183502	0.0371414	0.6220246	0.4576024	0.5882931	0.4179240	0.7291688	0.6603689
0.1098402	0.2942722	0.2190201	0.0002345	0.5938075	0.2201054	0.2904479	0.3604538	0.7155351	0.5827669
0.2038119	0.6161174	0.1908899	0.0487011	0.6335293	0.6261198	0.5974257	0.3798552	0.6164192	0.4115321
