YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.5471681	0.5884028	0.1793226	0.5749041	0.2544014	0.6323280	0.7477569	0.9320965	0.3477836	0.3684220
0.5761791	0.3922948	0.0451734	0.9705232	0.1247484	0.5485353	0.7592426	0.9999995	0.5464242	0.4752579
0.2708541	0.5135327	0.0442571	0.7391625	0.4224079	0.7273968	0.5750068	0.2103253	0.0011815	0.1554769
0.0561205	0.3363200	0.0438518	0.9947091	0.2593449	0.5522636	0.8596001	0.9320938	0.3220689	0.1519928
0.5781441	0.3678294	0.0345045	0.7462608	0.1695644	0.4687913	0.8519752	0.6049789	0.0001708	0.0711798
0.0834823	0.3711191	0.0957810	0.6946687	0.3162095	0.5285783	0.7580402	0.9999872	0.2899704	0.2374781
0.2153196	0.3476448	0.0082597	0.9838331	0.1244743	0.9182689	0.1555149	0.0000000	0.0000088	0.3632845
0.1716010	0.4485412	0.0179387	0.8730175	0.0051550	0.9950689	0.1042768	0.0397536	0.0186084	0.0000248
0.1245857	0.4112780	0.0089603	0.9814724	0.1397780	0.6930202	0.2919221	0.1244458	0.0000000	0.0000000
0.0546913	0.3341448	0.0435909	1.0000000	0.2826488	0.7533767	0.5866561	0.4082142	0.0000000	0.0000000
