YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.2688889	0.9137746	0.5615568	0.8109324	0.3842923	0.1907669	0.0167949	0.9598215	0.5229289
1.0000000	0.0000000	0.7744130	0.4492387	0.5949751	0.9847551	0.8197809	0.0755935	0.3633395	0.6046373
0.1111549	0.3573363	0.0000000	0.4482493	0.5933408	0.9910108	0.9657619	0.3202730	0.2078434	0.6053539
0.1111544	0.3573374	0.0473959	0.0000000	0.5933409	0.9910099	0.9657359	0.3201131	0.2078836	0.6053540
0.1044554	0.9999986	0.0474082	0.0391726	0.0000000	0.9917343	0.9914841	0.6711468	0.1345610	1.0000000
0.1399505	0.2192561	0.9523767	0.6358947	1.0000000	0.0000000	0.4829192	0.0261975	0.5969830	0.4672428
0.1373986	0.2242336	0.9494190	0.6280361	0.9774814	0.0592793	0.0000000	0.0258220	0.6026245	0.4732417
0.1122665	0.3419481	0.8055532	0.4663515	0.6240344	0.8790312	0.4179496	0.0000001	0.6502675	0.5922405
0.1111550	0.3574418	0.7722564	0.4481082	0.5930981	0.9919640	0.9999956	1.0000000	0.0000006	0.6054567
0.1131470	0.3312508	0.8260512	0.4793976	0.6469917	0.8031994	0.3496057	0.0208027	0.7154543	0.0000000
