YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.3625052	1.0812236	0.6470974	0.7092978	0.6737886	0.4377805	0.8821259	0.1120040	0.9696536
0.0925716	0.0000000	0.7196435	0.6603892	0.8003646	0.6599911	0.5205306	0.4080265	0.3219892	1.0020752
0.8652503	1.0253402	0.0000000	0.5820250	0.6709945	0.7858220	0.2648698	1.0245843	0.0502029	1.0111424
0.0826895	0.3958017	1.0379622	0.0000000	0.7768210	0.8359213	0.3723352	0.8988607	0.0952177	0.9895394
0.0838213	0.3566828	0.9668806	0.0964913	0.0000000	0.7169906	0.3410039	0.8838155	0.0781130	0.9990133
0.0464327	0.3398355	1.0866300	1.0272247	0.9536905	0.0000000	0.3358894	0.9601072	0.0959360	0.9889355
0.0669937	0.3678064	0.9428044	0.3386787	0.4154134	1.0668904	0.0000000	0.9432225	0.0737033	1.0001658
0.8392055	0.9100433	0.2199213	0.6941778	1.0066599	0.5291739	0.8948540	0.0000000	1.0854764	0.9431008
0.1080638	0.4356885	0.9472693	0.5614389	0.7082556	0.8269798	0.3927627	0.9376609	0.0000000	1.0219709
0.3169722	0.5846082	0.5645449	0.1440098	0.8723607	0.7608260	0.4693795	0.6002763	1.0425531	0.0000000
