"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
850	0.4796524	0.5714043	0.3726273	0.7226867	0.7062981	0.7559866	0.5940521	0.6742799	0.6707690	0.7481807
900	0.3576905	0.4737530	0.5393834	0.6912830	0.8740844	0.7109215	0.6760340	0.8308122	0.8653270	0.7042682
950	0.4063382	0.4225046	0.4020017	0.8237932	0.8397104	0.6809061	0.7602640	0.7901994	0.6830973	0.7343457
1000	0.3893407	0.4562004	0.3788171	0.8518502	0.7328243	0.6492710	0.6626603	0.7208294	0.6060620	0.6218177

0	0.4538790	0.4631537	0.4484274	0.9175101	0.6496865	0.7592734	0.6038832	0.8678784	0.8065277	0.7751443
50	0.5103614	0.4273382	0.4785090	0.9472835	0.6450426	0.7465331	0.5802298	0.6858907	0.7863157	0.7588208
100	0.4383867	0.5050473	0.4085545	0.7379888	0.7570262	0.7304379	0.5575624	0.5889559	0.8367808	0.8672572
150	0.5540517	0.4836337	0.3953762	0.7289893	0.7757190	0.6817404	0.7623677	0.6574439	0.7651921	0.8437392
200	0.5157243	0.4413253	0.4781562	0.6668917	0.7449251	0.7237807	0.7206720	0.6413636	0.7372655	0.8642665
250	0.4740155	0.4852071	0.3900131	0.7608439	0.8570731	0.7061929	0.7473622	0.5008455	0.7333918	0.7371846
300	0.3240206	0.4020582	0.4799544	0.6738047	0.5886533	0.8658361	0.6831552	0.5413767	0.8288181	0.7517017
350	0.2325568	0.4669051	0.4243988	0.6927471	0.7350633	0.7682857	0.6817177	0.5330448	0.7335806	0.7427592
400	0.2906113	0.4821569	0.3394450	0.8092190	0.6739477	0.6583338	0.7842638	0.5973725	0.6192031	0.7308828
450	0.3246389	0.5048347	0.3906874	0.7479379	0.7478596	0.8095620	0.7725259	0.5411351	0.7928893	0.7860877
500	0.4338212	0.3447692	0.4259969	0.7441624	0.7539528	0.8007069	0.6162330	0.5931434	0.7390493	0.8119926
550	0.4065290	0.4406159	0.3546702	0.6930806	0.6979965	0.6779944	0.7391518	0.5385077	0.7454501	0.6956643
600	0.3738288	0.4296418	0.3661781	0.7021462	0.6733405	0.7258479	0.7867943	0.6019362	0.7792592	0.7943169
650	0.5182987	0.3762967	0.3522178	0.7197132	0.6829430	0.7379607	0.8540013	0.7326649	0.8220865	0.6718506
700	0.5064242	0.4228914	0.4619434	0.7669797	0.7147996	0.7947475	0.7100817	0.7028765	0.8037198	0.6638534
750	0.4674694	0.4706662	0.4462095	0.6074922	0.7436637	0.7820561	0.8514280	0.6803717	0.7290580	0.9574683
800	0.4713009	0.5121474	0.4255269	0.7805175	0.6608137	0.7445543	0.8439695	0.5755974	0.6600000	0.6889401
850	0.4378616	0.5142215	0.3432471	0.7091843	0.8543727	0.8216407	0.7505745	0.7691700	0.7995290	0.8405227
900	0.3984503	0.4551284	0.5625066	0.7336421	0.6429180	0.6439450	0.6223578	0.7994467	0.7422793	0.7747056
950	0.3601734	0.4139967	0.4032618	0.5434631	0.7796382	0.6451670	0.7246072	0.6886150	0.7795356	0.6272713
1000	0.6563110	0.4695281	0.3480839	0.7641705	0.8654382	0.7920109	0.7274916	0.7198246	0.7691841	0.8607974

0	0.4564563	0.4711647	0.3817759	0.7179687	0.7151495	0.8591889	0.7770311	0.6923922	0.7525177	0.6351322
50	0.3949985	0.5741237	0.4992196	0.6681158	0.5735065	0.6504952	0.7568562	0.3666695	0.6727633	0.7716214
100	0.4297878	0.5578986	0.4100449	0.6076692	0.6631821	0.9009910	0.7281269	0.2282448	0.6273600	0.6126973
150	0.4264834	0.4428287	0.3700885	0.5403212	0.5419419	0.7373899	0.6722718	0.1748216	0.7622743	0.6831249
200	0.3805046	0.4454709	0.3650249	0.6568688	0.4700964	0.8010164	0.7468012	0.1048119	0.7629335	0.7420821
250	0.5888233	0.3619192	0.4099640	0.5876896	0.6880707	0.6923009	0.7665701	0.1659288	0.6528415	0.6198564
300	0.6230322	0.3179229	0.3867262	0.7267110	0.5807164	0.7778595	0.6726042	0.2024596	0.5868631	0.7451635
350	0.5828506	0.3182619	0.3276291	0.6328276	0.5696631	0.7394412	0.7305290	0.1390131	0.6029764	0.6467836
400	0.6140029	0.3635162	0.3254342	0.6719492	0.5241759	0.6500533	0.6504784	0.1637197	0.6423469	0.6080989
450	0.5411967	0.3250000	0.3115978	0.6038505	0.4853591	0.7535940	0.8610702	0.1456584	0.6271720	0.6854355
500	0.5231546	0.4554014	0.4619231	0.8739756	0.5398372	0.6831779	0.8614425	0.1761701	0.6423216	0.8398924
550	0.4636703	0.5474476	0.3454344	0.5666047	0.6656970	0.8633453	0.7299272	0.5033554	0.7044610	0.7381832
600	0.4167927	0.5418301	0.4929976	0.7313035	0.7648820	0.7533641	0.7891935	0.6215401	0.6664382	0.7053881
650	0.4423538	0.4407059	0.5147196	0.7550663	0.7004793	0.6747449	0.6162162	0.7907075	0.7298976	0.8321940
700	0.4933244	0.4940715	0.3856843	0.6401218	0.7517898	0.7819570	0.7586987	0.7833495	0.6421929	0.6253785
750	0.4245474	0.5214965	0.5068745	0.8323496	0.7345690	0.8197818	0.9282113	0.7107054	0.7104409	0.7208166
800	0.4694106	0.4658970	0.3596348	0.7133230	0.6870964	0.7901574	0.7275105	0.8411454	0.6128843	0.7258095
850	0.4530354	0.5032354	0.4388334	0.7025651	0.7822254	0.7398769	0.7097536	0.8483296	0.6553282	0.7697507
900	0.5380511	0.4391721	0.5135327	0.9079633	0.8577197	0.6900605	0.7602473	0.7370601	0.8304201	0.7202859
950	0.4754921	0.4749854	0.3838195	0.8198585	0.7075975	0.6422520	0.7160821	0.7341004	0.6469846	0.7243037
1000	0.3793998	0.5845608	0.4082066	0.6836597	0.7794195	0.6504722	0.7079653	0.8175278	0.7801188	0.7495415

0	0.4184164	0.4591877	0.3821566	0.7639326	0.7578692	0.6217191	0.6726122	0.6320145	0.6844131	0.5898214
50	0.3889162	0.4354176	0.3851649	0.6387789	0.4764319	0.7166292	0.6812705	0.3848346	0.7065004	0.7945185
100	0.3431631	0.4924186	0.3546794	0.7438598	0.6595832	0.6530943	0.7012867	0.1531277	0.5759483	0.8174192
150	0.3377373	0.4475237	0.3929387	0.8113532	0.6163889	0.6856634	0.6933045	0.1168188	0.5941689	0.7512163
200	0.2502015	0.4617369	0.3604321	0.7920973	0.5180476	0.5917097	0.6764389	0.1021967	0.5996707	0.6372278
250	0.3713282	0.4040779	0.4311657	0.6479260	0.6514859	0.5746847	0.8389371	0.0777307	0.5709603	0.5975712
300	0.3567799	0.5537361	0.4546781	0.7509479	0.6701570	0.8643955	0.6611033	0.1269679	0.4977803	0.6872037
350	0.3173514	0.4681139	0.4405474	0.7057181	0.6347007	0.7018006	0.7885347	0.1154297	0.6091100	0.8665610
400	0.3553187	0.4962403	0.4206767	0.7068882	0.6592898	0.6919443	0.8672183	0.1261168	0.5451162	0.7305642
450	0.4348481	0.5497511	0.4776228	0.7120415	0.7140826	0.7937359	0.7068474	0.1095813	0.6500233	0.7936021
500	0.2982721	0.4877250	0.4376615	0.7647728	0.6291998	0.8397268	0.6052608	0.1243814	0.5760693	0.5788472
550	0.2779185	0.5464103	0.4617095	0.6844723	0.6261163	0.6686781	0.7502598	0.4003862	0.7917351	0.6479079
600	0.3697452	0.3786181	0.3538020	0.7774402	0.6821487	0.6813882	0.7180603	0.7589147	0.6157780	0.6683202
650	0.3913031	0.6028454	0.3350051	0.6123472	0.7783586	0.6650884	0.8503009	0.7165849	0.7683646	0.7045020
700	0.4446415	0.4141891	0.3833453	0.6524225	0.8157084	0.7573532	0.8340880	0.7508067	0.6993619	0.9000139
750	0.3266414	0.6369908	0.3815982	0.6923450	0.7537654	0.9438214	0.7455333	0.6765958	0.8147736	0.7648155
800	0.3243344	0.4719160	0.5193381	0.7770326	0.7769998	0.7546961	0.7245663	0.6642649	0.8317570	0.7891323
850	0.4256515	0.5466239	0.4922400	0.7723644	0.7489612	0.6990090	0.7530271	0.6959537	0.7680012	0.7436397
900	0.4014007	0.5761938	0.3803961	0.7943036	0.7149874	0.6373443	0.7061349	0.6519478	0.7069495	0.6930546
950	0.3770509	0.4639911	0.3959012	0.8557013	0.6975965	0.7424175	0.8207289	0.6699892	0.7507485	0.7544256
1000	0.4426019	0.4186238	0.4033276	0.7059456	0.7687927	0.7424055	0.7372258	0.7631073	0.7303735	0.8082553

0	0.4421129	0.4477250	0.3486656	0.8412473	0.7344756	0.8024788	0.6857528	0.7348747	0.7175162	0.7027240
50	0.2505201	0.4826312	0.5077709	0.7111975	0.7677617	0.8189227	0.6470262	0.7152422	0.5329712	0.8481749
100	0.4162611	0.4537426	0.4113115	0.7978069	0.7385566	0.7841210	0.4384949	0.6474853	0.3090111	0.8747994
150	0.4103343	0.4651333	0.4005883	0.8318435	0.7050359	0.8227731	0.5106909	0.7841725	0.2520785	0.7693158
200	0.3510703	0.3936217	0.3422631	0.6384976	0.6964154	0.8166041	0.5028691	0.6774895	0.1612220	0.6770221
250	0.3931408	0.3497926	0.3818499	0.7254999	0.7443151	0.6843990	0.5930412	0.6086436	0.1660077	0.7145165
300	0.4782283	0.4388975	0.4093070	0.7441519	0.6785444	0.6422113	0.3828802	0.6875000	0.1843854	0.6781811
350	0.5498714	0.5082089	0.4726656	0.5834335	0.7490714	0.5328105	0.5227103	0.7248564	0.1495688	0.7010165
400	0.4289712	0.4005342	0.4400119	0.6725212	0.7334905	0.7671991	0.4479474	0.6595865	0.1591180	0.6606576
450	0.4575214	0.3677758	0.4562869	0.6639878	0.7803797	0.7015305	0.4902984	0.6699223	0.2097450	0.7790032
500	0.4217381	0.4035623	0.3552116	0.7059538	0.8154689	0.6301226	0.4763246	0.6692310	0.1470544	0.7344203
550	0.4587822	0.3698640	0.3452335	0.6916165	0.5900217	0.7594329	0.5722810	0.7584929	0.6683996	0.7725952
600	0.4139055	0.3049178	0.5270742	0.6670997	0.8136163	0.7647325	0.6802261	0.8445494	0.7264243	0.5742267
650	0.5895260	0.5360599	0.4848960	0.6566747	0.6728723	0.6993683	0.7003117	0.7614335	0.6788454	0.7059147
700	0.4371225	0.4812927	0.4609660	0.6505705	0.6835448	0.7348414	0.7005542	0.7837829	0.7933867	0.7780146
750	0.4182150	0.4355960	0.3710816	0.6814630	0.7277721	0.8616924	0.6692959	0.7538203	0.6520668	0.6157191
800	0.4329282	0.4958937	0.3235796	0.6872941	0.7720389	0.7501472	0.7817000	0.6901081	0.8138754	0.6816025
850	0.4543545	0.5315940	0.3741496	0.6713136	0.6577749	0.7310241	0.8222729	0.5744069	0.6759432	0.7586067
900	0.4310615	0.3481071	0.3992037	0.6933561	0.6696094	0.7437833	0.7582721	0.7689091	0.6944492	0.7257387
950	0.4212260	0.4768659	0.3595865	0.6559356	0.7829588	0.6958947	0.7658476	0.8106533	0.7845229	0.6419857
1000	0.4293628	0.4490989	0.3304301	0.7332413	0.6968916	0.6386198	0.7352543	0.6901389	0.7195205	0.7331843

0	0.3832357	0.4058963	0.3257681	0.7345928	0.8097913	0.6886507	0.7190579	0.7224870	0.7347546	0.6828935
50	0.4205706	0.5061842	0.5535149	0.6578157	0.5685389	0.8068074	0.6245845	0.6976591	0.9699882	0.8085926
100	0.3078016	0.5310460	0.4023591	0.7035139	0.6064289	0.7664777	0.6207194	0.6928924	0.7798224	0.8055433
150	0.2580405	0.5418455	0.4801460	0.6277561	0.4700797	0.6978674	0.8047780	0.6932469	0.7659113	0.8519083
200	0.3739731	0.5103873	0.5678615	0.7158982	0.5662829	0.7137566	0.7354664	0.7703693	0.7576710	0.7703441
250	0.2326662	0.6900397	0.4260252	0.6143614	0.5984313	0.8374771	0.7370418	0.9281526	0.7599727	0.7936067
300	0.2337891	0.5426870	0.4959465	0.7818150	0.4987450	0.7682747	0.6427722	0.7720910	0.7809602	0.8352670
350	0.3566404	0.7041330	0.5488224	0.6876334	0.5325896	0.8339282	0.8743809	0.7340996	0.7957267	0.7592171
400	0.3299397	0.6311365	0.4929678	0.6945732	0.5097141	0.6758750	0.6695040	0.6343784	0.6861868	0.8537888
450	0.3040544	0.5948385	0.6494175	0.6651913	0.5904422	0.6398814	0.6458340	0.6124731	0.7307177	0.7760532
500	0.2797017	0.6061358	0.5343815	0.8302404	0.5676993	0.7347665	0.6798229	0.6338477	0.7915643	0.6918932
550	0.2469919	0.6173013	0.4021462	0.7764534	0.7268786	0.6841626	0.8512543	0.7824641	0.9266114	0.6682434
600	0.2604697	0.4177352	0.4004189	0.7842649	0.8015944	0.5601178	0.7861296	0.7393330	0.6808928	0.8395043
650	0.3776461	0.5179681	0.4884953	0.8331978	0.7855989	0.5690869	0.7859795	0.6271408	0.7347108	0.7623588
700	0.4721186	0.5764876	0.4230509	0.6675963	0.6901053	0.7566685	0.6911424	0.6092901	0.6098682	0.7487934
750	0.3341066	0.5615162	0.5010696	0.8228345	0.7805927	0.7472520	0.8414828	0.7125570	0.7263407	0.7889751
800	0.3687501	0.5130764	0.4829496	0.7249864	0.7457577	0.7410222	0.7957124	0.7086747	0.6738225	0.6342802
850	0.3787060	0.4771149	0.3660600	0.7881889	0.7991294	0.8075126	0.8639334	0.7001400	0.8676324	0.7728073
900	0.4109280	0.4065281	0.4176198	0.6830160	0.6065902	0.7875072	0.6402055	0.7395351	0.8103284	0.8274858
950	0.4063244	0.4675137	0.4190334	0.7610896	0.6387662	0.6977257	0.7415917	0.6801107	0.6350707	0.8153904
1000	0.4711270	0.3998215	0.3740187	0.7511896	0.6795151	0.7744197	0.7421155	0.7189008	0.7848375	0.7044501

0	0.4796877	0.4250071	0.3870086	0.7389877	0.7422931	0.6884147	0.6772413	0.7275211	0.8134979	0.6731393
50	0.4416827	0.4471071	0.3806221	0.4419185	0.7587670	0.6759033	0.4660176	0.6020946	0.7558205	0.7540227
100	0.3695853	0.3785652	0.3070832	0.2650223	0.5941500	0.7008031	0.3729430	0.6523051	0.8724267	0.7513191
150	0.4063473	0.3359574	0.2546634	0.2492752	0.8531526	0.7273429	0.4680629	0.8215752	0.7936793	0.7120268
200	0.3481075	0.2701216	0.1873951	0.2595743	0.7304617	0.7658384	0.3457836	0.9781251	0.7157663	0.6267866
250	0.3803724	0.2512483	0.2712697	0.2874399	0.7089174	0.6732700	0.3687959	0.6466403	0.7072952	0.7746098
300	0.4776043	0.1608787	0.1521278	0.2724241	0.7906204	0.6960854	0.4033632	0.7385425	0.6252065	0.7439129
350	0.5268628	0.1284320	0.2685671	0.3132002	0.7339519	0.6486343	0.4250284	0.6842710	0.7414099	0.7669463
400	0.5393005	0.1792641	0.2557114	0.2448353	0.6264028	0.8335704	0.3403946	0.6682080	0.7131841	0.8309921
450	0.6895785	0.0766471	0.2396376	0.2530194	0.6074892	0.7636438	0.3383295	0.8003772	0.6922847	0.8239940
500	0.5011575	0.1211689	0.1645447	0.3151960	0.7633017	0.7408086	0.4366075	0.8378762	0.8751080	0.7298597
550	0.8120968	0.1615238	0.2596601	0.6225762	0.8321203	0.7898625	0.6075568	0.7555618	0.8500053	0.7594406
