"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.9581150	0.4320874	0.3340350	0.7544050	0.4375231	0.6323121	0.7869097	0.0154175	0.3474361	0.5378092
50	0.9621292	0.4309722	0.3508798	0.6361867	0.3684292	0.4371452	0.3556598	0.1478139	0.3472999	0.5830759
100	0.9623622	0.4237503	0.4010985	0.5979564	0.4086039	0.4292302	0.2464244	0.1955985	0.3462801	0.6549354
150	0.9603466	0.4089586	0.4501753	0.6009920	0.4455996	0.4621034	0.2174283	0.2127475	0.3424079	0.6733683
200	0.9562922	0.3931891	0.4746087	0.6201224	0.4514394	0.4872958	0.2070624	0.2186442	0.3352944	0.6607191
250	0.9515917	0.3829839	0.4756088	0.6352520	0.4396086	0.5012422	0.2008829	0.2203100	0.3272909	0.6446072
300	0.9481463	0.3797259	0.4666631	0.6409425	0.4243040	0.5083188	0.1964291	0.2204413	0.3212435	0.6333853
350	0.9468064	0.3809393	0.4584317	0.6400866	0.4119050	0.5118844	0.1936728	0.2201538	0.3183390	0.6268687
400	0.9470247	0.3834107	0.4547490	0.6361811	0.4035447	0.5137088	0.1924953	0.2198867	0.3179529	0.6233392
450	0.9477704	0.3851251	0.4553378	0.6313998	0.3984024	0.5146326	0.1924580	0.2197565	0.3187220	0.6214795
500	0.9483333	0.3855115	0.4586048	0.6270218	0.3953891	0.5150609	0.1930599	0.2197384	0.3195298	0.6205242
550	0.9428367	0.3860852	0.4414059	0.7438985	0.4614921	0.7954861	0.6250156	0.0868699	0.3199224	0.5539435
600	0.9424811	0.3922325	0.3913774	0.7727693	0.3666481	0.8151617	0.7368755	0.0389302	0.3208330	0.4744689
650	0.9451143	0.4050379	0.3547301	0.7493623	0.3020356	0.7568685	0.7662391	0.0217131	0.3242901	0.4577979
700	0.9495140	0.4179634	0.3459888	0.7215512	0.2920603	0.7034683	0.7821183	0.0157620	0.3304841	0.4721733
750	0.9533796	0.4246040	0.3545319	0.7044503	0.3150694	0.6681935	0.7974850	0.0140622	0.3369065	0.4937764
800	0.9553228	0.4243732	0.3677500	0.6972044	0.3492503	0.6457786	0.8106574	0.0139311	0.3409294	0.5126631
850	0.9554100	0.4204907	0.3780147	0.7000371	0.3821412	0.6310159	0.8193444	0.0142094	0.3418627	0.5267372
900	0.9544457	0.4163928	0.3812969	0.7120541	0.4092320	0.6213090	0.8222686	0.0144015	0.3406912	0.5366687
950	0.9533362	0.4142717	0.3765275	0.7294140	0.4298703	0.6156971	0.8192777	0.0143907	0.3389213	0.5433586
1000	0.9527593	0.4149636	0.3655264	0.7473084	0.4444779	0.6137947	0.8115706	0.0142546	0.3377780	0.5473257

0	0.9581150	0.4320874	0.3340350	0.7544050	0.4375231	0.6323121	0.7869097	0.0154175	0.3474361	0.5378092
50	0.9580765	0.4319858	0.3364487	0.7104215	0.4322687	0.3673733	0.4552238	0.4133102	0.4865696	0.5980493
100	0.9579789	0.4303663	0.3593613	0.6619709	0.5531600	0.3090753	0.3248214	0.5639895	0.5322358	0.7140131
150	0.9572399	0.4237902	0.3845290	0.7254793	0.6540726	0.3152708	0.2588582	0.6244812	0.5464963	0.7750084
200	0.9553958	0.4168629	0.3676530	0.8185637	0.7035705	0.3319240	0.2151568	0.6491870	0.5493928	0.7866433
250	0.9539258	0.4190391	0.3219576	0.8760384	0.7204987	0.3452752	0.1811287	0.6589575	0.5491395	0.7795374
300	0.9549637	0.4316867	0.2794849	0.9022419	0.7221537	0.3540950	0.1565250	0.6626515	0.5503227	0.7695008
350	0.9584062	0.4486811	0.2514110	0.9117306	0.7185560	0.3595183	0.1410202	0.6642774	0.5542479	0.7614392
400	0.9624564	0.4637326	0.2358637	0.9134911	0.7143068	0.3627052	0.1323821	0.6655393	0.5597242	0.7559833
450	0.9657479	0.4741402	0.2284106	0.9121499	0.7109315	0.3645109	0.1280986	0.6669222	0.5650097	0.7525899
500	0.9679182	0.4801252	0.2255126	0.9099816	0.7086043	0.3655005	0.1262617	0.6683502	0.5690721	0.7505890
