"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.9366741	0.5608863	0.2716483	1.0757696	0.9382246	0.5770357	1.0542920	1.0502123	0.9404575	1.0135783
50	0.9154326	0.4643294	0.2029600	0.9253375	0.9839561	0.5978388	0.8285562	1.0134678	1.0086887	1.0210894
100	0.8819536	0.4445033	0.2401379	0.9526967	0.9583721	0.4676124	0.6273242	1.0018739	1.0061581	1.0033484
150	0.9731619	0.4245260	0.2140734	1.0458977	0.8921520	0.4590353	0.5442420	1.0847641	1.0658797	0.9473134
200	0.8785316	0.4733510	0.2425155	0.9303901	1.0177010	0.3995914	0.4684411	1.1204660	1.0468874	0.9126446
250	0.8889989	0.4888508	0.2627084	0.9667166	0.9751491	0.3536317	0.4532354	1.1819020	1.0121932	0.9215133
300	0.9277918	0.5899993	0.2911115	0.8825136	0.8823795	0.3209307	0.4422849	1.1443248	0.9983294	0.9622200
350	0.9337799	0.5885287	0.2734949	0.9626493	0.9798448	0.3516775	0.4018571	1.1279910	1.0057004	0.9761986
400	0.9547698	0.5870715	0.2727239	0.9585251	0.9701898	0.3122938	0.4253857	1.0689584	1.0759301	1.0402788
450	0.8596831	0.5279962	0.2981896	0.9634016	1.0819575	0.3101125	0.5451296	1.0281698	1.0756813	0.9560956
500	0.9060215	0.5642346	0.2426509	0.9481694	1.0509941	0.3155589	0.4320446	1.1020876	0.9744909	0.9820427
550	0.8399998	0.5804592	0.2641750	0.9375160	0.9972288	0.3157061	0.7335514	0.9866212	0.9848970	0.9585288
600	0.8229447	0.5716824	0.2917329	0.9258539	0.9610921	0.4600868	0.9433159	0.9500017	0.9768105	0.9498985
650	0.8743639	0.5498339	0.2906323	0.9752249	0.9154285	0.5930542	0.9583221	0.9231040	1.0662460	1.0649108
700	0.8516368	0.6022531	0.3087194	0.9708032	1.0864211	0.5509363	0.9742200	0.9412920	0.9456234	1.0826615
750	0.8024734	0.6191577	0.3058787	1.0547447	1.0456047	0.5304180	1.0643970	0.9822617	0.9821852	0.9677549
800	0.9333084	0.5748089	0.2756298	1.0507771	1.0321193	0.5432097	0.9077020	1.0448551	0.9952726	0.9920600
850	0.9128311	0.5838297	0.2401985	1.0321715	1.0065748	0.5040290	1.0526621	0.9767241	1.0432040	0.9272244
900	0.8920271	0.5802895	0.2696825	1.0909361	1.0075709	0.5394920	1.0535620	0.9972427	0.9855640	0.9660088
950	0.8020297	0.5296161	0.2728302	1.1341611	1.0123671	0.5743786	1.0417052	0.8777419	0.9627732	0.9509167
1000	0.8439497	0.4844302	0.2389237	1.0816273	0.9114049	0.6051040	0.9641891	0.9692408	0.9866478	1.0615546

0	0.9366741	0.5608863	0.2716483	1.0757696	0.9382246	0.5770357	1.0542920	1.0502123	0.9404575	1.0135783
50	0.9281116	0.5425482	0.1868623	1.0384590	1.0013439	0.5803946	1.0667777	0.9605120	1.0949234	1.0374484
