YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0469181	0.0375762	0.6498063	0.8010131	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.0850871	0.0187889	0.6498043	0.8010133	0.9907599	0.0671154	0.0663718	0.2897699	0.5232177	0.0117585
0.0938026	0.0375762	0.3250186	0.8010134	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.1013501	0.0515615	0.9501469	0.4005883	0.9907605	0.0671134	0.0663694	0.2897735	0.5232222	0.0117584
0.0999223	0.0490236	0.9386244	0.4275465	0.4953802	0.0671138	0.0663699	0.2897728	0.5232213	0.0117584
0.0937919	0.0375514	0.6474113	0.8039326	0.9987262	0.0335682	0.0663712	0.2897708	0.5232187	0.0117584
0.0937562	0.0374798	0.6480733	0.8032864	0.9972425	0.0438540	0.0331823	0.2897806	0.5232310	0.0116025
0.3450927	0.3885192	0.9998633	0.0723183	0.1866738	0.6070003	0.4398059	0.1540265	0.5363241	0.1192581
0.4010751	0.4905839	0.9999990	0.0113662	0.0788917	0.9012145	0.9849462	0.0563004	0.1793024	0.7369672
0.0924444	0.0348172	0.6498016	0.8010207	0.9908053	0.0669572	0.0661671	0.2900793	0.5236053	0.0058878
