"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.3016042	0.1298713	0.6475157	0.2968425	0.4560673	0.8596087	0.6068540	0.6094798	0.0604491	0.9486065
50	0.5311479	0.2276025	0.2967824	0.0869290	0.4730604	0.4316198	0.3046896	0.6616595	0.0436475	0.6978211
100	0.4331433	0.3425434	0.3305304	0.0671090	0.3697303	0.2221923	0.3061712	0.7383302	0.0523652	0.7356341
150	0.5426100	0.2167111	0.2309161	0.0709596	0.3027684	0.1990007	0.2747436	0.7099469	0.0547859	0.6165367
200	0.4860526	0.1816636	0.1466939	0.0861822	0.1710516	0.1240521	0.2393495	0.7164727	0.0209737	0.6466445
250	0.5021852	0.0745622	0.1200209	0.1431790	0.1046514	0.0805304	0.2385946	0.7528770	0.0272166	0.6148775
300	0.3834744	0.0619533	0.1634006	0.1363035	0.1089206	0.0783520	0.2813866	0.7785682	0.0402164	0.7887704
350	0.3700814	0.0411029	0.1105705	0.2428177	0.0645360	0.1854467	0.3513634	0.7872370	0.0353308	0.7404696
400	0.4021430	0.0483026	0.1785917	0.2590325	0.0550741	0.2092077	0.3287526	0.7703461	0.0573290	0.6466523
450	0.3662694	0.0283324	0.1180061	0.2623270	0.1161624	0.2220558	0.5131511	0.8373003	0.0515917	0.8237340
500	0.2938514	0.0350635	0.1306393	0.2480167	0.1513574	0.3885879	0.4536665	0.7408020	0.0858832	0.7006946
550	0.1731420	0.0313257	0.4683694	0.5580753	0.1690033	0.5529214	0.5206586	0.8915180	0.0542059	0.7299442
600	0.0982516	0.0305164	0.5932700	0.5388533	0.3285270	0.7322862	0.6586415	0.7678735	0.0734687	0.7869545
650	0.1082271	0.0602439	0.4926462	0.4601912	0.3389237	0.5630796	0.4895908	0.6718270	0.0558525	0.8929291
700	0.1665018	0.0483697	0.5397903	0.5139692	0.3268133	0.6479731	0.8013303	0.7093628	0.0559312	0.6809124
750	0.3293102	0.0833324	0.4799664	0.4176017	0.3574469	0.6034625	0.7700448	0.6579779	0.0852770	0.6719181
800	0.2811168	0.1390919	0.6005444	0.2263349	0.3878030	0.6114102	0.6055049	0.6742387	0.0757272	0.6274872
850	0.3903252	0.2285597	0.6220879	0.1652174	0.3978065	0.7358909	0.5051903	0.6476867	0.0696635	0.5791452
900	0.3708125	0.1219983	0.6524754	0.2879492	0.2573462	0.6805325	0.5240367	0.7833654	0.0682521	0.8021272
950	0.5680413	0.1552692	0.6356836	0.1837672	0.3741647	0.6056965	0.4287948	0.7254524	0.0387792	0.7365950
1000	0.4158794	0.2210202	0.6927073	0.1649466	0.3720987	0.5748152	0.4477905	0.7470295	0.1258363	0.7450023

0	0.3352066	0.1299362	0.6796789	0.2040305	0.3457881	0.6270311	0.4665842	0.6397698	0.0505062	0.8343879
50	0.6571409	0.1330945	0.6720730	0.3059598	0.3709762	0.4552477	0.5055540	0.7799526	0.0544337	0.8133951
100	0.7996479	0.1966292	0.6258661	0.1927037	0.3066195	0.4759048	0.4299861	0.7154440	0.0414869	0.7382558
150	0.7573024	0.1349413	0.6841817	0.1853442	0.3462087	0.4641333	0.3659209	0.8458811	0.0747094	0.8643523
200	0.6643494	0.0843457	0.6131245	0.1836605	0.3104799	0.3967916	0.4040440	0.6395698	0.0677678	0.6598904
250	0.7227286	0.1420986	0.7039257	0.3038909	0.3760702	0.3882040	0.3529716	0.6062775	0.0753559	0.6497868
300	0.6934065	0.0857639	0.7312177	0.3177989	0.2935237	0.4761319	0.4486248	0.6955429	0.0482791	0.8147785
350	0.7041510	0.0754101	0.5876796	0.3901808	0.3691735	0.5054596	0.5487563	0.6880814	0.0465821	0.7684563
400	0.7484426	0.0574022	0.6251319	0.2952668	0.3857640	0.6374395	0.5937653	0.7012302	0.0686245	0.7168149
450	0.7739752	0.1215834	0.6353350	0.3817578	0.3050567	0.5918150	0.7151748	0.5759884	0.0512075	0.8582056
500	0.7043739	0.0827595	0.8161320	0.2700438	0.3795821	0.6967013	0.4704282	0.8657766	0.0353379	0.6653499
550	0.4033314	0.1079502	0.6326480	0.2388220	0.3486801	0.5673314	0.4954995	0.8048075	0.0798603	0.6974629
600	0.3491541	0.1593619	0.6529720	0.3290096	0.4019423	0.6646950	0.5492841	0.9152074	0.0905124	0.7337234
650	0.3856474	0.2794151	0.8195422	0.1771121	0.5127128	0.5856578	0.4625229	0.6485396	0.0627779	0.6907913
700	0.3351918	0.1810461	0.6396584	0.1633981	0.4166094	0.5494923	0.5056950	0.7518532	0.0702906	0.7273412
750	0.2915214	0.2562044	0.6739129	0.1539598	0.4267636	0.4132946	0.2988301	0.7239284	0.0569494	0.7656771
800	0.3361113	0.1695592	0.6822522	0.1353120	0.4075688	0.2954842	0.3360110	0.6871340	0.0685486	0.7273257
850	0.5154081	0.1711597	0.8833270	0.1735746	0.3531132	0.2504986	0.3214646	0.7211938	0.0660317	0.6683486
900	0.3348337	0.1799455	0.7639880	0.2101810	0.2770897	0.2228524	0.3564512	0.6966191	0.0721717	0.6394632
950	0.3614517	0.1681553	0.6647016	0.2249540	0.2199175	0.3274006	0.3746614	0.8417140	0.0695605	0.7110596
1000	0.3506819	0.1310311	0.7650123	0.2744969	0.1939752	0.2227488	0.4527464	0.7200469	0.0482689	0.6098136

0	0.3584907	0.1146616	0.6902130	0.2576678	0.3375737	0.5924341	0.5643449	0.7463772	0.0490104	0.7377549
50	0.2555415	0.0981291	0.5877288	0.2140722	0.3702642	0.5417158	0.5761713	0.7948573	0.0352505	0.7259184
100	0.3395221	0.0896852	0.6404489	0.1639778	0.3751810	0.7057188	0.6691550	0.8480101	0.0530550	0.8707117
150	0.3550032	0.1118074	0.5382533	0.2467399	0.4371099	0.6511573	0.6633716	0.6957878	0.0659319	0.7920814
200	0.3095791	0.1279387	0.6203088	0.1925441	0.2491492	0.7117074	0.8058670	0.6966128	0.0406689	0.7763030
250	0.4140961	0.1467162	0.6052528	0.2070558	0.4830071	0.5761488	0.7192312	0.9569417	0.0568742	0.7985535
300	0.3917936	0.2090196	0.6639592	0.2408538	0.4340690	0.7202255	0.6951202	0.6093217	0.0483997	0.7080848
350	0.3702781	0.1979712	0.7678858	0.2362621	0.4061416	0.7734029	0.9258909	0.8013237	0.0754833	0.7798037
400	0.3981082	0.1932607	0.6224407	0.1922708	0.3705922	0.6749533	0.6251706	0.6627562	0.0422754	0.7298130
450	0.4207883	0.1974657	0.7408955	0.2115395	0.4089501	0.7284801	0.8439503	0.7618251	0.0725358	0.8001466
500	0.4063234	0.2898305	0.7475388	0.1465058	0.4663189	0.7357485	0.7999062	0.6678790	0.0343855	0.7272404
550	0.4648505	0.2356115	0.5877260	0.1357599	0.3925250	0.8423412	0.5730101	0.5866501	0.0924168	0.9048064
600	0.4277169	0.4132707	0.7082647	0.0920945	0.5143661	0.6168605	0.3995712	0.6782819	0.0644690	0.7925554
650	0.5313496	0.3298405	0.7045906	0.0943819	0.4073943	0.3518848	0.3563618	0.7258541	0.0690539	0.7974662
700	0.5200305	0.2651501	0.6905219	0.1290871	0.2955056	0.3208142	0.2118214	0.7633753	0.0715951	0.6324424
750	0.3776459	0.2544431	0.5710135	0.1644582	0.2309822	0.1875340	0.2528721	0.7922902	0.0461730	0.7592071
800	0.3579575	0.1535117	0.7253316	0.2174399	0.2222476	0.1795514	0.2503305	0.7616478	0.0825110	0.8310884
850	0.3414710	0.1250123	0.6401480	0.3400831	0.1410200	0.2120065	0.3013299	0.7379760	0.0845549	0.7168535
900	0.1551900	0.0817215	0.6674224	0.5047199	0.1832653	0.2982879	0.4748602	0.7535066	0.0586568	0.7689045
950	0.1320059	0.0371753	0.6026247	0.5368133	0.2132221	0.4891398	0.4660878	0.7400287	0.0246154	0.6683604
1000	0.1652852	0.0520519	0.5669471	0.5575084	0.1996267	0.4918285	0.4917814	0.7284028	0.0751070	0.9433599

0	0.2474348	0.1432630	0.6054269	0.2133706	0.3392145	0.7254835	0.4858688	0.6462396	0.0521771	0.7961797
50	0.3634688	0.1674671	0.5721396	0.1967349	0.4342858	0.4270990	0.3735913	0.7190037	0.0391052	0.4454107
100	0.4007573	0.1113998	0.4416718	0.1622225	0.3204503	0.4657476	0.4153401	0.6637296	0.0865715	0.3508989
150	0.3430812	0.1839037	0.3576833	0.1467723	0.4392757	0.5548826	0.3337431	0.6640568	0.0839381	0.3533524
200	0.3589826	0.1648135	0.3089800	0.2044736	0.3892152	0.5893827	0.2812634	0.8257902	0.1665594	0.2771122
250	0.3973971	0.1674618	0.3361114	0.1775977	0.3458135	0.5083951	0.3437217	0.6722109	0.0717695	0.4298789
