"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.6103901	0.6281057	0.5930655	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
50	0.5975673	0.7051764	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
100	0.5304950	0.7984873	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
150	0.4432173	0.8553642	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
200	0.3754623	0.8837587	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
250	0.3344266	0.8956525	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
300	0.3132806	0.8989454	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
350	0.3040905	0.8984607	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
400	0.3011415	0.8969655	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
450	0.3009174	0.8957036	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
500	0.3015283	0.8949754	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
550	0.3121004	0.8047925	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
600	0.3731454	0.7021775	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
650	0.4634274	0.6515819	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
700	0.5365801	0.6336101	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
750	0.5790655	0.6285163	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
800	0.5990100	0.6275180	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
850	0.6069567	0.6275706	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
900	0.6096380	0.6277777	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
950	0.6103408	0.6279337	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
1000	0.6104196	0.6280232	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000

0	0.6103901	0.6281057	0.5930655	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
50	0.5751283	0.6280618	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.8337913	1.0000000
100	0.5439961	0.6277617	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.6705152	1.0000000
150	0.5308950	0.6272639	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5889639	1.0000000
200	0.5265953	0.6267912	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5538495	1.0000000
250	0.5255427	0.6264589	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5395173	1.0000000
300	0.5254786	0.6262660	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5337955	1.0000000
350	0.5256237	0.6261686	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5315331	1.0000000
400	0.5257561	0.6261251	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5306424	1.0000000
450	0.5258381	0.6261079	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5302924	1.0000000
500	0.5258805	0.6261021	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.5301551	1.0000000
550	0.5611855	0.6261971	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.6963099	1.0000000
600	0.5923420	0.6266498	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.8595648	1.0000000
650	0.6053160	0.6271957	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.9411078	1.0000000
700	0.6094811	0.6276082	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.9762189	1.0000000
750	0.6104769	0.6278582	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.9905499	1.0000000
800	0.6105476	0.6279910	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.9962712	1.0000000
