"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.6407266	0.0185238	0.0618955	0.8273857	0.6567807	0.6249649	0.1324323	0.5214200	0.5158903	0.7091217
50	0.6436708	0.0271589	0.0567551	0.7230391	0.7644313	0.5884632	0.1123126	0.5718952	0.6899055	0.8081650
100	0.6785204	0.0089737	0.0858654	0.7735479	0.6614846	0.5014942	0.0700130	0.6246264	0.6615559	0.8107686
150	0.7219922	0.0266097	0.0886338	0.7116122	0.8414254	0.4406170	0.1071266	0.6253833	0.7482748	0.7626162
200	0.6888297	0.0367069	0.0892121	0.6624567	0.6451635	0.5498890	0.0477223	0.7166886	0.6278443	0.7234318
250	0.7663725	0.0206371	0.1056351	0.7986868	0.5842500	0.5130910	0.0229944	0.6509969	0.8496717	0.7057562
300	0.7487178	0.0342451	0.0415482	0.6910088	0.6303386	0.4864146	0.0405874	0.7223536	0.6039351	0.7498005
350	0.6622770	0.0299241	0.1363008	0.5837439	0.6159502	0.4465194	0.0623303	0.7861507	0.6340501	0.7333400
400	0.7224378	0.0367632	0.0580786	0.7225866	0.7136629	0.4142165	0.0885198	0.8014857	0.5976738	0.8476981
450	0.8212962	0.0346954	0.0812634	0.7883298	0.5822106	0.3612970	0.0717740	0.7313405	0.6140091	0.9147040
500	0.6411390	0.0352113	0.0667465	0.8503346	0.7297842	0.4485376	0.1214303	0.6638794	0.6639370	0.8094390
550	0.6761562	0.0646474	0.0487103	0.7720980	0.6128579	0.4715343	0.1719890	0.6280671	0.6150660	0.7639446
600	0.8832961	0.0393120	0.0338758	0.7473357	0.6254968	0.6449396	0.2699664	0.6482906	0.6849003	0.6257844
650	0.7898461	0.0385169	0.0587269	0.7123734	0.6595090	0.6808603	0.1631540	0.5265349	0.6835582	0.7452648
700	0.6515069	0.0166911	0.0558926	0.7266310	0.6872305	0.8745947	0.2588166	0.6475184	0.6794161	0.8598824
750	0.8609362	0.0114534	0.1026097	0.6147112	0.7274844	0.8475291	0.2073642	0.5502070	0.5189502	0.6432608
800	0.7179481	0.0619940	0.0704126	0.7488616	0.6470728	0.7283218	0.1722546	0.6044371	0.7233899	0.6751534
850	0.7633806	0.0261064	0.0417656	0.7351618	0.6883969	0.7952293	0.1161813	0.6002060	0.7724410	0.5391336
900	0.7942518	0.0186902	0.1316905	0.7008041	0.6721628	0.7360234	0.1919872	0.6366776	0.7904336	0.6465358
950	0.8680474	0.0154277	0.0630937	0.7652176	0.7057237	0.7627203	0.2199061	0.7915925	0.6510097	0.7217953
1000	0.7833299	0.0381136	0.0572337	0.7875276	0.6720775	0.7893999	0.1873180	0.4771892	0.6704815	0.6519892

0	0.6193161	0.0382200	0.0968147	0.7486886	0.6582164	0.7950919	0.1577726	0.5320967	0.5322621	0.6359232
50	0.7979914	0.0217063	0.0316081	0.6723723	0.7953993	0.8022410	0.1745968	0.6389665	0.7882950	0.6398484
100	0.8552093	0.0278642	0.0502937	0.6831104	0.6344826	0.6317226	0.1579698	0.6234518	0.6686098	0.7751727
